_q RAJ2000 DEJ2000 _2MASS Jmag e_Jmag Hmag e_Hmag Kmag e_Kmag Qflg Rflg Bflg Cflg Xflg Aflg
55 183.911343 36.327789 12153872+3619400 14.885 "" 15.362 0.245 13.860 "" UDU 020 010 000 2 0
55 183.913574 36.326923 12153925+3619369 14.337 "" 13.752 "" 14.404 0.147 UUB 002 001 000 2 0
73 194.865700 27.636242 12592776+2738104 16.539 0.120 16.232 "" 15.625 0.175 BUC 202 101 000 0 0
79 131.065925 41.718742 08441582+4143074 16.278 0.111 15.460 "" 15.206 "" BUU 200 100 000 0 0
85 283.399962 33.022461 18533599+3301208 14.454 "" 14.404 "" 14.332 0.119 UUB 002 001 000 2 0
127 211.046522 54.421646 14041116+5425179 16.803 0.175 15.709 "" 14.789 "" CUU 200 100 000 0 0
130 211.046522 54.421646 14041116+5425179 16.803 0.175 15.709 "" 14.789 "" CUU 200 100 000 0 0
145 211.121501 54.397858 14042916+5423522 16.422 0.157 14.944 "" 14.701 "" CUU 260 200 c00 0 0
145 211.122557 54.396355 14042941+5423468 15.897 0.106 15.703 0.180 15.071 0.144 ACB 222 111 000 0 0
148 211.121501 54.397858 14042916+5423522 16.422 0.157 14.944 "" 14.701 "" CUU 260 200 c00 0 0
184 190.986095 32.170502 12435666+3210138 15.895 0.094 15.726 0.165 15.395 0.168 ACC 222 111 000 2 0
199 112.181225 69.189766 07284349+6911231 15.881 0.118 14.880 "" 14.122 "" BUU 200 100 c00 2 0
199 112.178005 69.189308 07284272+6911215 15.361 0.101 15.245 0.169 14.628 0.125 ACB 222 111 000 2 0
