#_q RAJ2000 DEJ2000 _2MASS Jmag e_Jmag Hmag e_Hmag Kmag e_Kmag Qflg Rflg Bflg Cflg Xflg Aflg
7 284.827582 48.465580 18591861+4827560 15.195 0.049 14.874 0.070 14.969 0.181 AAC 222 111 000 0 0
10 132.904937 57.124916 08513718+5707296 15.599 0.064 15.428 0.106 15.366 0.139 AAB 222 111 000 0 0
13 135.000900 56.338799 09000021+5620196 12.952 0.024 12.445 0.035 12.339 0.023 AAA 222 111 000 0 0
16 330.426118 34.143234 22014226+3408356 15.824 0.065 15.449 0.096 15.576 0.236 AAD 222 111 000 0 0
19 277.096575 30.421886 18282317+3025187 14.499 0.032 14.057 0.033 13.848 0.051 AAA 222 111 000 0 0
22 37.060312 31.311527 02281447+3118414 12.919 0.065 11.917 0.057 11.132 0.044 EEE 222 111 000 1 0
25 258.480186 72.200485 17135524+7212017 15.595 0.063 15.057 0.092 14.738 0.124 AAB 222 111 000 0 0
31 276.341094 43.093708 18252186+4305373 16.458 0.142 15.783 0.175 15.627 "" BCU 220 110 000 0 0
34 241.115332 40.682720 16042767+4040577 14.927 0.039 14.351 0.044 14.212 0.069 AAA 222 111 000 0 0
40 349.398511 33.902901 23173564+3354104 10.053 0.023 9.442 0.031 9.333 0.023 AAA 222 111 000 0 0
43 262.770383 40.873272 17310489+4052237 15.921 0.069 15.492 0.122 15.513 0.186 ABC 222 111 000 0 0
46 252.908771 40.676991 16513810+4040371 16.094 0.096 15.647 0.133 15.652 0.205 ABC 222 111 000 0 0
49 332.003765 20.851578 22080090+2051056 14.598 0.024 14.095 0.043 13.992 0.042 AAA 222 111 000 0 0
52 279.317583 33.693905 18371621+3341380 9.446 0.022 8.665 0.020 8.413 0.018 AAA 212 111 000 0 0
55 255.386112 40.007427 17013266+4000267 15.641 0.065 15.100 0.078 14.918 0.102 AAA 222 111 000 0 0
61 276.033597 44.773190 18240806+4446234 15.817 0.074 15.204 0.114 14.978 0.161 ABC 222 111 000 0 0
67 203.038457 58.000591 13320922+5800021 15.725 0.072 15.381 0.092 15.193 0.135 AAB 222 111 000 0 0
70 285.429129 60.019634 19014299+6001106 15.166 0.059 14.730 0.083 14.564 0.134 AAB 222 111 000 0 0
73 131.514926 41.205257 08460358+4112189 9.696 0.021 9.159 0.019 9.026 0.018 AAA 222 111 000 0 0
76 135.551043 37.596741 09021225+3735482 9.218 0.022 8.507 0.023 8.304 0.017 AAA 212 111 000 0 0
79 112.934510 63.243221 07314428+6314355 13.361 0.048 12.669 0.068 11.981 0.031 EAA 222 111 000 1 0
82 276.971064 40.884838 18275305+4053054 13.354 0.022 12.706 0.021 12.382 0.021 AAA 222 111 000 0 0
85 37.335457 6.776005 02292050+0646336 12.389 0.024 11.834 0.023 11.760 0.027 AAA 222 111 000 0 0
88 141.864624 36.891548 09272750+3653295 16.070 0.087 15.835 0.163 15.807 0.226 ACD 222 222 ccc 0 0
91 106.500629 24.603571 07060015+2436128 16.021 0.070 15.472 0.087 15.846 0.201 AAC 222 111 000 0 0
94 278.332283 34.449131 18331974+3426568 6.871 0.021 6.017 0.023 5.685 0.020 AAA 111 111 000 0 0
97 282.892799 66.130653 18513427+6607503 15.282 0.045 14.825 0.063 14.673 0.127 AAB 222 111 000 0 0
100 139.345287 41.999943 09172286+4159597 11.475 0.025 10.557 0.020 10.131 0.021 EEE 222 111 000 2 0
100 139.345187 41.998837 09172284+4159558 12.082 "" 13.000 0.050 12.556 0.038 UEE 022 011 0cc 2 0
100 139.345033 42.000786 09172280+4200028 11.898 "" 12.848 0.034 10.619 "" UEU 020 010 0c0 2 0
100 139.345735 42.000870 09172297+4200031 13.551 0.051 11.155 "" 10.733 "" EUU 200 100 c00 2 0
103 146.211172 68.446869 09445068+6826487 14.559 0.054 13.869 0.065 13.446 0.049 AAA 222 111 000 0 0
109 260.679939 26.077093 17224318+2604375 14.554 0.037 13.988 0.051 13.963 0.046 AAA 222 111 000 0 0
112 199.105866 42.235504 13162540+4214078 16.011 0.093 15.569 0.169 15.421 0.196 ACC 222 111 000 0 0
115 279.943587 32.170593 18394646+3210141 9.165 0.022 8.505 0.027 8.274 0.018 AAA 212 111 000 0 0
121 344.074251 32.556042 22561782+3233217 9.028 0.021 8.371 0.020 8.190 0.016 AAA 212 111 000 0 0
121 344.073346 32.555912 22561760+3233212 13.266 0.341 8.750 "" 8.606 "" DUU 200 100 c00 0 0
