Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS
69815	281	277.702508868	58.9646652649	19.372	19.064	19.357	17.865	19.094	18.945	20.076	19.119	19.377	19.019	18.735	18.413	20.219	20.44	20.483	21.451	20.892	20.615	23.125	21.061	21.007	20.843	20.12	19.804	19.571	19.363	19.977	18.014	19.52	19.586	19.587	20.03	19.459	19.027	18.835	18.798	0.163	0.131	0.175	0.108	0.323	0.294	0.842	0.276	0.323	0.226	0.167	0.232	0.152	0.201	0.207	1.213	0.722	0.585	5.925	0.702	0.616	0.511	0.254	0.351	0.117	0.106	0.181	0.074	0.286	0.316	0.319	0.381	0.213	0.14	0.113	0.196	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
62961	32	152.258515635	29.7172672025	19.153	19.46	18.128	18.146	19.191	18.794	19.223	19.57	18.759	18.377	18.156	18.222	18.183	18.526	17.365	17.505	18.134	17.935	17.843	18.267	17.629	17.307	17.244	17.592	19.708	20.366	18.801	18.827	20.63	19.77	19.908	19.839	19.799	19.388	18.952	18.677	0.132	0.161	0.132	0.156	0.201	0.151	0.232	0.386	0.173	0.141	0.11	0.144	0.106	0.13	0.127	0.168	0.145	0.13	0.125	0.221	0.117	0.098	0.091	0.157	0.107	0.183	0.123	0.145	0.373	0.187	0.217	0.249	0.225	0.184	0.115	0.109	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3
66596	11791	217.462140018	42.8971339711	19.315	19.523	19.072	18.904	19.956	19.419	19.598	19.897	19.833	19.103	18.639	19.687	19.061	19.379	18.803	18.827	19.957	18.829	19.631	19.717	19.325	18.842	18.449	18.922	19.563	19.771	19.514	19.221	20.536	19.822	19.703	19.886	19.811	19.459	18.92	19.609	0.071	0.086	0.09	0.153	0.302	0.191	0.226	0.226	0.207	0.109	0.075	0.382	0.108	0.142	0.138	0.278	0.584	0.211	0.448	0.37	0.249	0.163	0.12	0.368	0.061	0.075	0.091	0.137	0.347	0.19	0.172	0.153	0.14	0.105	0.068	0.238	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
66596	11815	217.46295042	42.8962348183	19.116	19.589	19.12	19.259	20.676	19.034	19.538	19.906	19.314	18.952	18.38	18.925	18.991	19.602	19.1	18.991	20.605	18.627	19.962	19.484	19.295	18.667	18.327	18.64	19.436	19.764	19.645	19.375	20.498	19.748	19.799	20.101	19.753	19.336	18.891	19.374	0.084	0.128	0.136	0.305	0.838	0.189	0.304	0.325	0.184	0.134	0.084	0.272	0.099	0.17	0.177	0.315	1.032	0.171	0.592	0.291	0.237	0.135	0.105	0.277	0.055	0.075	0.104	0.159	0.343	0.178	0.186	0.188	0.134	0.095	0.067	0.194	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
69138	12820	240.041138402	55.500169335	17.569	15.453	18.066	14.51	18.536	17.12	16.718	16.315	18.861	16.607	15.954	17.065	17.12	15.373	17.736	14.36	17.571	16.897	16.398	16.207	18.393	16.336	15.889	16.674	18.58	17.424	19.099	16.915	19.733	19.312	18.891	18.722	19.001	17.515	16.849	18.047	0.04	0.008	0.114	0.01	0.269	0.077	0.056	0.031	0.258	0.037	0.021	0.11	0.045	0.01	0.148	0.014	0.183	0.099	0.066	0.042	0.275	0.045	0.031	0.132	0.039	0.022	0.102	0.032	0.313	0.21	0.15	0.11	0.119	0.044	0.027	0.103	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1
62961	12134	153.082773553	30.9498464902	17.033	16.764	16.238	15.54	17.321	17.132	17.08	16.504	16.247	16.56	16.188	16.169	16.707	16.491	15.925	15.221	16.911	16.759	16.803	16.093	15.894	16.221	15.871	15.842	19.845	19.859	19.289	18.593	20.497	20.091	20.243	19.664	19.517	19.447	19.186	19.376	0.054	0.039	0.064	0.04	0.088	0.083	0.085	0.058	0.048	0.067	0.05	0.061	0.048	0.034	0.059	0.034	0.075	0.069	0.074	0.049	0.042	0.06	0.043	0.054	0.123	0.156	0.196	0.165	0.31	0.231	0.377	0.2	0.179	0.179	0.164	0.202	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1
69138	14635	242.370817662	55.6123850727	19.096	20.302	18.688	18.358	25.198	21.455	99.0	21.053	21.364	19.711	18.3	18.18	19.041	20.323	18.684	18.242	99.0	99.0	21.497	20.799	22.312	19.779	18.33	18.199	19.284	20.819	18.918	18.503	23.041	21.76	21.485	21.156	21.04	20.16	18.539	18.495	0.071	0.205	0.079	0.13	52.59	1.792	99.0	0.916	1.1	0.244	0.068	0.128	0.073	0.228	0.086	0.127	99.0	99.0	2.042	0.79	2.867	0.283	0.076	0.142	0.043	0.164	0.049	0.073	3.573	1.184	0.915	0.5	0.405	0.184	0.045	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62961	13288	153.078949384	30.8226172021	17.635	16.563	18.025	15.652	18.631	16.686	16.719	17.259	17.38	19.346	15.834	16.369	17.379	16.309	17.664	15.328	18.271	16.288	16.331	17.128	17.038	19.916	15.489	16.085	19.55	19.896	18.455	17.517	22.611	19.926	20.877	20.604	20.497	21.051	18.682	17.931	0.096	0.034	0.334	0.049	0.305	0.056	0.065	0.12	0.138	0.877	0.037	0.075	0.094	0.032	0.303	0.042	0.276	0.047	0.053	0.133	0.124	1.85	0.033	0.072	0.077	0.119	0.075	0.044	1.788	0.171	0.489	0.388	0.358	0.622	0.081	0.046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
71702	10	17.885625593	1.14960388267	19.424	20.402	18.986	18.604	20.36	22.123	19.66	20.432	20.984	19.986	18.723	19.531	19.32	20.567	18.872	18.741	19.322	20.427	19.621	19.853	20.023	19.527	18.484	19.096	19.432	20.296	19.004	18.656	20.249	20.882	19.801	20.252	20.538	19.882	18.726	19.175	0.131	0.299	0.124	0.171	0.596	2.92	0.317	0.519	0.917	0.381	0.123	0.506	0.156	0.454	0.145	0.256	0.306	0.817	0.402	0.403	0.494	0.323	0.128	0.441	0.125	0.256	0.119	0.168	0.515	0.874	0.342	0.417	0.58	0.33	0.118	0.345	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
69815	13211	277.74344619	59.5805861079	15.907	15.923	16.61	15.356	16.813	16.471	16.447	16.12	15.614	15.743	15.357	15.868	15.857	15.888	16.576	15.241	16.586	16.25	16.23	15.916	15.414	15.613	15.219	15.803	16.2	16.488	16.777	15.699	17.088	16.845	16.762	16.455	15.939	16.251	15.729	16.041	0.008	0.01	0.011	0.009	0.031	0.026	0.026	0.018	0.013	0.014	0.01	0.017	0.007	0.01	0.011	0.008	0.027	0.023	0.023	0.016	0.012	0.013	0.01	0.016	0.009	0.014	0.012	0.012	0.042	0.038	0.037	0.026	0.019	0.02	0.014	0.019	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
