# Tile    Id      RA_1       DEC_1     MAIN_ID                          RA_2          DEC_2         RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE            SP_TYPE      SP_QUAL SP_BIBCODE             OTYPE        Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode    RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE            OTYPES                             RA_d         DEC_d       BIBLIST_1990_2020 Separation         
  71690.0 16885.0 16.257251  2.105413  "b\'[BKG2004] G44\'"             "01 05 01.78" "+02 06 19.1" 6       6        ""           ""           0             D        ""             "b\'2004A&A...413..889B\'" "b\'\'"      ""      "b\'\'"                "b\'Assoc*\'" ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'As*\'"                         16.25742     2.10531     3                 0.7121401801005033 
  71690.0 17355.0 16.27301   2.154941  ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  71690.0 17943.0 16.258357  2.14768   ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  71690.0 18107.0 16.260209  2.134188  ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  71690.0 18758.0 16.259995  2.14482   ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  71690.0 19796.0 16.252171  2.178142  "b\'[BKG2004] G10\'"             "01 05 00.59" "+02 10 42.8" 6       6        ""           ""           0             D        ""             "b\'2004A&A...413..889B\'" "b\'\'"      ""      "b\'\'"                "b\'Assoc*\'" ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'As*\'"                         16.25246     2.17856     5                 1.8290137576189884 
  70063.0 24151.0 114.205796 65.687835 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  70063.0 24692.0 114.236531 65.664423 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  70063.0 26451.0 113.965153 65.583279 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  70455.0 1485.0  149.07636  68.828615 "b\'[GTK91b] 63\'"               "09 56 18.29" "+68 49 41.4" 6       6        ""           ""           0             D        ""             "b\'\'"                "b\'\'"      ""      "b\'\'"                "b\'GlCl?\'" ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'Gl?\'"                         149.07621    68.82817    1                 1.6138276944630192 
