# Tile    Number  RA         DEC      
  71690.0 17943.0 16.258357  2.14768  
  71690.0 18758.0 16.259995  2.14482  
  70063.0 24692.0 114.236531 65.664423
  70455.0 1485.0  149.07636  68.828615
  73268.0 5491.0  343.426681 11.275189
  70466.0 9220.0  184.043069 69.557517
  70466.0 18549.0 184.115995 69.412004
  69221.0 9002.0  106.206103 56.514662
  70525.0 9777.0  124.707754 70.747177
  64235.0 10908.0 183.758086 35.965388
  64235.0 12290.0 183.912708 36.327239
  69286.0 18169.0 163.657726 56.988991
  63728.0 10889.0 186.494025 33.604858
  63728.0 15748.0 186.398924 33.521814
  73559.0 18072.0 333.451924 17.376651
  67002.0 15821.0 224.909851 44.676085
  62617.0 9746.0  194.86574  27.636267
  68450.0 10025.0 225.313423 52.598801
  75211.0 19498.0 131.066066 41.718745
  63864.0 47481.0 283.393295 33.033544
  63864.0 51786.0 283.400162 33.023811
  63236.0 4396.0  138.860136 31.398605
  68634.0 5210.0  211.241344 53.691023
  68634.0 14415.0 210.614164 54.227656
  68634.0 15793.0 210.663684 54.484693
  68634.0 15940.0 210.961635 54.460092
  68634.0 15941.0 211.211404 54.468652
  68634.0 16015.0 210.605519 54.454592
  68634.0 16473.0 211.045855 54.422678
  68634.0 16481.0 211.046879 54.421687
  68634.0 16609.0 210.637849 54.425338
  68634.0 16616.0 210.588127 54.363185
  68634.0 16639.0 210.591907 54.366089
  68634.0 16776.0 211.121464 54.396744
  68634.0 16755.0 211.121854 54.39804 
  68634.0 17965.0 210.545088 54.308505
  68634.0 18526.0 210.695002 54.419244
  68634.0 22101.0 210.584949 54.387264
  68634.0 23787.0 210.805323 54.594651
  63308.0 6151.0  147.58716  31.486394
  70145.0 19210.0 280.424544 65.199499
  63391.0 14288.0 190.986268 32.170386
  67646.0 12452.0 244.097964 47.034074
  70362.0 24746.0 157.337721 68.477106
  70362.0 24916.0 157.183847 68.473982
  70431.0 16825.0 112.179163 69.189351
  74823.0 6352.0  38.324468  33.498107
  64078.0 73697.0 282.507716 35.2425  
  72851.0 11490.0 21.392524  7.990064 
  67752.0 2740.0  212.260672 48.013021
  75427.0 11008.0 279.877972 73.582857
  65478.0 6149.0  139.135658 39.867526
  65478.0 6156.0  139.13661  39.866099
  75572.0 15626.0 154.679463 46.050556
  66536.0 15026.0 187.179276 43.242487
  64138.0 3942.0  126.481246 35.542231
  66608.0 6957.0  221.047623 42.626579
