Tile Number RA Dec rSDSS_auto gSDSS_auto iSDSS_auto zSDSS_auto uJAVA_auto J0378_auto J0395_auto J0410_auto J0430_auto J0515_auto J0660_auto J0861_auto rSDSS_PETRO gSDSS_PETRO iSDSS_PETRO zSDSS_PETRO uJAVA_PETRO J0378_PETRO J0395_PETRO J0410_PETRO J0430_PETRO J0515_PETRO J0660_PETRO J0861_PETRO rSDSS_MAG_APER_6_0 gSDSS_MAG_APER_6_0 iSDSS_MAG_APER_6_0 zSDSS_MAG_APER_6_0 uJAVA_MAG_APER_6_0 J0378_MAG_APER_6_0 J0395_MAG_APER_6_0 J0410_MAG_APER_6_0 J0430_MAG_APER_6_0 J0515_MAG_APER_6_0 J0660_MAG_APER_6_0 J0861_MAG_APER_6_0 rSDSS_auto_err gSDSS_auto_err iSDSS_auto_err zSDSS_auto_err uJAVA_auto_err J0378_auto_err J0395_auto_err J0410_auto_err J0430_auto_err J0515_auto_err J0660_auto_err J0861_auto_err rSDSS_PETRO_err gSDSS_PETRO_err iSDSS_PETRO_err zSDSS_PETRO_err uJAVA_PETRO_err J0378_PETRO_err J0395_PETRO_err J0410_PETRO_err J0430_PETRO_err J0515_PETRO_err J0660_PETRO_err J0861_PETRO_err rSDSS_MAG_APER_6_0_err gSDSS_MAG_APER_6_0_err iSDSS_MAG_APER_6_0_err zSDSS_MAG_APER_6_0_err uJAVA_MAG_APER_6_0_err J0378_MAG_APER_6_0_err J0395_MAG_APER_6_0_err J0410_MAG_APER_6_0_err J0430_MAG_APER_6_0_err J0515_MAG_APER_6_0_err J0660_MAG_APER_6_0_err J0861_MAG_APER_6_0_err rSDSS_FLAGS gSDSS_FLAGS iSDSS_FLAGS zSDSS_FLAGS uJAVA_FLAGS J0378_FLAGS J0395_FLAGS J0410_FLAGS J0430_FLAGS J0515_FLAGS J0660_FLAGS J0861_FLAGS rSDSS_MASK_FLAGS gSDSS_MASK_FLAGS iSDSS_MASK_FLAGS zSDSS_MASK_FLAGS uJAVA_MASK_FLAGS J0378_MASK_FLAGS J0395_MASK_FLAGS J0410_MASK_FLAGS J0430_MASK_FLAGS J0515_MASK_FLAGS J0660_MASK_FLAGS J0861_MASK_FLAGS P(PN) P(SySt) "P(all else)"
71690 17355 16.2730098396 2.15494073647 16.677 16.647 16.904 16.682 17.222 17.411 16.611 16.767 16.424 16.277 15.757 17.481 99.0 19.566 18.006 16.834 99.0 99.0 18.274 99.0 18.402 16.54 99.0 99.0 19.232 19.797 19.659 19.217 19.04 18.884 20.212 19.765 19.677 20.054 17.752 19.689 0.093 0.089 0.166 0.265 0.313 0.407 0.192 0.171 0.131 0.105 0.072 0.676 99.0 2.062 0.749 0.499 99.0 99.0 1.377 99.0 1.281 0.205 99.0 99.0 0.059 0.101 0.116 0.15 0.116 0.104 0.334 0.18 0.161 0.218 0.032 0.286 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0.8000012219187547 0.19574758490856595 0.004251193172679516
70063 24151 114.205796131 65.6878349645 18.416 18.201 18.821 18.726 17.839 17.563 18.344 18.299 18.388 18.721 16.691 19.0 18.335 18.141 18.716 19.068 17.897 17.498 18.124 18.23 18.288 18.74 16.623 19.044 18.866 18.768 19.547 19.403 18.725 18.352 19.012 19.043 19.085 19.434 17.095 19.878 0.066 0.061 0.11 0.246 0.09 0.075 0.151 0.114 0.118 0.167 0.026 0.367 0.078 0.073 0.128 0.43 0.119 0.088 0.154 0.134 0.135 0.213 0.031 0.485 0.033 0.036 0.064 0.138 0.07 0.056 0.094 0.077 0.075 0.104 0.016 0.253 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0.9950930176688998 0.004862089398604775 4.489293249546275e-05
70063 26451 113.965152896 65.5832793812 17.74 17.912 18.274 17.531 17.604 17.239 18.278 17.91 17.82 18.874 16.841 19.155 17.448 17.772 17.805 17.2 17.019 17.002 18.896 17.722 17.66 18.722 16.863 99.0 19.165 19.185 19.694 19.737 18.854 18.633 19.094 19.125 19.087 19.471 17.969 20.276 0.072 0.092 0.139 0.168 0.14 0.105 0.271 0.153 0.137 0.377 0.059 0.853 0.092 0.13 0.152 0.205 0.128 0.129 0.737 0.199 0.186 0.52 0.098 99.0 0.042 0.049 0.072 0.186 0.077 0.069 0.101 0.081 0.074 0.108 0.03 0.361 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0.988502339486529 0.009587145205249671 0.0019105153082214178
70466 9220 184.043068903 69.5575174471 17.841 17.482 18.046 17.325 17.034 17.237 17.252 17.185 16.949 17.945 16.019 17.507 18.344 17.596 18.21 17.064 16.809 17.166 16.653 17.328 16.683 18.506 16.127 17.148 18.609 18.427 18.872 18.992 18.731 18.454 18.704 18.851 18.77 18.925 17.212 18.83 0.192 0.146 0.276 0.307 0.195 0.27 0.255 0.214 0.157 0.455 0.064 0.481 0.414 0.214 0.438 0.322 0.202 0.334 0.191 0.319 0.162 0.995 0.095 0.463 0.031 0.031 0.044 0.112 0.089 0.072 0.089 0.089 0.074 0.1 0.019 0.117 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0.779763645859664 0.1871367530413858 0.03309960109895029
70466 18549 184.115994969 69.4120038902 18.925 18.788 19.974 19.661 19.065 18.506 18.979 19.326 19.379 20.352 16.973 20.026 19.045 19.119 20.155 19.929 18.978 18.693 19.292 19.445 19.93 20.403 16.982 19.656 18.717 18.632 19.448 19.232 18.889 18.504 18.934 19.083 19.174 19.693 16.981 19.481 0.047 0.049 0.138 0.238 0.136 0.086 0.129 0.155 0.145 0.356 0.018 0.404 0.085 0.106 0.272 0.509 0.203 0.164 0.278 0.282 0.395 0.618 0.026 0.481 0.031 0.034 0.067 0.127 0.095 0.07 0.101 0.1 0.097 0.156 0.015 0.194 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0.9878493814311692 0.01210884543372106 4.177313510980547e-05
63864 51786 283.400161912 33.0238110322 9.798 9.961 11.591 11.328 10.397 9.617 10.972 12.016 11.56 12.004 7.458 12.185 9.768 9.939 11.479 11.226 10.373 9.594 10.947 11.963 11.517 11.925 7.44 12.005 13.852 13.837 15.639 15.328 14.548 13.771 14.97 16.063 15.584 16.086 11.5 16.308 0.0 0.0 0.002 0.004 0.001 0.001 0.002 0.003 0.002 0.003 0.0 0.008 0.001 0.001 0.004 0.006 0.001 0.001 0.002 0.005 0.003 0.005 0.0 0.013 0.002 0.002 0.005 0.007 0.006 0.004 0.008 0.012 0.009 0.011 0.001 0.016 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0.9999854934659052 1.450653296368266e-05 1.1311440456458516e-12
72839 2824 20.8794045047 6.96025430423 18.169 18.34 18.821 18.808 18.929 18.061 18.348 18.792 18.253 17.802 16.957 18.793 18.152 18.344 18.715 18.88 19.172 17.971 18.294 18.812 18.126 17.743 16.954 18.799 18.742 18.88 19.264 19.202 19.333 18.602 18.951 19.084 19.192 18.29 17.379 20.137 0.067 0.069 0.179 0.311 0.268 0.116 0.152 0.186 0.112 0.075 0.039 0.417 0.072 0.076 0.179 0.367 0.369 0.117 0.159 0.209 0.11 0.078 0.042 0.463 0.042 0.045 0.096 0.158 0.144 0.074 0.101 0.094 0.101 0.047 0.024 0.509 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0.9388722202176404 0.05214818163204607 0.008979598150313578
68634 15296 210.930818779 54.4970768759 18.876 18.444 18.779 17.987 19.064 18.059 17.931 18.854 19.341 18.719 16.479 18.914 99.0 99.0 22.56 17.894 99.0 99.0 18.66 99.0 99.0 99.0 16.369 18.32 19.139 19.208 19.463 19.614 19.627 19.072 19.483 19.697 19.48 19.425 17.992 19.965 0.333 0.235 0.391 0.402 1.002 0.407 0.38 0.691 1.006 0.613 0.072 1.172 99.0 99.0 20.171 0.566 99.0 99.0 1.112 99.0 99.0 99.0 0.099 1.035 0.043 0.05 0.069 0.179 0.183 0.118 0.174 0.168 0.127 0.126 0.034 0.311 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0.8223662723590901 0.1587289432643871 0.01890478437652288
68634 15941 211.211404007 54.4686524191 19.067 18.849 19.629 19.576 19.511 18.924 19.036 19.483 19.02 19.336 17.52 18.977 19.115 18.827 19.744 19.892 19.435 18.959 19.064 19.558 19.002 19.366 17.466 18.991 19.347 19.249 19.654 19.744 19.499 19.322 19.318 19.966 19.543 19.993 17.899 19.438 0.073 0.065 0.154 0.337 0.272 0.166 0.188 0.235 0.143 0.199 0.036 0.238 0.094 0.077 0.21 0.55 0.308 0.208 0.234 0.306 0.171 0.249 0.041 0.294 0.049 0.049 0.079 0.197 0.14 0.125 0.127 0.188 0.12 0.185 0.029 0.183 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7756619390918703 0.21113253766420562 0.013205523243924074
68634 16616 210.588126978 54.3631851511 17.481 17.617 17.918 18.168 17.518 17.165 17.756 17.588 17.604 17.74 16.152 17.935 17.359 17.532 17.765 18.104 17.095 17.073 17.37 17.118 17.76 17.753 15.984 17.173 18.391 18.526 19.064 19.115 18.331 17.836 18.521 18.632 18.529 18.794 16.95 19.102 0.04 0.048 0.077 0.215 0.097 0.072 0.129 0.092 0.086 0.104 0.023 0.211 0.082 0.098 0.155 0.452 0.141 0.139 0.193 0.126 0.212 0.23 0.043 0.231 0.022 0.027 0.047 0.112 0.052 0.036 0.064 0.059 0.05 0.066 0.015 0.137 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0.9809506818662965 0.01769145169888007 0.0013578664348233723
