Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
71690	16885	16.2572506852	2.10541303211	18.965	18.86	19.266	19.528	18.703	18.642	18.514	18.751	18.744	18.847	18.249	19.957	18.955	18.85	19.15	19.44	18.705	18.732	18.686	18.717	18.739	18.907	18.272	20.086	19.006	18.851	19.177	19.529	18.67	18.815	18.722	18.728	18.77	18.915	18.309	19.924	0.063	0.061	0.114	0.282	0.118	0.113	0.101	0.101	0.098	0.104	0.061	0.52	0.053	0.052	0.087	0.218	0.101	0.105	0.101	0.084	0.083	0.093	0.053	0.492	0.048	0.045	0.075	0.199	0.084	0.097	0.09	0.073	0.074	0.081	0.048	0.356	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6375625207781027	0.050093956209540755	0.31234352301235646
71690	17355	16.2730098396	2.15494073647	16.677	16.647	16.904	16.682	17.222	17.411	16.611	16.767	16.424	16.277	15.757	17.481	99.0	19.566	18.006	16.834	99.0	99.0	18.274	99.0	18.402	16.54	99.0	99.0	19.232	19.797	19.659	19.217	19.04	18.884	20.212	19.765	19.677	20.054	17.752	19.689	0.093	0.089	0.166	0.265	0.313	0.407	0.192	0.171	0.131	0.105	0.072	0.676	99.0	2.062	0.749	0.499	99.0	99.0	1.377	99.0	1.281	0.205	99.0	99.0	0.059	0.101	0.116	0.15	0.116	0.104	0.334	0.18	0.161	0.218	0.032	0.286	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.8000012219187547	0.19574758490856595	0.004251193172679516
71690	17943	16.258357097	2.14767972402	17.783	17.862	18.134	17.7	17.937	16.939	17.059	18.295	18.493	18.068	15.946	17.147	20.675	17.796	17.941	17.33	99.0	16.61	16.477	99.0	99.0	17.207	17.117	16.338	18.499	18.601	18.876	18.956	18.499	18.25	18.525	18.587	18.555	18.777	17.364	18.778	0.114	0.123	0.223	0.293	0.286	0.12	0.133	0.327	0.398	0.252	0.039	0.216	3.066	0.214	0.358	0.399	99.0	0.163	0.142	99.0	99.0	0.207	0.212	0.195	0.032	0.038	0.058	0.118	0.074	0.062	0.077	0.066	0.063	0.072	0.024	0.125	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.7320158860122422	0.16026857693956212	0.10771553704819567
71690	18107	16.2602086665	2.13418797285	16.984	16.583	16.654	18.05	16.927	15.339	15.708	16.532	16.126	16.433	99.0	16.663	99.0	17.783	17.098	99.0	18.851	15.022	15.361	17.306	16.064	16.617	99.0	16.764	19.071	19.073	19.404	19.461	19.133	18.812	18.979	18.883	18.854	19.173	18.48	19.914	0.14	0.095	0.151	1.072	0.269	0.068	0.094	0.155	0.113	0.137	99.0	0.363	99.0	0.419	0.341	99.0	2.218	0.074	0.098	0.448	0.156	0.231	99.0	0.594	0.052	0.056	0.093	0.188	0.129	0.099	0.116	0.087	0.082	0.103	0.057	0.352	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6458718649859494	0.08465761463400594	0.2694705203800447
71690	18758	16.2599953258	2.14481960376	17.587	18.574	18.644	18.524	18.403	17.702	18.45	19.033	18.137	19.18	15.795	18.597	17.655	18.888	18.761	18.814	18.587	17.866	18.504	19.606	18.353	19.447	15.822	18.488	17.794	18.816	18.924	19.067	18.495	18.032	18.552	18.906	18.626	19.342	15.929	18.806	0.024	0.06	0.084	0.146	0.115	0.063	0.122	0.165	0.072	0.178	0.011	0.194	0.033	0.104	0.125	0.255	0.177	0.095	0.168	0.366	0.115	0.299	0.013	0.233	0.018	0.044	0.06	0.131	0.073	0.051	0.078	0.085	0.066	0.117	0.009	0.128	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9905304665671423	0.009464419603947569	5.113828910136492e-06
71690	19796	16.2521709332	2.17814202988	18.965	19.035	19.197	18.732	18.371	19.123	18.642	18.999	19.152	18.769	17.836	23.178	18.945	18.923	19.241	18.636	18.228	19.283	18.585	18.976	19.177	18.755	17.827	99.0	19.255	19.318	19.45	19.372	19.143	19.155	19.332	19.467	19.491	19.379	18.125	19.77	0.103	0.112	0.176	0.225	0.137	0.281	0.181	0.199	0.227	0.153	0.067	16.71	0.111	0.111	0.202	0.227	0.132	0.358	0.188	0.214	0.255	0.166	0.073	99.0	0.059	0.066	0.096	0.172	0.125	0.13	0.151	0.138	0.138	0.12	0.041	0.308	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6317718496099001	0.2339893155079121	0.1342388348821877
70063	24151	114.205796131	65.6878349645	18.416	18.201	18.821	18.726	17.839	17.563	18.344	18.299	18.388	18.721	16.691	19.0	18.335	18.141	18.716	19.068	17.897	17.498	18.124	18.23	18.288	18.74	16.623	19.044	18.866	18.768	19.547	19.403	18.725	18.352	19.012	19.043	19.085	19.434	17.095	19.878	0.066	0.061	0.11	0.246	0.09	0.075	0.151	0.114	0.118	0.167	0.026	0.367	0.078	0.073	0.128	0.43	0.119	0.088	0.154	0.134	0.135	0.213	0.031	0.485	0.033	0.036	0.064	0.138	0.07	0.056	0.094	0.077	0.075	0.104	0.016	0.253	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9950930176688998	0.004862089398604775	4.489293249546275e-05
70063	24692	114.236531125	65.6644227241	17.491	17.366	17.975	19.393	17.64	18.021	17.443	17.442	17.826	18.093	16.166	17.537	17.744	17.311	18.361	99.0	17.641	22.247	17.255	17.056	18.471	18.045	16.113	17.375	18.99	19.125	19.244	19.149	18.945	18.811	18.956	19.275	19.091	19.433	17.862	19.203	0.068	0.065	0.125	1.09	0.166	0.246	0.143	0.113	0.158	0.211	0.037	0.222	0.134	0.094	0.286	99.0	0.246	17.507	0.176	0.117	0.429	0.304	0.054	0.295	0.037	0.048	0.05	0.11	0.084	0.083	0.09	0.094	0.076	0.105	0.029	0.137	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6415522892338457	0.2616226733648481	0.09682503740130631
70063	26451	113.965152896	65.5832793812	17.74	17.912	18.274	17.531	17.604	17.239	18.278	17.91	17.82	18.874	16.841	19.155	17.448	17.772	17.805	17.2	17.019	17.002	18.896	17.722	17.66	18.722	16.863	99.0	19.165	19.185	19.694	19.737	18.854	18.633	19.094	19.125	19.087	19.471	17.969	20.276	0.072	0.092	0.139	0.168	0.14	0.105	0.271	0.153	0.137	0.377	0.059	0.853	0.092	0.13	0.152	0.205	0.128	0.129	0.737	0.199	0.186	0.52	0.098	99.0	0.042	0.049	0.072	0.186	0.077	0.069	0.101	0.081	0.074	0.108	0.03	0.361	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.988502339486529	0.009587145205249671	0.0019105153082214178
70455	1485	149.076360434	68.8286145796	18.478	18.453	19.333	19.069	18.951	18.36	18.819	19.42	18.706	19.32	16.622	18.656	18.46	18.365	19.26	19.037	18.438	18.358	18.735	19.808	18.439	19.346	16.572	18.556	18.765	18.721	19.643	19.247	19.23	18.663	19.169	19.553	19.242	19.385	16.928	19.463	0.051	0.055	0.121	0.216	0.212	0.122	0.177	0.272	0.13	0.229	0.019	0.18	0.079	0.078	0.181	0.331	0.204	0.188	0.254	0.605	0.157	0.363	0.026	0.258	0.033	0.036	0.076	0.12	0.135	0.081	0.121	0.149	0.105	0.119	0.015	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9733038672950391	0.02661521209972814	8.092060523254204e-05
