Tile	Number	RA	Dec	petro_radius	kron_radius	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
69138	12820	240.041138402	55.500169335	9.23999977	5.02959538	17.569	15.453	18.066	14.51	18.536	17.12	16.718	16.315	18.861	16.607	15.954	17.065	17.12	15.373	17.736	14.36	17.571	16.897	16.398	16.207	18.393	16.336	15.889	16.674	18.58	17.424	19.099	16.915	19.733	19.312	18.891	18.722	19.001	17.515	16.849	18.047	0.04	0.008	0.114	0.01	0.269	0.077	0.056	0.031	0.258	0.037	0.021	0.11	0.045	0.01	0.148	0.014	0.183	0.099	0.066	0.042	0.275	0.045	0.031	0.132	0.039	0.022	0.102	0.032	0.313	0.21	0.15	0.11	0.119	0.044	0.027	0.103	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0.5476011658658487	0.09208196403630639	0.360316870097845
69815	25381	276.902658957	60.1101307136	7.25999928	3.62557316	11.449	10.082	13.513	9.423	11.726	11.531	11.253	10.583	10.367	9.713	9.454	9.28	11.452	10.082	13.524	9.423	11.725	11.532	11.252	10.583	10.367	9.714	9.454	9.28	13.322	13.531	15.017	12.606	15.397	15.062	15.007	14.222	14.016	13.325	12.985	12.701	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.002	0.002	0.004	0.002	0.01	0.008	0.008	0.005	0.004	0.003	0.002	0.002	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.6549001000834184	0.1315401343473272	0.21355976556925438
74839	29762	359.999361605	35.9905535645	3.96000004	3.5	17.746	18.304	19.565	17.536	19.28	19.597	19.496	19.059	18.704	18.082	17.683	17.526	17.737	18.273	19.562	17.541	19.203	19.514	19.294	18.973	18.742	18.049	17.648	17.477	17.768	18.347	19.73	17.539	19.523	19.528	19.498	19.104	18.698	18.118	17.691	17.552	0.026	0.042	0.139	0.054	0.262	0.353	0.325	0.183	0.13	0.07	0.047	0.072	0.028	0.046	0.165	0.06	0.277	0.369	0.306	0.192	0.152	0.077	0.05	0.078	0.024	0.04	0.14	0.049	0.3	0.304	0.297	0.174	0.118	0.067	0.044	0.068	0	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4901737486387018	0.09325428895692392	0.41657196240437433
71690	16613	16.2567232493	2.07235075857	10.5600004	6.61272335	16.904	16.52	17.231	18.214	17.199	16.917	16.918	18.249	17.308	18.196	14.728	99.0	17.227	16.802	16.86	99.0	17.136	17.522	16.626	19.313	17.339	17.64	14.918	99.0	18.635	18.318	19.493	19.856	18.826	18.32	19.0	19.346	18.97	19.723	16.773	20.483	0.066	0.046	0.126	0.614	0.187	0.153	0.151	0.403	0.173	0.367	0.016	99.0	0.151	0.101	0.156	99.0	0.287	0.445	0.192	1.761	0.3	0.363	0.033	99.0	0.035	0.03	0.099	0.267	0.097	0.064	0.114	0.123	0.087	0.163	0.016	0.59	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9098345198611751	0.0009640396682388393	0.08920144047058601
71690	17695	16.2627902395	2.16803261956	10.5600004	7.22091484	18.842	18.448	20.711	18.955	18.282	17.513	18.556	19.786	18.379	21.252	16.522	18.269	19.647	18.266	22.776	18.554	18.675	17.768	18.229	99.0	18.5	99.0	16.578	17.943	19.414	19.118	20.093	19.844	18.775	18.729	19.181	19.304	18.922	19.685	17.924	20.015	0.169	0.12	1.323	0.515	0.229	0.117	0.304	0.748	0.204	2.742	0.037	0.337	0.527	0.149	13.292	0.534	0.479	0.217	0.331	99.0	0.336	99.0	0.058	0.374	0.069	0.056	0.172	0.265	0.092	0.09	0.134	0.119	0.084	0.159	0.036	0.385	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.6555194242157257	0.004830169685869527	0.3396504060984046
71690	17948	16.2867838969	2.15302283039	5.93999958	3.5	19.345	19.476	19.878	19.746	19.403	19.445	19.949	19.842	19.773	19.776	17.759	20.493	19.447	19.803	20.134	20.154	18.866	19.33	20.314	20.573	20.003	20.535	17.601	20.525	19.344	19.518	19.934	19.881	19.512	19.357	19.967	19.778	19.8	19.841	17.782	20.397	0.071	0.083	0.157	0.271	0.173	0.184	0.29	0.211	0.193	0.188	0.033	0.666	0.13	0.184	0.338	0.676	0.177	0.276	0.681	0.689	0.401	0.631	0.045	1.173	0.064	0.078	0.148	0.274	0.173	0.154	0.265	0.18	0.179	0.18	0.031	0.545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5496814136398893	0.014722774970661861	0.4355958113894488
71690	18758	16.2599953258	2.14481960376	5.27999973	3.5	17.587	18.574	18.644	18.524	18.403	17.702	18.45	19.033	18.137	19.18	15.795	18.597	17.655	18.888	18.761	18.814	18.587	17.866	18.504	19.606	18.353	19.447	15.822	18.488	17.794	18.816	18.924	19.067	18.495	18.032	18.552	18.906	18.626	19.342	15.929	18.806	0.024	0.06	0.084	0.146	0.115	0.063	0.122	0.165	0.072	0.178	0.011	0.194	0.033	0.104	0.125	0.255	0.177	0.095	0.168	0.366	0.115	0.299	0.013	0.233	0.018	0.044	0.06	0.131	0.073	0.051	0.078	0.085	0.066	0.117	0.009	0.128	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6549630391781442	0.0101114111779069	0.3349255496439488
65841	25169	259.1610298	40.4033279049	0.0	5.50916386	15.077	10.519	14.343	99.0	13.236	13.041	12.628	11.574	11.081	10.11	9.481	9.299	99.0	10.529	99.0	99.0	13.206	13.015	12.63	11.568	11.078	10.127	9.466	9.336	15.009	15.219	14.448	15.878	17.879	17.842	17.549	16.357	15.919	15.03	14.078	13.978	0.007	0.0	0.005	99.0	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.001	99.0	0.0	99.0	99.0	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.001	0.005	0.005	0.005	0.014	0.038	0.038	0.033	0.013	0.01	0.007	0.004	0.006	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.4878671052119781	0.35269698568611846	0.15943590910190336
74336	44684	330.00242034	33.0698533648	3.5	4.1589427	16.925	17.504	19.364	16.648	20.363	19.154	18.643	18.194	19.109	17.454	16.819	19.675	16.952	17.559	19.459	16.707	20.771	19.08	18.772	18.239	19.037	17.457	16.874	20.324	16.944	17.465	19.42	16.646	20.662	19.039	18.643	18.166	19.018	17.445	16.814	19.949	0.017	0.026	0.157	0.028	0.542	0.188	0.125	0.074	0.157	0.042	0.027	0.42	0.016	0.025	0.141	0.026	0.663	0.151	0.121	0.068	0.127	0.038	0.026	0.551	0.017	0.025	0.164	0.028	0.697	0.166	0.123	0.071	0.143	0.041	0.027	0.52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5832704914294913	0.07838640717116155	0.3383431013993471
70063	18900	113.693051339	65.3923173383	5.93999958	3.5	12.543	11.365	12.956	11.149	13.113	12.901	12.684	11.878	11.667	11.032	10.643	10.417	12.536	11.365	12.936	11.143	13.116	12.899	12.686	11.878	11.668	11.032	10.641	10.415	13.72	13.584	14.956	13.219	15.597	15.327	15.117	14.344	14.172	13.451	12.937	12.725	0.001	0.001	0.002	0.001	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.003	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.002	0.002	0.004	0.003	0.011	0.01	0.009	0.005	0.004	0.003	0.002	0.002	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.7899432132467553	0.0719583128835742	0.13809847386967047
70063	24151	114.205796131	65.6878349645	5.93999958	4.75463343	18.416	18.201	18.821	18.726	17.839	17.563	18.344	18.299	18.388	18.721	16.691	19.0	18.335	18.141	18.716	19.068	17.897	17.498	18.124	18.23	18.288	18.74	16.623	19.044	18.866	18.768	19.547	19.403	18.725	18.352	19.012	19.043	19.085	19.434	17.095	19.878	0.066	0.061	0.11	0.246	0.09	0.075	0.151	0.114	0.118	0.167	0.026	0.367	0.078	0.073	0.128	0.43	0.119	0.088	0.154	0.134	0.135	0.213	0.031	0.485	0.033	0.036	0.064	0.138	0.07	0.056	0.094	0.077	0.075	0.104	0.016	0.253	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6662318525245265	0.006325911090034907	0.3274422363854386
70063	24922	114.262511038	65.6696388524	3.96000004	4.15739155	19.547	19.599	20.669	20.195	19.655	19.294	19.988	19.942	20.153	20.267	17.717	21.116	19.558	19.593	20.607	20.07	19.637	19.347	19.841	19.932	20.234	20.277	17.716	21.261	19.577	19.608	20.483	20.269	19.66	19.377	19.797	19.995	20.122	20.192	17.749	20.915	0.07	0.085	0.217	0.348	0.186	0.146	0.266	0.199	0.227	0.261	0.028	0.958	0.068	0.081	0.195	0.296	0.175	0.146	0.222	0.189	0.234	0.252	0.027	1.045	0.06	0.071	0.15	0.306	0.156	0.132	0.187	0.174	0.183	0.203	0.025	0.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7237621845615374	0.004511257833220276	0.2717265576052423
70063	25289	113.879142574	65.6437701575	5.27999973	6.18864202	18.058	17.997	18.435	99.0	17.774	17.318	17.981	18.149	18.095	18.228	16.541	18.141	18.053	18.031	18.504	21.628	17.713	17.409	17.947	18.317	18.149	18.252	16.57	18.369	18.661	18.752	19.132	19.356	18.497	18.221	18.921	18.797	18.839	18.951	17.232	19.161	0.081	0.084	0.133	99.0	0.138	0.095	0.174	0.161	0.148	0.175	0.038	0.28	0.067	0.072	0.117	5.043	0.11	0.088	0.143	0.159	0.131	0.151	0.033	0.288	0.027	0.035	0.044	0.132	0.057	0.049	0.086	0.062	0.061	0.069	0.017	0.132	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.5090495633972125	0.013338119993782203	0.47761231660900527
70063	25592	113.876357812	65.6443585732	7.91999912	6.33741379	18.705	18.846	19.838	19.488	18.435	17.737	18.818	19.952	18.736	22.233	16.898	20.358	18.653	18.69	19.792	20.092	18.14	17.522	18.783	19.989	18.876	21.586	16.882	19.038	19.106	19.171	20.172	19.616	18.961	18.559	19.321	19.829	19.36	20.103	17.421	20.407	0.087	0.11	0.281	0.5	0.155	0.087	0.232	0.521	0.162	4.248	0.032	1.292	0.109	0.124	0.357	1.146	0.153	0.092	0.289	0.694	0.239	3.037	0.041	0.501	0.04	0.049	0.112	0.167	0.084	0.065	0.121	0.151	0.093	0.188	0.02	0.409	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.643612317055343	0.005118459183387501	0.35126922376126946
70063	27107	113.938873491	65.5479019269	5.93999958	3.5	19.631	19.735	20.333	20.415	19.431	19.362	19.799	19.848	19.654	20.01	18.367	20.3	19.559	19.465	19.982	20.019	19.277	18.867	20.134	19.61	19.355	20.019	18.204	20.41	19.735	19.862	20.443	20.557	19.527	19.337	19.979	19.873	19.78	20.195	18.516	20.555	0.076	0.096	0.161	0.482	0.155	0.157	0.23	0.189	0.147	0.213	0.048	0.465	0.122	0.127	0.203	0.547	0.225	0.166	0.525	0.255	0.189	0.364	0.067	0.884	0.067	0.087	0.14	0.451	0.137	0.125	0.219	0.156	0.133	0.202	0.045	0.466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5262568680262609	0.008595582042679201	0.4651475499310599
64840	10896	121.728414441	38.7531571015	5.93999958	4.88310909	11.187	10.73	9.978	12.567	12.771	12.71	12.311	11.468	11.304	10.243	9.791	9.464	11.138	10.403	9.714	12.516	12.489	12.425	12.032	11.182	11.023	9.957	9.47	9.163	11.361	11.128	10.402	14.967	13.132	13.098	12.688	11.853	11.701	10.628	10.161	9.854	0.001	0.0	0.0	0.002	0.002	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0.002	0.002	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.001	0.001	0.0	0.009	0.003	0.003	0.003	0.001	0.001	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9913406569546374	0.0016297310412424276	0.007029612004120265
64840	11635	121.728724424	38.7525549118	5.27999973	4.16338491	11.532	10.393	9.575	12.099	12.532	12.443	12.063	11.208	10.995	9.976	9.474	9.142	11.49	10.337	9.471	11.91	12.5	12.384	12.013	11.151	10.912	9.923	9.428	9.074	12.081	11.454	10.845	13.66	13.422	13.417	12.979	12.17	12.028	10.938	10.512	10.222	0.001	0.0	0.0	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.002	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.001	0.001	0.0	0.003	0.003	0.003	0.003	0.002	0.001	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9247667202210978	0.026632521582221656	0.04860075819668046
70135	19852	275.086569341	65.3220653301	0.0	0.0	99.0	99.0	99.0	99.0	9.68	9.446	9.315	99.0	9.536	13.423	99.0	99.0	99.0	99.0	99.0	99.0	9.842	9.64	9.499	99.0	9.653	99.0	99.0	99.0	14.935	14.944	14.741	15.302	16.382	16.161	16.059	15.486	14.99	14.731	14.241	14.257	99.0	99.0	99.0	99.0	0.001	0.001	0.0	99.0	0.001	0.015	99.0	99.0	99.0	99.0	99.0	99.0	0.001	0.001	0.001	99.0	0.001	99.0	99.0	99.0	0.004	0.005	0.004	0.011	0.018	0.017	0.017	0.011	0.007	0.006	0.005	0.005	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.4113884926045356	0.1919580797373036	0.396653427658161
70135	20420	274.970377038	65.2987667854	3.5	3.5	11.632	10.83	12.896	12.183	13.174	13.041	12.51	11.645	11.242	10.602	9.954	10.231	11.632	10.83	12.896	12.183	13.174	13.041	12.51	11.645	11.242	10.602	9.954	10.231	13.037	13.68	14.343	14.088	16.381	16.322	15.628	14.869	14.461	13.724	12.824	12.856	0.001	0.001	0.002	0.002	0.004	0.004	0.003	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.002	0.004	0.004	0.003	0.001	0.001	0.001	0.001	0.001	0.002	0.002	0.002	0.004	0.015	0.015	0.01	0.006	0.005	0.003	0.002	0.002	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.8809928864559989	0.05913652414487963	0.05987058939912136
70135	28962	273.185338507	65.5634929725	3.5	3.5	12.088	12.116	13.215	13.623	16.84	13.82	13.511	16.216	16.089	15.504	11.5	14.642	12.088	12.116	13.215	13.623	16.84	13.82	13.511	16.216	16.089	15.504	11.5	14.642	12.179	12.25	13.524	14.4	17.622	13.897	13.663	17.772	18.119	17.165	11.578	17.503	0.001	0.002	0.002	0.004	0.048	0.007	0.006	0.023	0.024	0.013	0.002	0.01	0.001	0.002	0.002	0.004	0.048	0.007	0.006	0.023	0.024	0.013	0.002	0.01	0.001	0.002	0.002	0.005	0.05	0.007	0.006	0.044	0.062	0.028	0.002	0.037	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	0.5399761159449734	0.05139922382160157	0.408624660233425
70455	1485	149.076360434	68.8286145796	6.59999943	4.2734046	18.478	18.453	19.333	19.069	18.951	18.36	18.819	19.42	18.706	19.32	16.622	18.656	18.46	18.365	19.26	19.037	18.438	18.358	18.735	19.808	18.439	19.346	16.572	18.556	18.765	18.721	19.643	19.247	19.23	18.663	19.169	19.553	19.242	19.385	16.928	19.463	0.051	0.055	0.121	0.216	0.212	0.122	0.177	0.272	0.13	0.229	0.019	0.18	0.079	0.078	0.181	0.331	0.204	0.188	0.254	0.605	0.157	0.363	0.026	0.258	0.033	0.036	0.076	0.12	0.135	0.081	0.121	0.149	0.105	0.119	0.015	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7057773994995151	0.008751124593119164	0.28547147590736566
70455	1906	148.934644873	68.8648100617	10.5600004	6.4618721	19.077	18.883	19.435	19.198	19.203	18.874	19.151	19.328	18.897	19.364	17.766	19.752	19.286	19.034	19.156	18.987	18.929	18.719	19.57	18.963	18.3	20.046	17.6	18.602	19.85	19.63	20.69	20.724	19.94	19.524	19.61	19.626	19.725	19.899	18.795	20.596	0.12	0.109	0.183	0.333	0.364	0.264	0.326	0.341	0.209	0.323	0.067	0.672	0.247	0.209	0.245	0.466	0.467	0.379	0.79	0.406	0.199	1.008	0.095	0.393	0.085	0.077	0.194	0.461	0.257	0.173	0.179	0.16	0.161	0.19	0.063	0.503	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.6546840286772588	0.005287404648787101	0.34002856667395404
63583	8113	126.483101735	32.9514034657	3.96000004	7.44353485	18.992	18.852	18.875	19.227	19.161	20.718	19.469	18.988	19.049	18.474	18.369	18.619	19.65	20.346	19.808	19.772	20.545	23.096	20.791	20.492	20.447	19.841	19.897	19.8	19.266	18.762	19.413	19.242	19.475	20.03	19.841	19.002	18.984	18.336	18.248	19.103	0.103	0.092	0.125	0.34	0.256	1.089	0.349	0.184	0.193	0.112	0.107	0.252	0.105	0.195	0.16	0.303	0.495	5.268	0.64	0.395	0.376	0.211	0.233	0.406	0.1	0.074	0.151	0.255	0.263	0.451	0.378	0.153	0.15	0.087	0.083	0.294	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0.6410839324950083	0.031467885410857356	0.32744818209413434
73268	5491	343.426680858	11.2751893939	5.27999973	3.71674752	16.711	16.509	17.163	17.042	17.533	17.033	17.03	17.376	17.24	15.321	15.048	17.166	16.629	16.47	17.045	16.8	17.406	17.067	16.989	17.185	17.232	15.289	15.024	17.035	17.258	16.88	17.862	17.777	17.971	17.591	17.411	18.008	17.712	15.607	15.39	18.033	0.018	0.016	0.037	0.063	0.079	0.05	0.049	0.056	0.05	0.01	0.008	0.09	0.023	0.02	0.048	0.073	0.099	0.072	0.067	0.066	0.07	0.012	0.01	0.115	0.012	0.011	0.026	0.043	0.047	0.035	0.031	0.04	0.033	0.008	0.007	0.07	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.8694925686376448	0.0063017318910807705	0.12420569947127448
70466	8292	184.272580331	69.3132703672	5.93999958	6.34706211	19.142	18.939	19.658	19.703	18.694	19.18	19.613	18.967	19.118	19.019	17.475	19.439	19.088	18.906	19.778	19.396	18.687	19.772	20.036	18.962	19.108	19.075	17.499	19.266	19.422	19.557	19.986	20.079	19.061	19.204	19.432	19.578	19.519	19.68	17.959	20.326	0.174	0.163	0.324	0.778	0.291	0.476	0.691	0.336	0.345	0.321	0.071	0.738	0.154	0.148	0.337	0.547	0.271	0.768	0.954	0.313	0.32	0.316	0.067	0.587	0.063	0.082	0.118	0.302	0.121	0.14	0.17	0.169	0.143	0.168	0.034	0.458	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.5352215140741984	0.009307853970297693	0.45547063195550397
70466	9911	184.288039302	69.3403892094	0.0	7.80444908	19.64	18.289	99.0	99.0	16.692	17.667	19.256	18.413	18.535	99.0	16.093	18.958	99.0	99.0	99.0	99.0	16.378	17.437	99.0	18.936	99.0	99.0	16.165	99.0	19.25	18.979	19.943	19.817	18.956	18.956	19.409	19.287	19.36	19.913	17.604	20.012	0.85	0.248	99.0	99.0	0.118	0.326	1.33	0.542	0.55	99.0	0.056	1.349	99.0	99.0	99.0	99.0	0.12	0.37	99.0	1.214	99.0	99.0	0.084	99.0	0.055	0.051	0.116	0.238	0.111	0.114	0.168	0.132	0.125	0.364	0.027	0.346	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.7572941235725736	0.004229977142098461	0.23847589928532784
70466	12949	183.96045521	69.8811433113	5.27999973	3.99529672	11.898	9.864	13.949	9.638	10.536	10.201	10.089	9.724	9.712	9.602	9.633	9.598	11.899	9.864	13.952	9.638	10.536	10.201	10.089	9.724	9.712	9.602	9.634	9.598	14.137	13.046	15.169	13.056	14.296	13.993	13.768	13.32	13.268	13.291	13.419	13.541	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.003	0.002	0.005	0.005	0.004	0.003	0.003	0.003	0.003	0.003	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.7853717422826914	0.018427728073035606	0.19620052964427306
70466	18549	184.115994969	69.4120038902	6.59999943	4.47764921	18.925	18.788	19.974	19.661	19.065	18.506	18.979	19.326	19.379	20.352	16.973	20.026	19.045	19.119	20.155	19.929	18.978	18.693	19.292	19.445	19.93	20.403	16.982	19.656	18.717	18.632	19.448	19.232	18.889	18.504	18.934	19.083	19.174	19.693	16.981	19.481	0.047	0.049	0.138	0.238	0.136	0.086	0.129	0.155	0.145	0.356	0.018	0.404	0.085	0.106	0.272	0.509	0.203	0.164	0.278	0.282	0.395	0.618	0.026	0.481	0.031	0.034	0.067	0.127	0.095	0.07	0.101	0.1	0.097	0.156	0.015	0.194	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6633447482674403	0.008382323824135925	0.3282729279084237
69173	15624	275.9187995	55.3863985383	5.27999973	3.5	19.752	20.133	19.904	19.324	19.996	24.38	20.501	20.64	20.166	20.015	18.884	18.576	19.773	20.171	20.103	19.221	19.919	21.6	21.786	20.416	20.06	20.082	18.871	18.472	19.736	20.128	19.891	19.362	19.944	23.38	20.489	20.559	20.096	20.012	18.897	18.591	0.082	0.124	0.114	0.177	0.26	15.769	0.454	0.386	0.239	0.194	0.07	0.102	0.124	0.19	0.208	0.244	0.362	1.822	2.214	0.471	0.324	0.308	0.101	0.139	0.077	0.119	0.108	0.176	0.24	6.056	0.431	0.347	0.216	0.187	0.068	0.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5002802065752591	0.1412292689598101	0.35849052446493085
65514	2	144.57898924	39.4583550381	10.5600004	8.24542427	17.897	18.1	17.428	19.762	19.323	19.223	18.956	18.669	18.64	18.149	17.381	17.253	17.617	17.813	17.232	18.685	19.239	19.535	18.614	18.357	18.37	17.767	17.227	16.902	19.132	19.209	18.234	22.986	20.647	21.356	19.746	19.651	19.231	18.977	18.381	18.212	0.065	0.072	0.065	0.234	0.467	0.437	0.365	0.224	0.225	0.142	0.076	0.133	0.064	0.07	0.07	0.181	0.55	0.739	0.339	0.214	0.223	0.127	0.083	0.123	0.09	0.094	0.062	99.0	0.693	1.373	0.339	0.251	0.178	0.142	0.09	0.139	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0.9434654067841493	0.0036864504558209513	0.05284814276002979
73244	19538	340.740430895	11.7588778363	3.5	3.5	11.466	11.463	13.645	11.011	12.901	12.705	12.526	11.864	11.748	11.187	10.919	10.836	11.466	11.463	13.645	11.011	12.901	12.705	12.526	11.864	11.748	11.187	10.919	10.836	12.203	12.245	14.512	11.848	13.58	13.357	13.223	12.598	12.51	11.992	11.755	11.72	0.001	0.001	0.003	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.003	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.004	0.001	0.003	0.003	0.003	0.002	0.002	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9313263561154403	0.009824374024246794	0.05884926986031287
