Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
71690	16613	16.2567232493	2.07235075857	16.904	16.52	17.231	18.214	17.199	16.917	16.918	18.249	17.308	18.196	14.728	99.0	17.227	16.802	16.86	99.0	17.136	17.522	16.626	19.313	17.339	17.64	14.918	99.0	18.635	18.318	19.493	19.856	18.826	18.32	19.0	19.346	18.97	19.723	16.773	20.483	0.066	0.046	0.126	0.614	0.187	0.153	0.151	0.403	0.173	0.367	0.016	99.0	0.151	0.101	0.156	99.0	0.287	0.445	0.192	1.761	0.3	0.363	0.033	99.0	0.035	0.03	0.099	0.267	0.097	0.064	0.114	0.123	0.087	0.163	0.016	0.59	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9997381758485789	0.00026173369019809756	9.046122296313806e-08
71690	16885	16.2572506852	2.10541303211	18.965	18.86	19.266	19.528	18.703	18.642	18.514	18.751	18.744	18.847	18.249	19.957	18.955	18.85	19.15	19.44	18.705	18.732	18.686	18.717	18.739	18.907	18.272	20.086	19.006	18.851	19.177	19.529	18.67	18.815	18.722	18.728	18.77	18.915	18.309	19.924	0.063	0.061	0.114	0.282	0.118	0.113	0.101	0.101	0.098	0.104	0.061	0.52	0.053	0.052	0.087	0.218	0.101	0.105	0.101	0.084	0.083	0.093	0.053	0.492	0.048	0.045	0.075	0.199	0.084	0.097	0.09	0.073	0.074	0.081	0.048	0.356	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6375625207781027	0.050093956209540755	0.31234352301235646
71690	17355	16.2730098396	2.15494073647	16.677	16.647	16.904	16.682	17.222	17.411	16.611	16.767	16.424	16.277	15.757	17.481	99.0	19.566	18.006	16.834	99.0	99.0	18.274	99.0	18.402	16.54	99.0	99.0	19.232	19.797	19.659	19.217	19.04	18.884	20.212	19.765	19.677	20.054	17.752	19.689	0.093	0.089	0.166	0.265	0.313	0.407	0.192	0.171	0.131	0.105	0.072	0.676	99.0	2.062	0.749	0.499	99.0	99.0	1.377	99.0	1.281	0.205	99.0	99.0	0.059	0.101	0.116	0.15	0.116	0.104	0.334	0.18	0.161	0.218	0.032	0.286	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.8000012219187547	0.19574758490856595	0.004251193172679516
71690	17695	16.2627902395	2.16803261956	18.842	18.448	20.711	18.955	18.282	17.513	18.556	19.786	18.379	21.252	16.522	18.269	19.647	18.266	22.776	18.554	18.675	17.768	18.229	99.0	18.5	99.0	16.578	17.943	19.414	19.118	20.093	19.844	18.775	18.729	19.181	19.304	18.922	19.685	17.924	20.015	0.169	0.12	1.323	0.515	0.229	0.117	0.304	0.748	0.204	2.742	0.037	0.337	0.527	0.149	13.292	0.534	0.479	0.217	0.331	99.0	0.336	99.0	0.058	0.374	0.069	0.056	0.172	0.265	0.092	0.09	0.134	0.119	0.084	0.159	0.036	0.385	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.9919350960114258	0.0069873801045455585	0.0010775238840285695
71690	17943	16.258357097	2.14767972402	17.783	17.862	18.134	17.7	17.937	16.939	17.059	18.295	18.493	18.068	15.946	17.147	20.675	17.796	17.941	17.33	99.0	16.61	16.477	99.0	99.0	17.207	17.117	16.338	18.499	18.601	18.876	18.956	18.499	18.25	18.525	18.587	18.555	18.777	17.364	18.778	0.114	0.123	0.223	0.293	0.286	0.12	0.133	0.327	0.398	0.252	0.039	0.216	3.066	0.214	0.358	0.399	99.0	0.163	0.142	99.0	99.0	0.207	0.212	0.195	0.032	0.038	0.058	0.118	0.074	0.062	0.077	0.066	0.063	0.072	0.024	0.125	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.7320158860122422	0.16026857693956212	0.10771553704819567
71690	17948	16.2867838969	2.15302283039	19.345	19.476	19.878	19.746	19.403	19.445	19.949	19.842	19.773	19.776	17.759	20.493	19.447	19.803	20.134	20.154	18.866	19.33	20.314	20.573	20.003	20.535	17.601	20.525	19.344	19.518	19.934	19.881	19.512	19.357	19.967	19.778	19.8	19.841	17.782	20.397	0.071	0.083	0.157	0.271	0.173	0.184	0.29	0.211	0.193	0.188	0.033	0.666	0.13	0.184	0.338	0.676	0.177	0.276	0.681	0.689	0.401	0.631	0.045	1.173	0.064	0.078	0.148	0.274	0.173	0.154	0.265	0.18	0.179	0.18	0.031	0.545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.963677167513544	0.03561132924996355	0.0007115032364924913
71690	18107	16.2602086665	2.13418797285	16.984	16.583	16.654	18.05	16.927	15.339	15.708	16.532	16.126	16.433	99.0	16.663	99.0	17.783	17.098	99.0	18.851	15.022	15.361	17.306	16.064	16.617	99.0	16.764	19.071	19.073	19.404	19.461	19.133	18.812	18.979	18.883	18.854	19.173	18.48	19.914	0.14	0.095	0.151	1.072	0.269	0.068	0.094	0.155	0.113	0.137	99.0	0.363	99.0	0.419	0.341	99.0	2.218	0.074	0.098	0.448	0.156	0.231	99.0	0.594	0.052	0.056	0.093	0.188	0.129	0.099	0.116	0.087	0.082	0.103	0.057	0.352	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6458718649859494	0.08465761463400594	0.2694705203800447
71690	18758	16.2599953258	2.14481960376	17.587	18.574	18.644	18.524	18.403	17.702	18.45	19.033	18.137	19.18	15.795	18.597	17.655	18.888	18.761	18.814	18.587	17.866	18.504	19.606	18.353	19.447	15.822	18.488	17.794	18.816	18.924	19.067	18.495	18.032	18.552	18.906	18.626	19.342	15.929	18.806	0.024	0.06	0.084	0.146	0.115	0.063	0.122	0.165	0.072	0.178	0.011	0.194	0.033	0.104	0.125	0.255	0.177	0.095	0.168	0.366	0.115	0.299	0.013	0.233	0.018	0.044	0.06	0.131	0.073	0.051	0.078	0.085	0.066	0.117	0.009	0.128	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9905304665671423	0.009464419603947569	5.113828910136492e-06
71690	19796	16.2521709332	2.17814202988	18.965	19.035	19.197	18.732	18.371	19.123	18.642	18.999	19.152	18.769	17.836	23.178	18.945	18.923	19.241	18.636	18.228	19.283	18.585	18.976	19.177	18.755	17.827	99.0	19.255	19.318	19.45	19.372	19.143	19.155	19.332	19.467	19.491	19.379	18.125	19.77	0.103	0.112	0.176	0.225	0.137	0.281	0.181	0.199	0.227	0.153	0.067	16.71	0.111	0.111	0.202	0.227	0.132	0.358	0.188	0.214	0.255	0.166	0.073	99.0	0.059	0.066	0.096	0.172	0.125	0.13	0.151	0.138	0.138	0.12	0.041	0.308	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6317718496099001	0.2339893155079121	0.1342388348821877
71690	23029	16.2526358051	2.14737116302	17.494	99.0	17.591	18.713	18.656	99.0	18.304	17.777	18.247	99.0	16.022	99.0	17.048	99.0	17.0	17.508	99.0	99.0	99.0	99.0	19.154	99.0	15.598	99.0	19.079	19.27	19.66	19.663	18.609	18.357	19.018	19.366	19.178	19.616	17.654	19.856	0.192	99.0	0.306	1.686	1.14	99.0	0.887	0.421	0.687	99.0	0.09	99.0	0.205	99.0	0.291	0.91	99.0	99.0	99.0	99.0	2.509	99.0	0.097	99.0	0.051	0.064	0.116	0.225	0.081	0.067	0.116	0.128	0.105	0.15	0.03	0.333	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9884825562018721	0.01079367303371668	0.000723770764411168
