Tile	Number	RA	Dec	petro_radius	kron_radius	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err
62617	9746	194.865739844	27.6362671396	3.96	3.5	(15.790727,	15.621176,	17.324322,	17.380375,	16.156822,	15.66998,	17.013565,	17.231136,	16.710396,	17.662643,	13.522712,	17.537762)	(15.77989,	15.608102,	17.311888,	17.364243,	16.144741,	15.656497,	16.996063,	17.206795,	16.705982,	17.659374,	13.508908,	17.475756)	(15.906326,	15.751158,	17.433239,	17.576277,	16.316946,	15.843659,	17.163048,	17.360767,	16.857944,	17.784311,	13.666346,	17.676388)	(0.0048375693,	0.004928688,	0.019035505,	0.046255115,	0.015382477,	0.011364975,	0.03152704,	0.032802697,	0.019648485,	0.045095425,	0.0022986738,	0.061430506)	(0.0051730517,	0.005206186,	0.021156084,	0.05112582,	0.016533885,	0.012027656,	0.03436,	0.035751626,	0.021537125,	0.050363738,	0.0023255954,	0.065472856)	(0.004116904,	0.0044192523,	0.012831156,	0.032637026,	0.013104512,	0.010437222,	0.024220983,	0.023806807,	0.015407328,	0.031162562,	0.002398076,	0.040788002)
63864	47481	283.393294541	33.0335435994	5.2799997	3.5	(9.448959,	9.566938,	11.0795355,	10.863426,	10.06657,	9.309883,	10.585426,	11.541768,	11.111643,	11.4921875,	7.1312656,	11.547175)	(9.429386,	9.552446,	10.992815,	10.780838,	10.052866,	9.301222,	10.569351,	11.4966345,	11.074663,	11.414714,	7.1232243,	11.418537)	(14.257315,	13.6384115,	15.701819,	15.34168,	14.895421,	14.276547,	14.948278,	16.025505,	15.522745,	16.125507,	11.9254,	16.347017)	(3.9294898E-4,	3.8880724E-4,	0.0021350745,	0.003176726,	9.489796E-4,	5.9071777E-4,	0.0013895587,	0.0026113763,	0.0017706002,	0.0028101807,	1.4224339E-4,	0....	(6.818364E-4,	5.632786E-4,	0.0038766824,	0.0056700623,	0.001317078,	7.21183E-4,	0.0019466247,	0.0041127624,	0.0027584087,	0.004613915,	1.704591E-4,	0.01034...	(0.0022883194,	0.0021309329,	0.0053470056,	0.0064818463,	0.007243929,	0.0056162192,	0.007803066,	0.011257289,	0.008258659,	0.011364975,	0.0013408931,	0.016...
65750	23821	241.11060562	40.68301404	3.5	3.5	(13.481384,	12.716546,	14.128983,	14.364841,	12.874739,	13.005023,	12.982017,	13.131762,	13.116795,	13.534744,	12.099852,	14.408803)	(13.481384,	12.716546,	14.128983,	14.364841,	12.874739,	13.005023,	12.982017,	13.131762,	13.116795,	13.534744,	12.099852,	14.408803)	(14.092498,	13.56391,	14.520056,	14.850895,	13.109442,	13.245087,	13.32108,	13.33432,	13.437599,	13.765971,	14.022703,	14.793478)	(0.0016794816,	0.0012735896,	0.0032844115,	0.0088882055,	0.0027853302,	0.0031870804,	0.0032512774,	0.003276128,	0.0026134471,	0.003344467,	0.0012860148,	0....	(0.0016794816,	0.0012735896,	0.0032844115,	0.0088882055,	0.0027853302,	0.0031870804,	0.0032512774,	0.003276128,	0.0026134471,	0.003344467,	0.0012860148,	0....	(0.0016608436,	0.0017219345,	0.002001503,	0.0042660073,	0.0026134471,	0.0029427167,	0.0031663715,	0.002888874,	0.0025285413,	0.0028350311,	0.002957213,	0.0...
64078	73697	282.507715505	35.2425002663	4.62	3.5	(14.126598,	14.934493,	15.930857,	15.714532,	14.576941,	13.853022,	15.355707,	16.269339,	15.9007845,	16.130123,	11.964308,	16.368366)	(14.101244,	14.917927,	15.857445,	15.664407,	14.564302,	13.845694,	15.304343,	16.172976,	15.841362,	16.083363,	11.939317,	16.229836)	(15.912069,	16.38468,	17.82063,	17.545639,	16.2956,	15.628348,	17.02833,	17.930504,	17.529991,	17.893856,	13.697029,	18.340685)	(0.0032036472,	0.0061049466,	0.019714752,	0.03218972,	0.008929623,	0.0058357324,	0.01867103,	0.031874944,	0.021338321,	0.027700055,	0.0014050903,	0.06212632)	(0.0040630614,	0.0077409395,	0.026043354,	0.043968868,	0.010934233,	0.006896022,	0.02306129,	0.038998764,	0.0266729,	0.03551969,	0.0015138114,	0.07574441)	(0.005471258,	0.008403621,	0.023326363,	0.03334941,	0.015075987,	0.011298707,	0.02589425,	0.03790534,	0.026772304,	0.035718493,	0.0031518755,	0.07879274)
65251	18195	285.11059984	38.3520055081	3.5	3.5	(14.249354,	14.015384,	15.048712,	15.093371,	14.8802,	14.739664,	14.968451,	15.251929,	14.932913,	15.576821,	12.151668,	15.30015)	(14.249354,	14.015384,	15.048712,	15.093371,	14.8802,	14.739664,	14.968451,	15.251929,	14.932913,	15.576821,	12.151668,	15.30015)	(14.369451,	14.112315,	15.249701,	15.383348,	14.963175,	14.812332,	15.05442,	15.3593445,	15.020587,	15.715648,	12.232513,	15.597014)	(0.0020719129,	0.0019466247,	0.010163866,	0.0062540495,	0.00908701,	0.009691706,	0.0113898255,	0.013087945,	0.009766257,	0.01635993,	0.001529343,	0.009136711)	(0.0020719129,	0.0019466247,	0.010163866,	0.0062540495,	0.00908701,	0.009691706,	0.0113898255,	0.013087945,	0.009766257,	0.01635993,	0.001529343,	0.009136711)	(0.001536591,	0.0016950131,	0.005810882,	0.0027128493,	0.0065439725,	0.006925014,	0.0077947825,	0.008498881,	0.006792478,	0.0097248405,	0.0014993153,	0.004...
67905	25070	284.833521439	48.4656040554	5.2799997	3.5	(14.719492,	13.930852,	16.030157,	15.795918,	14.893034,	14.421804,	15.297124,	16.206985,	15.630041,	16.733204,	12.496021,	16.129124)	(14.719112,	13.937328,	15.992905,	15.893168,	14.823935,	14.432956,	15.213007,	16.188246,	15.62009,	16.685402,	12.49559,	16.0583)	(17.981575,	17.035406,	19.330194,	19.159554,	18.26524,	17.803562,	18.57455,	19.508041,	18.809784,	20.05632,	15.719198,	19.583977)	(0.010105882,	0.005284879,	0.041715752,	0.07249728,	0.0266729,	0.01900237,	0.041251875,	0.069846556,	0.037441462,	0.10828204,	0.0027439126,	0.10278179)	(0.017329102,	0.008370486,	0.07123818,	0.13810267,	0.038766824,	0.029356757,	0.05930993,	0.10821577,	0.0579183,	0.17123671,	0.0041189753,	0.1608989)	(0.020460268,	0.013253615,	0.07103938,	0.13266869,	0.0689188,	0.051954173,	0.09509469,	0.15493476,	0.07879274,	0.22001001,	0.008846788,	0.2272995)
70242	18193	269.639259102	66.6331301651	3.96	3.5	(8.832487,	8.246782,	9.779648,	9.460571,	9.264965,	9.317766,	9.208416,	9.749533,	9.42865,	10.293161,	6.4762363,	10.352276)	(8.829634,	8.243561,	9.776966,	9.457508,	9.260805,	9.314352,	9.205067,	9.74696,	9.42602,	10.290665,	6.473688,	10.349293)	(11.013781,	10.43,	11.6696,	11.6012335,	10.664188,	10.769381,	10.714697,	10.929007,	10.880748,	11.293927,	9.172888,	11.863506)	(1.6178729E-4,	1.4871488E-4,	2.2585507E-4,	3.0726643E-4,	4.3747283E-4,	4.6905372E-4,	4.5067468E-4,	4.8743276E-4,	4.038211E-4,	6.0158985E-4,	1.1402769E-4,	6...	(1.6282273E-4,	1.4871488E-4,	2.3129111E-4,	3.1813854E-4,	4.398026E-4,	4.711246E-4,	4.5274556E-4,	4.907979E-4,	4.0615082E-4,	6.093557E-4,	1.1402769E-4,	6.97...	(4.5818163E-4,	4.5274556E-4,	5.513711E-4,	8.0246496E-4,	8.6510903E-4,	9.489796E-4,	9.422492E-4,	8.599318E-4,	8.2213833E-4,	9.489796E-4,	3.8440662E-4,	0.001...
63152	5786	126.773018138	31.5022576111	3.5	3.5	(16.013994,	15.486676,	16.41856,	16.824776,	14.956013,	15.0830555,	15.17671,	15.239092,	15.322711,	15.658098,	16.180872,	16.723692)	(16.013994,	15.486676,	16.41856,	16.824776,	14.956013,	15.0830555,	15.17671,	15.239092,	15.322711,	15.658098,	16.180872,	16.723692)	(16.059181,	15.527555,	16.470707,	16.833786,	14.996439,	15.125399,	15.218808,	15.28926,	15.373969,	15.693157,	16.214996,	16.749908)	(0.006622666,	0.0046014898,	0.018836701,	0.030102273,	0.005678346,	0.0062581915,	0.006610241,	0.006722068,	0.0068794545,	0.008532015,	0.012541234,	0.025364...	(0.006622666,	0.0046014898,	0.018836701,	0.030102273,	0.005678346,	0.0062581915,	0.006610241,	0.006722068,	0.0068794545,	0.008532015,	0.012541234,	0.025364...	(0.0062167738,	0.00453108,	0.0163765,	0.023508599,	0.005636928,	0.0061877817,	0.006519122,	0.006639233,	0.006775911,	0.008146832,	0.011398109,	0.02050997)
70145	19210	280.424543813	65.199498784	4.62	3.5	(17.047592,	18.226082,	18.686533,	18.14874,	17.6381,	16.88644,	18.317902,	18.487171,	18.435303,	19.559057,	14.864617,	18.837656)	(17.00455,	18.155388,	18.557116,	17.984901,	17.648184,	16.888748,	18.166388,	18.366783,	18.284939,	19.657194,	14.835331,	18.514612)	(17.305386,	18.432423,	19.041794,	18.471981,	17.795418,	17.141026,	18.567593,	18.907944,	18.679348,	19.584696,	15.071483,	19.032444)	(0.013038244,	0.039992783,	0.05997261,	0.08608223,	0.058382176,	0.03250449,	0.11504138,	0.10523371,	0.09138367,	0.24095072,	0.005247603,	0.19973198)	(0.015970606,	0.048972107,	0.07190086,	0.09907077,	0.07647336,	0.041285012,	0.13127705,	0.12431891,	0.10443849,	0.35175094,	0.0057528974,	0.1986717)	(0.010230134,	0.026987674,	0.04039039,	0.0564604,	0.037739668,	0.025032766,	0.074882925,	0.0782626,	0.060138278,	0.12166819,	0.005214469,	0.11517391)
66453	45492	282.159830548	41.8507052491	6.5999994	4.079804	(19.499065,	19.761494,	19.077644,	19.44249,	99.0,	20.932745,	20.378662,	99.0,	20.146317,	19.633085,	19.602001,	19.300724)	(19.460737,	19.376966,	18.97628,	19.880054,	21.737576,	22.232052,	99.0,	20.236511,	22.841068,	19.638742,	19.305904,	19.132944)	(20.352425,	20.493883,	19.948853,	20.223698,	99.0,	21.545124,	21.314089,	21.571758,	21.010015,	20.129715,	20.46698,	19.999128)	(0.11252319,	0.14234383,	0.229155,	0.20317791,	99.0,	1.4631991,	0.88693196,	99.0,	0.5980031,	0.38143903,	0.32683414,	0.20251524)	(0.19350278,	0.1693812,	0.3559921,	0.54976,	4.0566664,	7.905516,	99.0,	1.1535946,	11.790416,	0.63511324,	0.42385063,	0.30642357)	(0.09933585,	0.118686125,	0.21404588,	0.16301946,	99.0,	1.1196654,	0.9102583,	1.0306011,	0.57467675,	0.26308426,	0.30642357,	0.1550673)
