Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
74839	4782	0.779165135739	34.7929108294	12.484	11.834	15.049	9.143	15.337	14.86	14.609	13.321	12.695	11.204	10.158	9.091	12.442	11.826	14.458	9.132	15.355	14.86	14.613	13.315	12.69	11.196	10.149	9.081	14.383	15.575	15.477	12.259	19.329	18.73	18.876	17.111	16.65	14.936	14.01	12.701	0.001	0.0	0.005	0.0	0.011	0.008	0.006	0.002	0.001	0.001	0.0	0.0	0.001	0.0	0.004	0.0	0.013	0.008	0.007	0.002	0.001	0.001	0.0	0.0	0.003	0.003	0.005	0.001	0.148	0.09	0.1	0.02	0.014	0.005	0.003	0.002	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4.146649931261536e-09	0.9845383465113062	0.015461649342043911
62426	24658	257.985921359	23.6425619514	17.929	18.434	17.758	17.653	19.907	19.765	19.79	19.186	18.856	18.306	17.386	17.638	17.91	18.422	17.736	17.628	19.91	19.827	19.988	19.24	18.873	18.295	17.377	17.655	17.969	18.475	17.798	17.681	19.991	19.819	19.645	19.147	18.908	18.369	17.402	17.691	0.021	0.034	0.024	0.037	0.079	0.098	0.212	0.138	0.056	0.032	0.011	0.041	0.022	0.037	0.027	0.04	0.089	0.115	0.284	0.161	0.064	0.035	0.012	0.046	0.018	0.03	0.021	0.03	0.069	0.083	0.148	0.107	0.047	0.027	0.01	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018684432115030308	0.5689189017309524	0.43089425394789715
73147	3844	350.975135226	9.66760428408	12.707	13.412	12.365	12.095	15.093	14.679	14.365	14.016	13.874	13.218	12.459	12.204	12.671	13.382	12.325	12.058	15.036	14.647	14.262	13.944	13.844	13.173	12.422	12.156	15.008	15.705	14.706	14.41	16.69	16.523	16.246	16.108	15.961	15.58	14.394	14.533	0.002	0.004	0.002	0.003	0.042	0.029	0.022	0.012	0.011	0.006	0.003	0.004	0.003	0.006	0.003	0.005	0.063	0.043	0.031	0.017	0.017	0.009	0.005	0.006	0.003	0.006	0.003	0.003	0.02	0.018	0.016	0.012	0.011	0.009	0.004	0.005	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0002953893856715273	0.647714458686762	0.3519901519275664
70455	14182	148.956265718	69.6785011324	8.171	9.002	7.797	7.461	10.594	10.173	9.955	9.551	9.417	8.842	7.774	7.587	8.134	8.958	7.765	7.436	10.487	10.089	9.885	9.492	9.364	8.796	7.737	7.559	14.446	15.659	13.974	13.403	17.373	16.931	16.667	16.298	16.08	15.474	13.443	13.653	0.0	0.001	0.0	0.0	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.007	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.002	0.005	0.002	0.002	0.034	0.026	0.022	0.014	0.011	0.008	0.003	0.003	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	8.26060506860505e-06	0.9813053793043722	0.018686360090559306
70466	10167	184.307350126	69.3360142113	99.0	18.778	19.516	99.0	19.434	18.581	99.0	19.453	19.15	18.409	19.066	18.99	99.0	20.646	99.0	99.0	99.0	18.426	99.0	19.989	18.763	17.798	99.0	18.286	19.324	19.7	19.52	19.528	19.405	19.325	19.919	19.481	19.563	20.005	18.606	19.584	99.0	0.226	0.476	99.0	0.884	0.438	99.0	0.831	0.567	0.328	0.495	0.83	99.0	2.163	99.0	99.0	99.0	0.652	99.0	2.301	0.675	0.359	99.0	0.773	0.071	0.094	0.079	0.183	0.163	0.155	0.265	0.156	0.149	0.225	0.059	0.234	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.2573610514097619	0.38122068141655346	0.3614182671736845
70466	18516	184.113693084	69.4022009341	17.307	17.301	17.738	17.703	17.329	16.951	17.294	17.53	17.352	17.169	16.236	17.45	17.194	17.219	18.128	18.579	17.062	16.536	16.877	17.191	17.051	16.677	16.177	17.04	18.49	18.633	18.421	18.263	18.753	18.55	18.801	18.852	18.665	18.795	17.532	18.326	0.068	0.075	0.12	0.258	0.161	0.125	0.164	0.18	0.138	0.12	0.047	0.247	0.099	0.107	0.276	0.91	0.189	0.132	0.17	0.202	0.162	0.119	0.07	0.268	0.028	0.037	0.03	0.058	0.092	0.079	0.097	0.089	0.067	0.076	0.026	0.075	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.06412275646065897	0.4779594833807294	0.45791776015861163
70349	2105	153.276916733	67.4107991151	15.095	15.57	14.898	14.792	16.729	16.138	16.2	15.946	15.884	15.324	14.717	14.891	15.074	15.517	14.866	14.815	16.65	15.946	16.208	15.832	15.897	15.291	14.712	14.896	17.099	17.65	16.968	16.775	18.792	17.98	18.235	18.043	17.983	17.236	16.282	16.878	0.01	0.014	0.01	0.021	0.09	0.053	0.06	0.035	0.034	0.021	0.013	0.029	0.015	0.021	0.016	0.034	0.127	0.069	0.092	0.048	0.052	0.031	0.02	0.046	0.01	0.017	0.01	0.018	0.082	0.043	0.055	0.038	0.036	0.021	0.011	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015730634259713838	0.6234645860773473	0.37496235049668125
67905	24948	284.827596793	48.4656137059	15.598	15.331	15.96	15.925	16.287	15.797	16.703	16.82	16.515	16.544	13.978	15.98	15.598	15.331	15.96	15.925	16.287	15.797	16.703	16.82	16.515	16.544	13.978	15.98	16.243	16.458	16.204	16.175	17.562	17.271	17.609	17.291	17.14	16.752	15.431	16.197	0.007	0.007	0.012	0.025	0.035	0.025	0.054	0.044	0.031	0.031	0.004	0.029	0.007	0.007	0.012	0.025	0.035	0.025	0.054	0.044	0.031	0.031	0.004	0.029	0.006	0.009	0.006	0.01	0.039	0.034	0.044	0.026	0.022	0.016	0.007	0.013	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.008944085953018549	0.8370492930671047	0.15400662097987672
64209	16292	136.591605149	36.1575954301	18.37	18.892	18.199	18.271	19.875	20.133	20.176	19.349	19.226	18.693	17.602	18.321	18.37	18.892	18.199	18.271	19.875	20.133	20.176	19.349	19.226	18.693	17.602	18.321	18.373	18.895	18.196	18.282	19.865	20.087	20.193	19.374	19.227	18.703	17.603	18.332	0.017	0.019	0.025	0.063	0.155	0.186	0.19	0.066	0.069	0.041	0.02	0.084	0.017	0.019	0.025	0.063	0.155	0.186	0.19	0.066	0.069	0.041	0.02	0.084	0.017	0.019	0.025	0.062	0.151	0.176	0.19	0.067	0.068	0.041	0.02	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007674539583225443	0.5645810821472421	0.4346514638944354
68672	1567	218.086243716	53.4386496009	16.92	17.357	16.805	16.663	18.215	17.889	18.022	17.755	17.714	17.093	16.443	16.781	16.857	17.245	16.737	16.526	18.476	18.289	18.015	17.468	17.683	16.92	16.355	16.842	18.133	18.379	18.078	18.017	19.635	18.807	19.274	18.901	18.9	18.219	17.323	17.842	0.013	0.038	0.033	0.051	0.169	0.126	0.149	0.108	0.099	0.059	0.033	0.093	0.021	0.054	0.053	0.081	0.348	0.284	0.238	0.131	0.153	0.081	0.049	0.158	0.008	0.024	0.021	0.031	0.128	0.066	0.098	0.07	0.066	0.04	0.02	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026661404668040195	0.5165740070710236	0.48075985246217234
