Tile	Number	RA	Dec	petro_radius	kron_radius	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
69138	14635	242.370817662	55.6123850727	5.27999973	4.84366989	19.096	20.302	18.688	18.358	25.198	21.455	99.0	21.053	21.364	19.711	18.3	18.18	19.041	20.323	18.684	18.242	99.0	99.0	21.497	20.799	22.312	19.779	18.33	18.199	19.284	20.819	18.918	18.503	23.041	21.76	21.485	21.156	21.04	20.16	18.539	18.495	0.071	0.205	0.079	0.13	52.59	1.792	99.0	0.916	1.1	0.244	0.068	0.128	0.073	0.228	0.086	0.127	99.0	99.0	2.042	0.79	2.867	0.283	0.076	0.142	0.043	0.164	0.049	0.073	3.573	1.184	0.915	0.5	0.405	0.184	0.045	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005592178335050703	0.8737793265025008	0.12566145566399411
62961	13288	153.078949384	30.8226172021	10.5600004	8.66873074	17.635	16.563	18.025	15.652	18.631	16.686	16.719	17.259	17.38	19.346	15.834	16.369	17.379	16.309	17.664	15.328	18.271	16.288	16.331	17.128	17.038	19.916	15.489	16.085	19.55	19.896	18.455	17.517	22.611	19.926	20.877	20.604	20.497	21.051	18.682	17.931	0.096	0.034	0.334	0.049	0.305	0.056	0.065	0.12	0.138	0.877	0.037	0.075	0.094	0.032	0.303	0.042	0.276	0.047	0.053	0.133	0.124	1.85	0.033	0.072	0.077	0.119	0.075	0.044	1.788	0.171	0.489	0.388	0.358	0.622	0.081	0.046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.135086032045469e-05	0.8550570793706805	0.1448615697689991
73511	11063	334.342686371	15.6320919622	3.5	3.50701809	19.363	19.81	19.033	19.34	22.97	21.966	20.188	20.125	20.603	19.715	17.807	19.193	19.363	19.81	19.033	19.34	22.97	21.966	20.188	20.125	20.603	19.715	17.807	19.193	19.388	19.817	19.041	19.331	22.701	22.083	20.141	20.179	20.584	19.677	17.804	19.157	0.065	0.098	0.056	0.174	3.734	1.501	0.305	0.233	0.366	0.156	0.033	0.188	0.065	0.098	0.056	0.174	3.734	1.501	0.305	0.233	0.366	0.156	0.033	0.188	0.068	0.101	0.058	0.176	2.996	1.72	0.3	0.251	0.37	0.155	0.034	0.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09757075992250841	0.504616226657527	0.3978130134199645
74839	4782	0.779165135739	34.7929108294	10.5600004	8.66171741	12.484	11.834	15.049	9.143	15.337	14.86	14.609	13.321	12.695	11.204	10.158	9.091	12.442	11.826	14.458	9.132	15.355	14.86	14.613	13.315	12.69	11.196	10.149	9.081	14.383	15.575	15.477	12.259	19.329	18.73	18.876	17.111	16.65	14.936	14.01	12.701	0.001	0.0	0.005	0.0	0.011	0.008	0.006	0.002	0.001	0.001	0.0	0.0	0.001	0.0	0.004	0.0	0.013	0.008	0.007	0.002	0.001	0.001	0.0	0.0	0.003	0.003	0.005	0.001	0.148	0.09	0.1	0.02	0.014	0.005	0.003	0.002	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0027204842889764465	0.9811345444119149	0.016144971299108624
74839	5495	0.778473421782	34.791948307	5.93999958	4.55139589	12.729	12.048	13.595	9.365	15.587	15.051	14.812	13.549	12.924	11.433	10.361	9.294	12.724	12.047	13.554	9.363	15.538	15.014	14.816	13.546	12.926	11.431	10.361	9.292	15.812	16.701	14.984	13.675	20.047	19.655	19.676	18.442	17.857	16.228	15.056	13.863	0.001	0.001	0.002	0.0	0.022	0.013	0.011	0.003	0.002	0.001	0.0	0.0	0.001	0.001	0.003	0.0	0.028	0.017	0.015	0.004	0.002	0.001	0.0	0.0	0.004	0.006	0.003	0.002	0.276	0.197	0.196	0.055	0.033	0.009	0.005	0.003	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0001533992639017815	0.9894021735301197	0.010444427205978463
74839	9239	0.000101861678686	34.9876296983	3.5	3.5	15.957	16.932	17.937	15.409	19.673	18.939	18.985	18.022	17.766	16.909	15.79	15.472	15.957	16.932	17.937	15.409	19.673	18.939	18.985	18.022	17.766	16.909	15.79	15.472	16.009	16.993	18.226	15.465	19.727	19.088	19.084	18.121	17.82	16.974	15.851	15.527	0.007	0.011	0.044	0.008	0.459	0.207	0.173	0.086	0.068	0.031	0.01	0.016	0.007	0.011	0.044	0.008	0.459	0.207	0.173	0.086	0.068	0.031	0.01	0.016	0.006	0.009	0.041	0.007	0.364	0.173	0.142	0.072	0.054	0.026	0.009	0.014	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0.3622290923987364	0.39977263111376027	0.23799827648750335
74839	14799	1.39963105937	35.2467279104	10.5600004	8.47006226	12.278	12.731	11.819	11.653	14.261	14.0	13.9	13.122	12.992	12.209	11.839	11.504	12.235	11.918	11.031	10.832	13.421	13.144	13.01	12.272	12.131	11.369	10.971	10.623	17.314	17.471	16.163	15.904	19.004	19.029	18.845	18.062	17.911	17.038	16.497	16.102	0.001	0.001	0.001	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.012	0.011	0.007	0.008	0.103	0.11	0.091	0.039	0.034	0.016	0.011	0.013	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.004810735369579225	0.7871320691392243	0.2080571954911965
62900	15126	144.599042524	30.8429264632	5.27999973	3.5	19.562	20.707	19.114	18.685	21.056	20.838	22.483	20.358	20.619	20.759	19.041	19.029	19.535	20.634	19.036	18.462	23.16	21.155	22.429	20.477	20.005	20.13	19.031	18.889	19.781	20.857	19.33	18.839	21.091	20.843	21.344	20.885	20.757	20.543	19.083	18.982	0.062	0.134	0.099	0.157	0.496	0.492	2.47	0.359	0.423	0.56	0.134	0.19	0.092	0.19	0.139	0.193	5.153	0.982	3.512	0.602	0.362	0.472	0.2	0.252	0.055	0.112	0.088	0.131	0.374	0.36	0.632	0.425	0.349	0.334	0.103	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002404427308131028	0.5422240512776358	0.4553715214142331
74839	18670	0.628058236536	35.3832540417	4.61999989	3.65605664	14.046	12.057	13.501	10.416	14.887	14.72	14.241	13.154	12.614	11.479	10.729	10.243	14.021	12.054	13.472	10.412	14.866	14.697	14.234	13.152	12.604	11.477	10.728	10.241	15.633	16.296	15.388	14.454	19.869	19.389	19.167	17.751	17.244	15.886	15.026	14.56	0.005	0.001	0.004	0.001	0.022	0.019	0.012	0.004	0.003	0.001	0.001	0.001	0.006	0.001	0.005	0.001	0.028	0.023	0.015	0.005	0.003	0.001	0.001	0.001	0.003	0.005	0.004	0.003	0.228	0.154	0.124	0.031	0.02	0.008	0.005	0.005	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.0061717483417574395	0.9544362208028604	0.03939203085538206
68095	30152	280.876839946	50.0763483881	10.5600004	7.20847225	15.161	11.856	11.313	10.951	13.409	13.27	12.981	12.197	12.054	11.344	10.971	10.75	12.72	11.692	11.032	10.758	13.327	13.162	12.9	12.11	11.961	11.264	10.856	10.649	16.696	16.629	15.725	15.391	18.476	18.203	18.052	17.345	17.172	16.458	15.878	15.636	0.004	0.001	0.001	0.001	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.003	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.007	0.007	0.006	0.006	0.068	0.056	0.05	0.024	0.021	0.013	0.008	0.01	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.011741013852223297	0.7270165965906681	0.2612423895571086
