Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
69138	12820	240.041138402	55.500169335	17.569	15.453	18.066	14.51	18.536	17.12	16.718	16.315	18.861	16.607	15.954	17.065	17.12	15.373	17.736	14.36	17.571	16.897	16.398	16.207	18.393	16.336	15.889	16.674	18.58	17.424	19.099	16.915	19.733	19.312	18.891	18.722	19.001	17.515	16.849	18.047	0.04	0.008	0.114	0.01	0.269	0.077	0.056	0.031	0.258	0.037	0.021	0.11	0.045	0.01	0.148	0.014	0.183	0.099	0.066	0.042	0.275	0.045	0.031	0.132	0.039	0.022	0.102	0.032	0.313	0.21	0.15	0.11	0.119	0.044	0.027	0.103	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0.015861930765528	0.8502636714860413	0.1338743977484306
69138	14635	242.370817662	55.6123850727	19.096	20.302	18.688	18.358	25.198	21.455	99.0	21.053	21.364	19.711	18.3	18.18	19.041	20.323	18.684	18.242	99.0	99.0	21.497	20.799	22.312	19.779	18.33	18.199	19.284	20.819	18.918	18.503	23.041	21.76	21.485	21.156	21.04	20.16	18.539	18.495	0.071	0.205	0.079	0.13	52.59	1.792	99.0	0.916	1.1	0.244	0.068	0.128	0.073	0.228	0.086	0.127	99.0	99.0	2.042	0.79	2.867	0.283	0.076	0.142	0.043	0.164	0.049	0.073	3.573	1.184	0.915	0.5	0.405	0.184	0.045	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8261201715912773e-06	0.9296432162871492	0.07035495759267915
62961	13288	153.078949384	30.8226172021	17.635	16.563	18.025	15.652	18.631	16.686	16.719	17.259	17.38	19.346	15.834	16.369	17.379	16.309	17.664	15.328	18.271	16.288	16.331	17.128	17.038	19.916	15.489	16.085	19.55	19.896	18.455	17.517	22.611	19.926	20.877	20.604	20.497	21.051	18.682	17.931	0.096	0.034	0.334	0.049	0.305	0.056	0.065	0.12	0.138	0.877	0.037	0.075	0.094	0.032	0.303	0.042	0.276	0.047	0.053	0.133	0.124	1.85	0.033	0.072	0.077	0.119	0.075	0.044	1.788	0.171	0.489	0.388	0.358	0.622	0.081	0.046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.80806801551541e-06	0.9910144673494459	0.008976724582538717
62900	1840	144.060868313	29.8383210831	19.239	19.559	19.166	18.913	20.297	99.0	21.546	20.022	19.557	20.564	18.902	21.546	19.123	19.567	19.264	19.258	20.357	99.0	99.0	20.056	19.434	20.161	18.753	99.0	19.659	20.067	19.629	19.152	21.299	21.423	20.903	21.074	20.177	19.934	19.114	19.845	0.083	0.083	0.183	0.348	0.45	99.0	1.852	0.47	0.282	0.829	0.207	3.416	0.113	0.126	0.304	0.721	0.705	99.0	99.0	0.723	0.374	0.853	0.271	99.0	0.051	0.056	0.116	0.18	0.48	0.644	0.44	0.521	0.212	0.197	0.106	0.296	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0.0012221963222243204	0.6689537318962085	0.32982407178156714
73511	11063	334.342686371	15.6320919622	19.363	19.81	19.033	19.34	22.97	21.966	20.188	20.125	20.603	19.715	17.807	19.193	19.363	19.81	19.033	19.34	22.97	21.966	20.188	20.125	20.603	19.715	17.807	19.193	19.388	19.817	19.041	19.331	22.701	22.083	20.141	20.179	20.584	19.677	17.804	19.157	0.065	0.098	0.056	0.174	3.734	1.501	0.305	0.233	0.366	0.156	0.033	0.188	0.065	0.098	0.056	0.174	3.734	1.501	0.305	0.233	0.366	0.156	0.033	0.188	0.068	0.101	0.058	0.176	2.996	1.72	0.3	0.251	0.37	0.155	0.034	0.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000347469854758094	0.9293413854723312	0.0703111446729108
69815	25381	276.902658957	60.1101307136	11.449	10.082	13.513	9.423	11.726	11.531	11.253	10.583	10.367	9.713	9.454	9.28	11.452	10.082	13.524	9.423	11.725	11.532	11.252	10.583	10.367	9.714	9.454	9.28	13.322	13.531	15.017	12.606	15.397	15.062	15.007	14.222	14.016	13.325	12.985	12.701	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.002	0.002	0.004	0.002	0.01	0.008	0.008	0.005	0.004	0.003	0.002	0.002	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.0015632449195644737	0.6238734268093883	0.3745633282710472
74839	4782	0.779165135739	34.7929108294	12.484	11.834	15.049	9.143	15.337	14.86	14.609	13.321	12.695	11.204	10.158	9.091	12.442	11.826	14.458	9.132	15.355	14.86	14.613	13.315	12.69	11.196	10.149	9.081	14.383	15.575	15.477	12.259	19.329	18.73	18.876	17.111	16.65	14.936	14.01	12.701	0.001	0.0	0.005	0.0	0.011	0.008	0.006	0.002	0.001	0.001	0.0	0.0	0.001	0.0	0.004	0.0	0.013	0.008	0.007	0.002	0.001	0.001	0.0	0.0	0.003	0.003	0.005	0.001	0.148	0.09	0.1	0.02	0.014	0.005	0.003	0.002	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4.146649931261536e-09	0.9845383465113062	0.015461649342043911
74839	5495	0.778473421782	34.791948307	12.729	12.048	13.595	9.365	15.587	15.051	14.812	13.549	12.924	11.433	10.361	9.294	12.724	12.047	13.554	9.363	15.538	15.014	14.816	13.546	12.926	11.431	10.361	9.292	15.812	16.701	14.984	13.675	20.047	19.655	19.676	18.442	17.857	16.228	15.056	13.863	0.001	0.001	0.002	0.0	0.022	0.013	0.011	0.003	0.002	0.001	0.0	0.0	0.001	0.001	0.003	0.0	0.028	0.017	0.015	0.004	0.002	0.001	0.0	0.0	0.004	0.006	0.003	0.002	0.276	0.197	0.196	0.055	0.033	0.009	0.005	0.003	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	8.137308961472682e-10	0.9340315986776541	0.06596840050861504
74839	9239	0.000101861678686	34.9876296983	15.957	16.932	17.937	15.409	19.673	18.939	18.985	18.022	17.766	16.909	15.79	15.472	15.957	16.932	17.937	15.409	19.673	18.939	18.985	18.022	17.766	16.909	15.79	15.472	16.009	16.993	18.226	15.465	19.727	19.088	19.084	18.121	17.82	16.974	15.851	15.527	0.007	0.011	0.044	0.008	0.459	0.207	0.173	0.086	0.068	0.031	0.01	0.016	0.007	0.011	0.044	0.008	0.459	0.207	0.173	0.086	0.068	0.031	0.01	0.016	0.006	0.009	0.041	0.007	0.364	0.173	0.142	0.072	0.054	0.026	0.009	0.014	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	8.526557789327715e-05	0.986264077539068	0.013650656883038938
62900	15126	144.599042524	30.8429264632	19.562	20.707	19.114	18.685	21.056	20.838	22.483	20.358	20.619	20.759	19.041	19.029	19.535	20.634	19.036	18.462	23.16	21.155	22.429	20.477	20.005	20.13	19.031	18.889	19.781	20.857	19.33	18.839	21.091	20.843	21.344	20.885	20.757	20.543	19.083	18.982	0.062	0.134	0.099	0.157	0.496	0.492	2.47	0.359	0.423	0.56	0.134	0.19	0.092	0.19	0.139	0.193	5.153	0.982	3.512	0.602	0.362	0.472	0.2	0.252	0.055	0.112	0.088	0.131	0.374	0.36	0.632	0.425	0.349	0.334	0.103	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.973473171296688e-05	0.6025179998580503	0.39740226541023677
