_q AllWISE RAJ2000 DEJ2000 Im W1mag e_W1mag W2mag e_W2mag W3mag e_W3mag W4mag e_W4mag Jmag e_Jmag Hmag e_Hmag Kmag e_Kmag ccf ex var pmRA e_pmRA pmDE e_pmDE qph d2M _2M
1 J010505.38+020919.8 16.2724301 2.1555059 Im 17.327 0.175 16.260 0.226 12.499 "" 8.914 "" "" "" "" "" "" "" 0000 0 nnnn 7962 2067 -357 2027 BBUU "" 2M
4 J073551.83+653502.1 113.9659975 65.5839310 Im 17.547 0.158 16.667 0.249 11.938 "" 8.653 "" "" "" "" "" "" "" 0000 0 nnnn -451 1842 696 2024 BBUU "" 2M
5 J095618.27+684943.2 149.0761492 68.8286722 Im 16.277 0.053 15.518 0.083 10.945 0.101 8.593 0.301 "" "" "" "" "" "" 0000 2 0n0n 27 493 -78 528 AAAB "" 2M
6 J121610.35+693327.3 184.0431426 69.5575983 Im 16.520 0.059 15.846 0.101 12.460 0.319 8.670 0.293 "" "" "" "" "" "" 0000 0 0nnn 611 598 1329 603 AABB "" 2M
7 J121627.59+692443.3 184.1149591 69.4120439 Im 16.119 0.052 15.728 0.095 12.110 0.240 8.952 "" "" "" "" "" "" "" 0000 0 0nnn -107 462 -343 465 AABU "" 2M
8 J185920.03+482756.0 284.8334861 48.4655744 Im 15.870 0.061 14.512 0.040 9.859 0.035 6.001 0.039 "" "" "" "" "" "" 0000 0 1100 1650 200 1986 210 AAAA "" 2M
9 J070449.33+563051.6 106.2055589 56.5143411 Im 16.022 0.053 15.584 0.108 11.202 0.147 8.000 0.202 "" "" "" "" "" "" 0000 0 1nnn -1326 486 8554 535 AABB "" 2M
10 J081849.98+704449.5 124.7082647 70.7470903 Im 15.342 0.038 14.349 0.045 10.432 0.074 6.909 0.086 "" "" "" "" "" "" 0000 0 0000 -220 480 12 394 AAAA "" 2M
11 J121501.97+355754.7 183.7582235 35.9651962 Im 15.269 0.038 14.880 0.063 11.220 0.128 7.559 0.131 "" "" "" "" "" "" 0000 2 00nn 0 304 0 320 AABB "" 2M
14 J125927.77+273810.5 194.8657146 27.6362635 Im 13.893 0.026 13.086 0.027 8.806 0.030 5.496 0.035 16.539 0.120 16.232 "" 15.625 0.175 0000 0 0000 45 716 32 297 AAAA 0.090 2M
18 J140457.91+534128.5 211.2413284 53.6912769 Im 15.374 0.035 14.761 0.052 11.071 0.094 8.262 0.198 "" "" "" "" "" "" 0000 0 000n -41 261 -384 277 AAAB "" 2M
19 J140227.37+541338.1 210.6140721 54.2272761 Im 16.666 0.068 16.104 0.140 11.481 0.138 8.444 0.292 "" "" "" "" "" "" 0000 0 0nnn 118 741 1290 774 ABBB "" 2M
20 J140343.36+542949.9 210.9306808 54.4972156 Im 17.333 0.114 17.054 0.314 12.681 0.407 8.977 "" "" "" "" "" "" "" 0000 0 nnnn 184 1474 864 1553 BBCU "" 2M
21 J140450.68+542807.4 211.2111851 54.4687235 Im 17.473 0.126 17.048 "" 12.535 "" 9.289 "" "" "" "" "" "" "" 0000 0 nnnn -2529 1690 1455 1782 BUUU "" 2M
