Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
69138	12820	240.041138402	55.500169335	17.569	15.453	18.066	14.51	18.536	17.12	16.718	16.315	18.861	16.607	15.954	17.065	17.12	15.373	17.736	14.36	17.571	16.897	16.398	16.207	18.393	16.336	15.889	16.674	18.58	17.424	19.099	16.915	19.733	19.312	18.891	18.722	19.001	17.515	16.849	18.047	0.04	0.008	0.114	0.01	0.269	0.077	0.056	0.031	0.258	0.037	0.021	0.11	0.045	0.01	0.148	0.014	0.183	0.099	0.066	0.042	0.275	0.045	0.031	0.132	0.039	0.022	0.102	0.032	0.313	0.21	0.15	0.11	0.119	0.044	0.027	0.103	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0.6148260316890248	0.38517396377172436	4.539250776468621e-09
68095	17224	280.574060467	49.6743220075	13.314	12.265	11.951	11.782	13.096	12.827	12.749	12.255	12.184	11.844	11.74	11.667	13.314	12.265	11.951	11.782	13.096	12.827	12.749	12.255	12.184	11.844	11.74	11.667	13.655	12.559	12.335	12.031	13.262	13.002	12.903	12.414	12.352	11.999	11.92	11.846	0.002	0.001	0.001	0.001	0.003	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.003	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.9999982413155338	1.7586790618062398e-06	5.4044041007824464e-12
62900	14387	144.624302745	30.8654056478	11.735	10.834	10.297	10.337	11.84	11.539	11.464	10.967	10.892	10.517	10.308	10.346	11.736	10.835	10.297	10.337	11.841	11.54	11.464	10.967	10.892	10.518	10.309	10.347	13.516	12.43	11.928	11.973	13.409	13.065	12.998	12.526	12.47	12.105	11.913	11.982	0.001	0.0	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.003	0.002	0.002	0.002	0.002	0.002	0.001	0.002	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9999999824652165	1.7526572864335694e-08	8.210800142667154e-12
68095	31152	280.876950609	50.0751057942	13.029	12.351	11.625	11.375	14.008	13.843	13.574	12.793	12.642	11.943	11.515	11.3	13.029	12.351	11.625	11.375	14.008	13.843	13.574	12.793	12.642	11.943	11.515	11.3	13.404	12.588	12.046	11.687	14.158	14.014	13.735	12.945	12.805	12.094	11.697	11.502	0.002	0.001	0.001	0.001	0.007	0.006	0.005	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.007	0.006	0.005	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9953498851793989	0.004650113929649405	8.909515777949536e-10
74839	26272	1.15004338174	35.6990746743	14.207	11.446	10.996	10.942	12.235	11.825	11.659	11.266	11.185	10.904	10.907	10.719	14.724	11.489	11.034	10.977	12.264	11.857	11.684	11.301	11.219	10.943	10.938	10.75	15.334	13.947	13.631	13.727	15.136	14.556	14.597	13.91	13.991	13.539	13.755	13.664	0.003	0.001	0.0	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.003	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.003	0.002	0.002	0.003	0.008	0.006	0.007	0.003	0.004	0.003	0.003	0.004	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9999999967741651	3.2234689538245133e-09	2.365877596386284e-12
69300	5934	181.397367734	56.978453764	12.39	9.818	9.224	9.316	10.841	10.625	10.468	9.896	9.849	9.492	9.33	9.31	12.396	9.818	9.224	9.316	10.842	10.625	10.468	9.896	9.849	9.493	9.33	9.31	14.769	13.987	13.643	13.699	15.485	15.286	15.313	14.514	14.595	13.928	13.764	13.759	0.003	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.001	0.003	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.001	0.004	0.003	0.004	0.004	0.008	0.008	0.008	0.005	0.005	0.004	0.004	0.004	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.8230521872066308	0.16869677946368705	0.008251033329682248
71690	12942	15.8627987595	1.92705929422	12.638	11.374	11.227	11.166	12.356	12.009	11.929	11.478	11.406	11.117	11.067	11.064	12.638	11.374	11.227	11.166	12.356	12.009	11.929	11.478	11.406	11.117	11.067	11.064	13.045	11.794	11.786	11.698	12.729	12.333	12.252	11.801	11.723	11.454	11.455	11.465	0.002	0.001	0.001	0.001	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.003	0.003	0.002	0.002	0.002	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9999985272222193	1.472707548035533e-06	7.023263515094214e-11
71690	12997	15.8638879913	1.92669490416	12.24	10.699	10.58	10.52	11.671	11.317	11.236	10.787	10.713	10.429	10.386	10.396	12.24	10.699	10.58	10.519	11.67	11.316	11.236	10.786	10.713	10.428	10.385	10.396	15.401	14.181	13.889	14.021	15.211	15.131	15.026	14.523	14.587	14.243	14.131	14.261	0.001	0.001	0.001	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.005	0.004	0.004	0.003	0.013	0.013	0.012	0.008	0.008	0.006	0.005	0.006	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9999998720739384	1.1649984055692083e-07	1.1426220871313224e-08
71690	16613	16.2567232493	2.07235075857	16.904	16.52	17.231	18.214	17.199	16.917	16.918	18.249	17.308	18.196	14.728	99.0	17.227	16.802	16.86	99.0	17.136	17.522	16.626	19.313	17.339	17.64	14.918	99.0	18.635	18.318	19.493	19.856	18.826	18.32	19.0	19.346	18.97	19.723	16.773	20.483	0.066	0.046	0.126	0.614	0.187	0.153	0.151	0.403	0.173	0.367	0.016	99.0	0.151	0.101	0.156	99.0	0.287	0.445	0.192	1.761	0.3	0.363	0.033	99.0	0.035	0.03	0.099	0.267	0.097	0.064	0.114	0.123	0.087	0.163	0.016	0.59	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9999999999999425	1.5224499017231577e-16	5.722567256926813e-14
71690	17355	16.2730098396	2.15494073647	16.677	16.647	16.904	16.682	17.222	17.411	16.611	16.767	16.424	16.277	15.757	17.481	99.0	19.566	18.006	16.834	99.0	99.0	18.274	99.0	18.402	16.54	99.0	99.0	19.232	19.797	19.659	19.217	19.04	18.884	20.212	19.765	19.677	20.054	17.752	19.689	0.093	0.089	0.166	0.265	0.313	0.407	0.192	0.171	0.131	0.105	0.072	0.676	99.0	2.062	0.749	0.499	99.0	99.0	1.377	99.0	1.281	0.205	99.0	99.0	0.059	0.101	0.116	0.15	0.116	0.104	0.334	0.18	0.161	0.218	0.032	0.286	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9998763380854205	4.6369188470311416e-05	7.729272610909048e-05
