Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
74839	4782	0.779165135739	34.7929108294	12.484	11.834	15.049	9.143	15.337	14.86	14.609	13.321	12.695	11.204	10.158	9.091	12.442	11.826	14.458	9.132	15.355	14.86	14.613	13.315	12.69	11.196	10.149	9.081	14.383	15.575	15.477	12.259	19.329	18.73	18.876	17.111	16.65	14.936	14.01	12.701	0.001	0.0	0.005	0.0	0.011	0.008	0.006	0.002	0.001	0.001	0.0	0.0	0.001	0.0	0.004	0.0	0.013	0.008	0.007	0.002	0.001	0.001	0.0	0.0	0.003	0.003	0.005	0.001	0.148	0.09	0.1	0.02	0.014	0.005	0.003	0.002	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	9.487014010076598e-35	0.9999999995681506	4.3184955448735e-10
74839	14799	1.39963105937	35.2467279104	12.278	12.731	11.819	11.653	14.261	14.0	13.9	13.122	12.992	12.209	11.839	11.504	12.235	11.918	11.031	10.832	13.421	13.144	13.01	12.272	12.131	11.369	10.971	10.623	17.314	17.471	16.163	15.904	19.004	19.029	18.845	18.062	17.911	17.038	16.497	16.102	0.001	0.001	0.001	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.012	0.011	0.007	0.008	0.103	0.11	0.091	0.039	0.034	0.016	0.011	0.013	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6.658009231282392e-07	0.8599297576520362	0.14006957654704072
68095	40555	281.110888688	50.3152670155	13.403	12.825	12.561	11.347	15.6	15.424	15.02	13.985	13.56	12.483	11.646	11.321	13.403	12.825	12.561	11.347	15.6	15.424	15.02	13.985	13.56	12.483	11.646	11.321	13.87	12.935	12.869	11.526	15.749	15.542	15.146	14.086	13.662	12.578	11.76	11.461	0.002	0.001	0.002	0.001	0.026	0.023	0.016	0.006	0.004	0.002	0.001	0.001	0.002	0.001	0.002	0.001	0.026	0.023	0.016	0.006	0.004	0.002	0.001	0.001	0.002	0.001	0.001	0.001	0.009	0.009	0.007	0.003	0.002	0.001	0.001	0.001	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.013225007731831474	0.9867749922672161	9.524077560123547e-13
70455	14182	148.956265718	69.6785011324	8.171	9.002	7.797	7.461	10.594	10.173	9.955	9.551	9.417	8.842	7.774	7.587	8.134	8.958	7.765	7.436	10.487	10.089	9.885	9.492	9.364	8.796	7.737	7.559	14.446	15.659	13.974	13.403	17.373	16.931	16.667	16.298	16.08	15.474	13.443	13.653	0.0	0.001	0.0	0.0	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.007	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.002	0.005	0.002	0.002	0.034	0.026	0.022	0.014	0.011	0.008	0.003	0.003	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4.7381520350264926e-11	0.9959880236341705	0.0040119763184479
73244	14130	340.541177417	11.6826289507	14.726	12.229	11.563	11.365	14.201	13.957	13.77	12.95	12.774	11.956	11.472	11.283	14.696	12.228	11.561	11.361	14.172	13.947	13.768	12.942	12.768	11.954	11.469	11.284	16.125	16.187	15.516	15.131	18.236	17.829	17.746	16.956	16.781	15.932	15.468	15.275	0.006	0.001	0.001	0.001	0.009	0.008	0.007	0.003	0.003	0.002	0.001	0.001	0.009	0.001	0.001	0.001	0.013	0.011	0.01	0.004	0.003	0.002	0.001	0.002	0.006	0.008	0.005	0.006	0.065	0.049	0.047	0.022	0.02	0.012	0.008	0.009	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2.9360966837634943e-09	0.757482519242265	0.2425174778216384
70514	22785	111.435336168	71.3787488891	14.963	12.521	11.873	11.677	14.391	14.383	13.94	13.164	12.944	12.236	11.66	11.539	14.911	12.517	11.867	11.67	14.366	14.366	13.944	13.153	12.94	12.233	11.657	11.534	16.195	16.18	15.415	15.353	18.068	18.191	17.765	16.951	16.754	16.101	15.485	15.425	0.007	0.001	0.001	0.001	0.011	0.011	0.007	0.004	0.003	0.002	0.001	0.001	0.012	0.001	0.001	0.002	0.016	0.016	0.011	0.005	0.004	0.002	0.001	0.002	0.006	0.005	0.005	0.006	0.054	0.06	0.043	0.02	0.017	0.011	0.007	0.009	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	5.134038157306802e-07	0.6430593183590334	0.35694016823715086
70611	19973	108.315309168	72.3711163118	12.83	12.589	11.599	11.287	15.157	15.004	14.532	13.588	13.182	12.209	11.451	11.18	12.83	12.589	11.599	11.287	15.157	15.004	14.532	13.588	13.182	12.209	11.451	11.18	13.179	12.755	11.868	11.512	15.291	15.14	14.669	13.729	13.319	12.346	11.606	11.341	0.001	0.001	0.001	0.001	0.014	0.011	0.007	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.014	0.011	0.007	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.007	0.006	0.005	0.002	0.002	0.001	0.001	0.001	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.011626927617589412	0.9883728442472617	2.281351489392882e-07
64198	19548	134.935109249	36.1137540996	13.147	11.909	13.04	11.348	13.543	13.381	13.11	12.454	12.307	11.666	11.281	11.2	13.148	11.909	13.041	11.347	13.545	13.388	13.111	12.453	12.306	11.665	11.281	11.2	14.361	13.006	15.995	12.382	14.628	14.458	14.194	13.583	13.426	12.777	12.399	12.273	0.002	0.001	0.002	0.001	0.004	0.003	0.003	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.002	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.003	0.002	0.007	0.001	0.007	0.007	0.006	0.004	0.004	0.003	0.002	0.002	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2.5615691683662305e-15	0.9999999999999973	3.1375884179313595e-18
64198	19581	134.935139259	36.1139268883	12.978	11.874	12.776	11.289	13.505	13.343	13.081	12.426	12.276	11.638	11.246	11.161	12.978	11.874	12.776	11.289	13.505	13.343	13.081	12.426	12.276	11.638	11.246	11.161	13.644	12.15	13.195	11.683	13.774	13.624	13.36	12.661	12.525	11.879	11.515	11.441	0.002	0.001	0.002	0.001	0.004	0.004	0.004	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.002	0.001	0.004	0.004	0.004	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.002	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.4984202244446272	0.5015797755551579	2.1496445824274683e-13
73219	11017	337.53984968	11.5298073529	14.491	12.234	11.421	11.235	14.309	14.154	13.798	13.001	12.797	11.942	11.383	11.139	14.474	12.233	11.419	11.232	14.297	14.161	13.795	12.999	12.795	11.941	11.381	11.139	15.962	15.744	14.557	14.513	17.729	17.565	17.333	16.512	16.324	15.549	15.002	14.559	0.007	0.001	0.001	0.001	0.011	0.009	0.007	0.003	0.003	0.002	0.001	0.001	0.007	0.001	0.001	0.001	0.012	0.01	0.008	0.004	0.003	0.002	0.001	0.001	0.006	0.007	0.005	0.004	0.043	0.037	0.031	0.016	0.014	0.009	0.007	0.006	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	7.507609964635293e-05	0.9763802905693201	0.023544633331033602
