Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
69815	281	277.702508868	58.9646652649	19.372	19.064	19.357	17.865	19.094	18.945	20.076	19.119	19.377	19.019	18.735	18.413	20.219	20.44	20.483	21.451	20.892	20.615	23.125	21.061	21.007	20.843	20.12	19.804	19.571	19.363	19.977	18.014	19.52	19.586	19.587	20.03	19.459	19.027	18.835	18.798	0.163	0.131	0.175	0.108	0.323	0.294	0.842	0.276	0.323	0.226	0.167	0.232	0.152	0.201	0.207	1.213	0.722	0.585	5.925	0.702	0.616	0.511	0.254	0.351	0.117	0.106	0.181	0.074	0.286	0.316	0.319	0.381	0.213	0.14	0.113	0.196	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1.4170283311421333e-11	0.863383856500314	0.13661614348551565
69138	14635	242.370817662	55.6123850727	19.096	20.302	18.688	18.358	25.198	21.455	99.0	21.053	21.364	19.711	18.3	18.18	19.041	20.323	18.684	18.242	99.0	99.0	21.497	20.799	22.312	19.779	18.33	18.199	19.284	20.819	18.918	18.503	23.041	21.76	21.485	21.156	21.04	20.16	18.539	18.495	0.071	0.205	0.079	0.13	52.59	1.792	99.0	0.916	1.1	0.244	0.068	0.128	0.073	0.228	0.086	0.127	99.0	99.0	2.042	0.79	2.867	0.283	0.076	0.142	0.043	0.164	0.049	0.073	3.573	1.184	0.915	0.5	0.405	0.184	0.045	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1802244595302336e-15	0.6899938959445913	0.31000610405540757
62961	13288	153.078949384	30.8226172021	17.635	16.563	18.025	15.652	18.631	16.686	16.719	17.259	17.38	19.346	15.834	16.369	17.379	16.309	17.664	15.328	18.271	16.288	16.331	17.128	17.038	19.916	15.489	16.085	19.55	19.896	18.455	17.517	22.611	19.926	20.877	20.604	20.497	21.051	18.682	17.931	0.096	0.034	0.334	0.049	0.305	0.056	0.065	0.12	0.138	0.877	0.037	0.075	0.094	0.032	0.303	0.042	0.276	0.047	0.053	0.133	0.124	1.85	0.033	0.072	0.077	0.119	0.075	0.044	1.788	0.171	0.489	0.388	0.358	0.622	0.081	0.046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.852426420679927e-14	0.7107928681007307	0.28920713189923075
73511	6	334.320740144	15.0685487346	18.437	18.252	18.172	17.173	19.957	19.128	21.187	18.696	18.942	18.158	17.729	17.413	19.174	19.229	18.966	18.306	20.74	19.904	21.028	20.137	20.823	19.072	18.37	18.23	19.444	19.717	19.147	18.793	20.805	20.359	20.907	20.209	20.366	19.523	18.662	18.497	0.105	0.086	0.098	0.09	0.884	0.411	2.831	0.232	0.292	0.137	0.096	0.137	0.126	0.13	0.121	0.153	1.101	0.522	1.493	0.531	1.006	0.195	0.106	0.178	0.133	0.167	0.117	0.195	0.957	0.654	1.098	0.469	0.541	0.242	0.115	0.186	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3.506820531398799e-12	0.9908418551408497	0.009158144855643683
69138	21353	241.612853306	56.0699519916	99.0	99.0	99.0	99.0	9.741	9.195	9.056	9.129	9.023	99.0	99.0	99.0	99.0	99.0	99.0	99.0	10.284	9.777	9.668	10.907	9.764	99.0	99.0	99.0	15.604	16.889	17.408	15.022	17.057	15.964	15.762	16.048	15.599	16.117	15.282	15.052	99.0	99.0	99.0	99.0	0.001	0.0	0.0	0.001	0.0	99.0	99.0	99.0	99.0	99.0	99.0	99.0	0.001	0.001	0.001	0.003	0.001	99.0	99.0	99.0	0.011	0.025	0.048	0.008	0.031	0.017	0.015	0.018	0.011	0.02	0.015	0.011	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	1.8495321473720694e-25	0.9830139334986434	0.016986066501356555
73511	11063	334.342686371	15.6320919622	19.363	19.81	19.033	19.34	22.97	21.966	20.188	20.125	20.603	19.715	17.807	19.193	19.363	19.81	19.033	19.34	22.97	21.966	20.188	20.125	20.603	19.715	17.807	19.193	19.388	19.817	19.041	19.331	22.701	22.083	20.141	20.179	20.584	19.677	17.804	19.157	0.065	0.098	0.056	0.174	3.734	1.501	0.305	0.233	0.366	0.156	0.033	0.188	0.065	0.098	0.056	0.174	3.734	1.501	0.305	0.233	0.366	0.156	0.033	0.188	0.068	0.101	0.058	0.176	2.996	1.72	0.3	0.251	0.37	0.155	0.034	0.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18756244759934698	0.8123220953776067	0.0001154570230464233
69815	25381	276.902658957	60.1101307136	11.449	10.082	13.513	9.423	11.726	11.531	11.253	10.583	10.367	9.713	9.454	9.28	11.452	10.082	13.524	9.423	11.725	11.532	11.252	10.583	10.367	9.714	9.454	9.28	13.322	13.531	15.017	12.606	15.397	15.062	15.007	14.222	14.016	13.325	12.985	12.701	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.002	0.002	0.004	0.002	0.01	0.008	0.008	0.005	0.004	0.003	0.002	0.002	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	5.145897136479793e-25	0.9999981594753957	1.8405246042161652e-06
74839	4782	0.779165135739	34.7929108294	12.484	11.834	15.049	9.143	15.337	14.86	14.609	13.321	12.695	11.204	10.158	9.091	12.442	11.826	14.458	9.132	15.355	14.86	14.613	13.315	12.69	11.196	10.149	9.081	14.383	15.575	15.477	12.259	19.329	18.73	18.876	17.111	16.65	14.936	14.01	12.701	0.001	0.0	0.005	0.0	0.011	0.008	0.006	0.002	0.001	0.001	0.0	0.0	0.001	0.0	0.004	0.0	0.013	0.008	0.007	0.002	0.001	0.001	0.0	0.0	0.003	0.003	0.005	0.001	0.148	0.09	0.1	0.02	0.014	0.005	0.003	0.002	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	9.487014010076598e-35	0.9999999995681506	4.3184955448735e-10
74839	5495	0.778473421782	34.791948307	12.729	12.048	13.595	9.365	15.587	15.051	14.812	13.549	12.924	11.433	10.361	9.294	12.724	12.047	13.554	9.363	15.538	15.014	14.816	13.546	12.926	11.431	10.361	9.292	15.812	16.701	14.984	13.675	20.047	19.655	19.676	18.442	17.857	16.228	15.056	13.863	0.001	0.001	0.002	0.0	0.022	0.013	0.011	0.003	0.002	0.001	0.0	0.0	0.001	0.001	0.003	0.0	0.028	0.017	0.015	0.004	0.002	0.001	0.0	0.0	0.004	0.006	0.003	0.002	0.276	0.197	0.196	0.055	0.033	0.009	0.005	0.003	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2.7915100570455642e-21	0.999997097518017	2.902481982983393e-06
74839	9239	0.000101861678686	34.9876296983	15.957	16.932	17.937	15.409	19.673	18.939	18.985	18.022	17.766	16.909	15.79	15.472	15.957	16.932	17.937	15.409	19.673	18.939	18.985	18.022	17.766	16.909	15.79	15.472	16.009	16.993	18.226	15.465	19.727	19.088	19.084	18.121	17.82	16.974	15.851	15.527	0.007	0.011	0.044	0.008	0.459	0.207	0.173	0.086	0.068	0.031	0.01	0.016	0.007	0.011	0.044	0.008	0.459	0.207	0.173	0.086	0.068	0.031	0.01	0.016	0.006	0.009	0.041	0.007	0.364	0.173	0.142	0.072	0.054	0.026	0.009	0.014	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	5.606991120892226e-34	0.999999424248146	5.757518540925556e-07
