Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS
43737	61359	282.654188654	33.5785752886	17.179	17.654	16.986	16.982	18.924	18.959	18.797	18.181	17.978	17.534	16.245	16.896	17.176	17.639	16.973	16.969	18.912	19.073	18.782	18.203	17.945	17.526	16.234	16.871	17.194	17.668	17.004	16.998	18.959	18.853	18.816	18.185	18.009	17.575	16.251	16.928	0.014	0.022	0.016	0.033	0.146	0.161	0.142	0.061	0.047	0.034	0.013	0.034	0.015	0.023	0.018	0.036	0.161	0.198	0.156	0.068	0.051	0.036	0.014	0.037	0.013	0.02	0.015	0.029	0.132	0.128	0.126	0.055	0.044	0.031	0.012	0.031	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
48453	23004	197.441770579	56.0403587746	17.75	18.041	17.702	17.583	19.079	18.461	18.504	18.323	18.518	17.221	17.024	17.762	17.683	18.021	17.585	17.523	18.95	18.173	18.623	18.332	18.868	17.089	16.979	17.573	18.039	18.264	18.037	17.852	19.216	18.625	18.799	18.71	18.835	17.446	17.211	18.035	0.018	0.017	0.042	0.098	0.194	0.115	0.118	0.131	0.134	0.045	0.045	0.11	0.024	0.024	0.057	0.142	0.259	0.133	0.202	0.199	0.275	0.06	0.064	0.141	0.013	0.013	0.031	0.063	0.113	0.07	0.08	0.096	0.093	0.03	0.029	0.072	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
49473	26345	107.423669323	61.4732769665	17.255	17.834	17.067	17.021	18.983	18.943	18.699	18.394	18.337	17.675	16.629	16.979	17.255	17.834	17.067	17.021	18.983	18.943	18.699	18.394	18.337	17.675	16.629	16.979	17.259	17.839	17.07	17.026	19.005	18.927	18.73	18.389	18.335	17.671	16.658	16.99	0.011	0.019	0.01	0.021	0.102	0.1	0.082	0.053	0.049	0.028	0.016	0.026	0.011	0.019	0.01	0.021	0.102	0.1	0.082	0.053	0.049	0.028	0.016	0.026	0.011	0.019	0.01	0.021	0.102	0.097	0.083	0.052	0.049	0.028	0.017	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43330	2312	138.141428245	31.267644554	19.505	19.43	19.314	18.967	19.395	19.374	19.989	19.428	19.331	19.302	18.93	18.487	19.42	19.354	19.285	19.018	19.471	19.233	19.91	19.428	19.452	19.239	18.857	18.415	19.492	19.395	19.326	18.933	19.392	19.332	19.992	19.465	19.364	19.287	18.938	18.463	0.075	0.058	0.156	0.158	0.1	0.099	0.209	0.106	0.097	0.098	0.08	0.083	0.086	0.067	0.19	0.21	0.133	0.108	0.243	0.132	0.134	0.115	0.092	0.097	0.079	0.06	0.169	0.165	0.107	0.103	0.225	0.117	0.106	0.104	0.086	0.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43330	4571	138.860134456	31.3986248466	16.913	16.883	16.74	16.927	17.862	17.299	17.262	17.107	17.339	16.984	15.944	16.651	16.701	16.604	16.367	16.677	17.639	17.052	17.094	16.809	16.984	16.821	15.803	16.248	18.021	17.894	18.33	18.274	18.511	18.159	18.271	18.349	18.313	17.863	16.603	18.464	0.03	0.024	0.067	0.113	0.105	0.065	0.078	0.056	0.067	0.051	0.023	0.068	0.037	0.027	0.071	0.135	0.126	0.076	0.1	0.063	0.071	0.065	0.03	0.07	0.024	0.019	0.071	0.092	0.052	0.041	0.053	0.047	0.045	0.033	0.015	0.087	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
43330	8317	138.215497744	31.6811296825	17.127	17.275	17.034	16.909	18.261	17.838	17.615	17.628	17.487	16.754	16.369	17.113	17.071	17.213	16.898	16.863	18.344	17.883	17.574	17.66	17.326	16.744	16.293	16.985	17.66	17.72	17.661	17.601	18.558	18.2	18.103	18.056	17.97	17.088	16.772	17.677	0.022	0.021	0.05	0.062	0.087	0.061	0.062	0.052	0.045	0.025	0.021	0.059	0.03	0.028	0.065	0.089	0.139	0.094	0.088	0.079	0.056	0.036	0.027	0.078	0.018	0.017	0.04	0.05	0.053	0.041	0.046	0.037	0.034	0.019	0.016	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47423	8411	236.351497493	48.2343007236	13.891	12.926	12.342	12.212	13.857	13.624	13.559	12.993	12.94	12.483	12.265	12.075	13.891	12.926	12.342	12.212	13.857	13.624	13.559	12.993	12.94	12.483	12.265	12.075	14.837	13.673	13.115	12.897	14.521	14.248	14.179	13.621	13.598	13.146	12.951	12.75	0.002	0.001	0.001	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.003	0.001	0.001	0.002	0.005	0.004	0.004	0.002	0.002	0.002	0.002	0.002	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
47423	8570	236.344336144	48.2328571355	15.718	14.514	13.925	13.878	15.439	15.299	15.2	14.625	14.603	14.158	13.998	13.87	18.055	18.876	17.483	17.332	19.254	19.63	18.884	19.128	19.589	18.513	17.928	17.521	18.539	19.641	17.958	17.708	99.0	25.244	20.741	21.169	20.721	19.361	18.314	17.712	0.014	0.005	0.005	0.008	0.029	0.025	0.022	0.012	0.011	0.007	0.006	0.01	0.05	0.11	0.05	0.079	0.424	0.6	0.294	0.313	0.464	0.163	0.09	0.122	0.024	0.067	0.023	0.034	99.0	31.469	0.49	0.6	0.397	0.107	0.04	0.045	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
47423	8698	236.351474342	48.2344968561	13.844	12.912	12.32	12.189	13.839	13.614	13.547	12.987	12.931	12.474	12.251	12.058	13.844	12.912	12.32	12.189	13.839	13.614	13.547	12.987	12.931	12.474	12.251	12.058	14.647	13.382	12.75	12.556	14.199	13.943	13.857	13.323	13.246	12.795	12.57	12.347	0.002	0.001	0.001	0.001	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.002	0.003	0.001	0.001	0.001	0.004	0.003	0.003	0.002	0.002	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
47423	15567	236.238738922	48.6083856466	13.811	12.244	11.752	11.673	13.057	12.761	12.669	12.204	12.145	11.785	11.658	11.511	13.81	12.243	11.752	11.672	13.059	12.763	12.666	12.204	12.146	11.785	11.657	11.511	17.199	16.789	16.443	16.109	17.752	17.622	17.548	16.989	16.981	16.666	16.568	16.347	0.002	0.001	0.001	0.001	0.003	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.01	0.008	0.008	0.01	0.039	0.035	0.033	0.017	0.017	0.013	0.012	0.017	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
