Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
49586	26652	113.965060641	65.5832336314	17.469	17.964	18.049	17.347	17.318	17.347	18.104	18.068	17.452	18.563	16.906	17.914	17.29	18.277	18.204	17.265	16.904	17.146	18.586	18.441	17.249	20.094	17.16	19.04	19.149	19.204	19.696	19.773	18.855	18.658	19.062	19.138	19.065	19.46	17.979	20.183	0.076	0.132	0.149	0.188	0.151	0.165	0.322	0.258	0.132	0.403	0.086	0.38	0.094	0.257	0.254	0.254	0.148	0.196	0.713	0.526	0.155	2.407	0.16	1.567	0.041	0.05	0.073	0.192	0.077	0.07	0.098	0.083	0.073	0.106	0.03	0.334	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.6633374149608376	0.2990230550520453	0.03763952998711718
45409	23429	241.110605588	40.6830140451	13.476	12.718	14.124	14.354	12.865	12.996	12.969	13.12	13.107	13.529	12.092	14.401	13.476	12.718	14.124	14.354	12.865	12.996	12.969	13.12	13.107	13.529	12.092	14.401	14.088	13.565	14.517	14.848	13.1	13.236	13.308	13.324	13.427	13.763	14.015	14.786	0.002	0.001	0.003	0.009	0.003	0.003	0.003	0.003	0.003	0.003	0.001	0.011	0.002	0.001	0.003	0.009	0.003	0.003	0.003	0.003	0.003	0.003	0.001	0.011	0.002	0.002	0.002	0.004	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.005	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.9981176277167827	0.0015616249174197085	0.0003207473657976028
43390	6142	147.587161664	31.4863924526	17.786	17.678	18.321	18.411	17.984	17.69	17.867	18.237	18.025	18.205	16.127	18.256	17.946	17.726	18.675	19.453	18.013	17.352	17.92	18.575	17.963	17.859	16.039	18.301	18.106	17.917	18.676	18.866	18.196	17.894	18.141	18.487	18.232	18.352	16.314	18.587	0.017	0.012	0.064	0.155	0.05	0.04	0.048	0.067	0.055	0.067	0.014	0.116	0.039	0.024	0.181	0.807	0.099	0.055	0.096	0.179	0.101	0.093	0.021	0.248	0.014	0.01	0.052	0.137	0.039	0.032	0.04	0.053	0.042	0.048	0.012	0.092	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.944627298573901	0.05374970890294439	0.0016229925231545865
45853	19409	131.066075496	41.7187481059	15.806	15.419	16.317	16.291	16.063	15.873	15.758	16.137	15.94	14.332	14.176	16.37	15.769	15.389	16.287	16.265	16.028	15.826	15.747	16.099	15.902	14.284	14.121	16.319	16.341	15.908	16.996	17.017	16.575	16.374	16.317	16.652	16.525	14.871	14.707	17.048	0.004	0.006	0.017	0.028	0.018	0.01	0.015	0.008	0.015	0.005	0.004	0.028	0.006	0.007	0.024	0.041	0.024	0.013	0.02	0.01	0.019	0.005	0.005	0.039	0.003	0.006	0.012	0.02	0.015	0.009	0.014	0.007	0.013	0.005	0.005	0.021	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.49624634572047877	0.15302652658592578	0.35072712769359543
49778	19215	280.424544339	65.1994985711	17.055	18.233	18.71	18.156	17.642	16.902	18.349	18.478	18.439	19.5	14.861	18.798	17.01	18.162	18.58	17.994	17.65	16.912	18.191	18.384	18.29	19.574	14.83	18.471	17.314	18.431	19.047	18.494	17.799	17.153	18.577	18.888	18.677	19.579	15.067	19.017	0.013	0.04	0.061	0.086	0.059	0.033	0.119	0.105	0.092	0.228	0.005	0.193	0.016	0.05	0.073	0.099	0.077	0.042	0.136	0.127	0.106	0.327	0.006	0.193	0.01	0.027	0.041	0.057	0.038	0.025	0.075	0.077	0.06	0.121	0.005	0.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9997293815560729	0.000270617889019852	5.549072897149322e-10
44033	73234	282.508352601	35.2458693953	13.54	14.18	14.151	14.05	14.336	13.677	14.837	14.963	14.819	14.525	11.851	14.184	13.512	14.151	14.11	14.011	14.321	13.66	14.832	14.917	14.782	14.498	11.822	14.118	15.151	15.739	15.487	15.399	16.131	15.533	16.497	16.327	16.265	15.833	13.8	15.5	0.002	0.004	0.004	0.008	0.008	0.005	0.013	0.011	0.009	0.008	0.001	0.01	0.003	0.005	0.007	0.012	0.011	0.007	0.019	0.016	0.013	0.011	0.002	0.015	0.004	0.006	0.006	0.007	0.014	0.011	0.019	0.015	0.014	0.011	0.003	0.011	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.7998075749997584	0.1999983677175349	0.00019405728270668497
44033	73506	282.507729061	35.2424943955	14.106	14.917	15.908	15.688	14.533	13.831	15.318	16.261	15.878	16.099	11.95	16.332	14.082	14.902	15.839	15.652	14.517	13.823	15.27	16.178	15.816	16.064	11.925	16.188	15.895	16.384	17.815	17.52	16.265	15.609	16.997	17.924	17.519	17.882	13.687	18.333	0.003	0.006	0.019	0.032	0.009	0.006	0.019	0.032	0.021	0.028	0.001	0.063	0.004	0.008	0.026	0.044	0.011	0.007	0.023	0.039	0.026	0.037	0.002	0.077	0.005	0.008	0.023	0.033	0.015	0.011	0.026	0.038	0.027	0.036	0.003	0.079	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9999534537736369	4.654617058021178e-05	5.578297184118804e-11
49934	20325	157.183779777	68.4739843625	14.768	14.705	15.162	15.122	15.12	14.989	14.976	14.998	15.003	15.375	13.541	15.278	15.084	14.967	16.198	16.268	15.592	15.759	15.155	15.333	15.282	99.0	13.878	99.0	16.68	16.442	17.035	17.13	16.668	16.551	16.625	16.64	16.598	16.886	15.57	17.172	0.007	0.006	0.014	0.03	0.026	0.024	0.024	0.018	0.017	0.027	0.005	0.04	0.026	0.02	0.113	0.259	0.103	0.132	0.08	0.064	0.057	99.0	0.019	99.0	0.007	0.007	0.009	0.021	0.019	0.018	0.019	0.015	0.014	0.017	0.008	0.027	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.8521988072227347	0.1390231147391817	0.008778078038083708
49934	24432	157.190169537	68.4682723881	14.521	14.719	14.9	14.583	14.91	14.819	14.944	15.017	14.944	15.076	13.614	14.949	14.629	14.903	15.282	14.751	14.914	15.005	15.09	15.277	15.249	15.419	13.666	15.59	18.254	18.385	18.305	18.315	18.872	18.68	18.56	18.461	18.449	18.487	18.225	18.422	0.009	0.01	0.018	0.031	0.032	0.032	0.038	0.029	0.025	0.033	0.009	0.047	0.013	0.015	0.037	0.049	0.043	0.051	0.059	0.048	0.044	0.061	0.012	0.114	0.02	0.023	0.024	0.057	0.091	0.08	0.073	0.053	0.049	0.063	0.04	0.078	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.5072509946906051	0.4341098485004433	0.05863915680895155
49934	26003	156.948200279	68.4109055759	18.201	17.928	18.258	18.301	17.943	17.982	17.911	18.007	18.011	18.111	17.038	20.295	18.125	17.837	18.297	18.657	17.688	17.851	17.699	18.096	17.906	17.989	16.782	23.211	18.592	18.463	18.714	18.778	18.513	18.617	18.332	18.513	18.432	18.672	18.316	18.814	0.053	0.038	0.074	0.188	0.119	0.127	0.121	0.098	0.091	0.106	0.04	1.411	0.065	0.046	0.103	0.35	0.124	0.149	0.132	0.14	0.108	0.126	0.041	27.483	0.025	0.023	0.033	0.085	0.068	0.075	0.06	0.054	0.047	0.058	0.042	0.11	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9945970512256876	0.00484844065534044	0.0005545081189718791
