Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
49473	22592	106.973487916	61.7347832522	19.702	19.799	19.616	19.903	19.42	19.554	19.589	19.427	19.995	19.436	18.468	20.695	19.74	19.764	19.606	19.854	19.415	19.656	19.536	19.437	19.977	19.402	18.425	21.337	19.902	19.82	19.928	20.641	19.842	19.982	19.736	19.704	19.813	19.746	18.692	20.028	0.133	0.142	0.143	0.453	0.232	0.265	0.278	0.193	0.319	0.181	0.077	1.144	0.144	0.143	0.147	0.451	0.24	0.302	0.275	0.203	0.327	0.182	0.077	2.151	0.098	0.091	0.115	0.539	0.212	0.243	0.197	0.156	0.168	0.149	0.06	0.375	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6612287108310002	0.13520559523842177	0.20356569393057802
49586	23923	114.205806566	65.6878255931	18.236	18.095	18.637	18.403	17.903	17.467	18.244	18.137	18.192	19.03	16.61	18.375	18.233	18.091	18.645	18.408	17.896	17.466	18.25	18.132	18.183	19.032	16.61	18.371	18.851	18.779	19.537	19.371	18.727	18.368	19.014	19.045	19.07	19.434	17.104	19.787	0.072	0.07	0.117	0.232	0.123	0.088	0.178	0.129	0.126	0.288	0.031	0.269	0.071	0.07	0.118	0.233	0.122	0.088	0.179	0.129	0.125	0.288	0.031	0.268	0.033	0.036	0.064	0.135	0.07	0.055	0.094	0.077	0.074	0.104	0.016	0.235	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9553887053030686	0.04315807050988546	0.0014532241870460372
49586	25943	114.509793923	65.6052194826	19.638	19.817	20.044	19.971	19.755	19.394	19.715	19.438	19.494	19.822	18.959	20.878	19.771	19.781	20.115	20.097	19.829	19.647	19.617	19.547	19.574	19.917	19.061	20.243	19.83	19.817	20.04	20.039	19.83	19.665	19.535	19.65	19.588	19.964	19.129	20.005	0.112	0.148	0.182	0.423	0.3	0.229	0.309	0.189	0.187	0.259	0.114	1.162	0.082	0.093	0.123	0.3	0.206	0.186	0.183	0.135	0.13	0.181	0.081	0.411	0.075	0.085	0.1	0.246	0.181	0.166	0.15	0.13	0.116	0.166	0.076	0.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8915301261440982	0.053411763939941403	0.0550581099159603
49586	26652	113.965060641	65.5832336314	17.469	17.964	18.049	17.347	17.318	17.347	18.104	18.068	17.452	18.563	16.906	17.914	17.29	18.277	18.204	17.265	16.904	17.146	18.586	18.441	17.249	20.094	17.16	19.04	19.149	19.204	19.696	19.773	18.855	18.658	19.062	19.138	19.065	19.46	17.979	20.183	0.076	0.132	0.149	0.188	0.151	0.165	0.322	0.258	0.132	0.403	0.086	0.38	0.094	0.257	0.254	0.254	0.148	0.196	0.713	0.526	0.155	2.407	0.16	1.567	0.041	0.05	0.073	0.192	0.077	0.07	0.098	0.083	0.073	0.106	0.03	0.334	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.5188335487344492	0.4229122519469762	0.05825419931857463
49586	27072	113.938877774	65.5479044768	19.584	19.677	20.293	20.016	19.44	19.268	19.786	19.868	19.528	20.261	18.322	20.02	19.575	19.469	19.929	20.217	19.269	19.0	19.748	19.558	19.392	19.877	18.229	19.92	19.72	19.873	20.401	20.63	19.513	19.387	19.918	19.87	19.778	20.139	18.524	20.512	0.088	0.108	0.186	0.391	0.186	0.169	0.271	0.23	0.158	0.318	0.053	0.434	0.114	0.116	0.176	0.602	0.207	0.172	0.341	0.227	0.182	0.294	0.063	0.521	0.067	0.087	0.135	0.483	0.135	0.128	0.207	0.155	0.134	0.19	0.045	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9342151833992253	0.06051426085481545	0.005270555745959176
45409	23429	241.110605588	40.6830140451	13.476	12.718	14.124	14.354	12.865	12.996	12.969	13.12	13.107	13.529	12.092	14.401	13.476	12.718	14.124	14.354	12.865	12.996	12.969	13.12	13.107	13.529	12.092	14.401	14.088	13.565	14.517	14.848	13.1	13.236	13.308	13.324	13.427	13.763	14.015	14.786	0.002	0.001	0.003	0.009	0.003	0.003	0.003	0.003	0.003	0.003	0.001	0.011	0.002	0.001	0.003	0.009	0.003	0.003	0.003	0.003	0.003	0.003	0.001	0.011	0.002	0.002	0.002	0.004	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.005	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.9991919230279797	0.0006563315511419624	0.00015174542087839643
43390	6142	147.587161664	31.4863924526	17.786	17.678	18.321	18.411	17.984	17.69	17.867	18.237	18.025	18.205	16.127	18.256	17.946	17.726	18.675	19.453	18.013	17.352	17.92	18.575	17.963	17.859	16.039	18.301	18.106	17.917	18.676	18.866	18.196	17.894	18.141	18.487	18.232	18.352	16.314	18.587	0.017	0.012	0.064	0.155	0.05	0.04	0.048	0.067	0.055	0.067	0.014	0.116	0.039	0.024	0.181	0.807	0.099	0.055	0.096	0.179	0.101	0.093	0.021	0.248	0.014	0.01	0.052	0.137	0.039	0.032	0.04	0.053	0.042	0.048	0.012	0.092	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9300286425762815	0.06768287735148777	0.002288480072230603
56459	2052	105.012879738	42.3538598454	19.603	19.718	19.465	20.414	19.35	19.86	19.147	21.327	20.113	20.616	18.807	20.181	19.518	19.487	19.34	20.742	19.184	19.9	18.886	21.307	20.971	22.487	18.617	19.143	20.177	20.412	19.943	20.582	20.705	20.539	20.034	20.985	20.013	20.405	19.569	19.887	0.183	0.189	0.195	1.029	0.291	0.469	0.264	1.461	0.51	0.786	0.157	1.061	0.25	0.219	0.261	2.047	0.354	0.693	0.296	2.028	1.589	6.357	0.19	0.596	0.122	0.146	0.113	0.462	0.417	0.359	0.246	0.442	0.195	0.261	0.127	0.316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5966711580712293	0.3636804923794424	0.039648349549328415
45853	19409	131.066075496	41.7187481059	15.806	15.419	16.317	16.291	16.063	15.873	15.758	16.137	15.94	14.332	14.176	16.37	15.769	15.389	16.287	16.265	16.028	15.826	15.747	16.099	15.902	14.284	14.121	16.319	16.341	15.908	16.996	17.017	16.575	16.374	16.317	16.652	16.525	14.871	14.707	17.048	0.004	0.006	0.017	0.028	0.018	0.01	0.015	0.008	0.015	0.005	0.004	0.028	0.006	0.007	0.024	0.041	0.024	0.013	0.02	0.01	0.019	0.005	0.005	0.039	0.003	0.006	0.012	0.02	0.015	0.009	0.014	0.007	0.013	0.005	0.005	0.021	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.45091650162797753	0.15923559298104753	0.38984790539097497
49778	19215	280.424544339	65.1994985711	17.055	18.233	18.71	18.156	17.642	16.902	18.349	18.478	18.439	19.5	14.861	18.798	17.01	18.162	18.58	17.994	17.65	16.912	18.191	18.384	18.29	19.574	14.83	18.471	17.314	18.431	19.047	18.494	17.799	17.153	18.577	18.888	18.677	19.579	15.067	19.017	0.013	0.04	0.061	0.086	0.059	0.033	0.119	0.105	0.092	0.228	0.005	0.193	0.016	0.05	0.073	0.099	0.077	0.042	0.136	0.127	0.106	0.327	0.006	0.193	0.01	0.027	0.041	0.057	0.038	0.025	0.075	0.077	0.06	0.121	0.005	0.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9996844297469981	0.0003155694451564514	8.078454973818807e-10
