Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
49473	22592	106.973487916	61.7347832522	19.702	19.799	19.616	19.903	19.42	19.554	19.589	19.427	19.995	19.436	18.468	20.695	19.74	19.764	19.606	19.854	19.415	19.656	19.536	19.437	19.977	19.402	18.425	21.337	19.902	19.82	19.928	20.641	19.842	19.982	19.736	19.704	19.813	19.746	18.692	20.028	0.133	0.142	0.143	0.453	0.232	0.265	0.278	0.193	0.319	0.181	0.077	1.144	0.144	0.143	0.147	0.451	0.24	0.302	0.275	0.203	0.327	0.182	0.077	2.151	0.098	0.091	0.115	0.539	0.212	0.243	0.197	0.156	0.168	0.149	0.06	0.375	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6612283018722249	0.13520574968147916	0.20356594844629589
47906	26110	232.087296257	51.7215244459	16.355	16.679	16.815	16.101	17.48	17.466	16.468	16.726	16.871	16.208	15.96	18.356	15.971	16.335	16.5	15.564	16.781	17.058	15.979	16.265	16.393	15.744	15.575	18.48	20.141	21.485	22.09	20.914	99.0	99.0	21.4	21.202	21.696	21.355	20.229	22.322	0.027	0.03	0.104	0.096	0.179	0.245	0.078	0.057	0.071	0.036	0.05	0.853	0.024	0.028	0.1	0.074	0.117	0.21	0.062	0.046	0.057	0.029	0.044	1.211	0.103	0.248	99.0	0.828	99.0	99.0	0.772	0.449	0.849	0.532	0.277	4.099	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.4581212379563664	0.3914501531719424	0.1504286088716911
53865	7	33.6516541716	30.3874871348	19.415	19.216	19.148	19.576	18.989	18.754	19.31	18.874	18.978	18.822	18.827	21.377	18.695	18.372	18.53	19.215	18.239	18.097	18.33	17.953	18.198	18.16	18.406	19.169	19.861	19.589	19.684	20.066	19.638	19.52	19.843	19.516	20.028	19.562	19.5	22.069	0.142	0.117	0.162	0.43	0.22	0.176	0.293	0.16	0.175	0.142	0.146	3.041	0.102	0.076	0.127	0.436	0.152	0.134	0.168	0.097	0.118	0.109	0.139	0.553	0.168	0.133	0.197	0.538	0.309	0.289	0.388	0.236	0.35	0.227	0.217	4.381	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	0.9098078555704855	0.012407379012099273	0.0777847654174153
45677	976	276.104451158	39.4912034863	18.487	18.025	20.355	18.309	20.721	19.834	17.755	19.204	19.992	19.888	18.322	20.01	18.15	17.567	19.735	17.819	20.206	18.808	17.411	18.493	18.976	18.899	17.879	19.276	19.884	19.677	22.496	19.329	22.209	21.326	19.128	21.461	21.793	21.595	20.367	22.103	0.091	0.054	0.157	0.2	0.303	0.63	0.114	0.116	0.126	0.211	0.144	0.249	0.084	0.044	0.202	0.158	0.448	0.312	0.099	0.104	0.117	0.15	0.12	0.293	0.151	0.118	99.0	0.235	99.0	1.106	0.193	99.0	99.0	99.0	0.435	99.0	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	0.8747069124363622	0.12507599150245222	0.00021709606118536752
49560	19433	283.680625555	61.1002913725	11.696	9.916	13.624	12.78	12.186	11.996	11.602	10.639	10.227	9.471	9.286	10.609	11.694	9.916	13.616	12.772	12.186	11.997	11.601	10.64	10.226	9.47	9.285	10.608	17.197	17.859	16.895	16.771	20.036	19.582	19.272	18.731	18.55	17.719	17.064	16.82	0.002	0.001	0.014	0.014	0.005	0.005	0.004	0.001	0.001	0.001	0.001	0.003	0.002	0.001	0.013	0.013	0.005	0.005	0.004	0.001	0.001	0.001	0.001	0.003	0.011	0.02	0.01	0.019	0.275	0.191	0.149	0.071	0.059	0.031	0.019	0.024	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.6921081398124965	0.022095108601860286	0.28579675158564327
49586	23923	114.205806566	65.6878255931	18.236	18.095	18.637	18.403	17.903	17.467	18.244	18.137	18.192	19.03	16.61	18.375	18.233	18.091	18.645	18.408	17.896	17.466	18.25	18.132	18.183	19.032	16.61	18.371	18.851	18.779	19.537	19.371	18.727	18.368	19.014	19.045	19.07	19.434	17.104	19.787	0.072	0.07	0.117	0.232	0.123	0.088	0.178	0.129	0.126	0.288	0.031	0.269	0.071	0.07	0.118	0.233	0.122	0.088	0.179	0.129	0.125	0.288	0.031	0.268	0.033	0.036	0.064	0.135	0.07	0.055	0.094	0.077	0.074	0.104	0.016	0.235	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9553886355532977	0.0431581367249445	0.0014532277217578834
49586	25943	114.509793923	65.6052194826	19.638	19.817	20.044	19.971	19.755	19.394	19.715	19.438	19.494	19.822	18.959	20.878	19.771	19.781	20.115	20.097	19.829	19.647	19.617	19.547	19.574	19.917	19.061	20.243	19.83	19.817	20.04	20.039	19.83	19.665	19.535	19.65	19.588	19.964	19.129	20.005	0.112	0.148	0.182	0.423	0.3	0.229	0.309	0.189	0.187	0.259	0.114	1.162	0.082	0.093	0.123	0.3	0.206	0.186	0.183	0.135	0.13	0.181	0.081	0.411	0.075	0.085	0.1	0.246	0.181	0.166	0.15	0.13	0.116	0.166	0.076	0.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8915299501503101	0.053411844957879796	0.05505820489180992
49586	26652	113.965060641	65.5832336314	17.469	17.964	18.049	17.347	17.318	17.347	18.104	18.068	17.452	18.563	16.906	17.914	17.29	18.277	18.204	17.265	16.904	17.146	18.586	18.441	17.249	20.094	17.16	19.04	19.149	19.204	19.696	19.773	18.855	18.658	19.062	19.138	19.065	19.46	17.979	20.183	0.076	0.132	0.149	0.188	0.151	0.165	0.322	0.258	0.132	0.403	0.086	0.38	0.094	0.257	0.254	0.254	0.148	0.196	0.713	0.526	0.155	2.407	0.16	1.567	0.041	0.05	0.073	0.192	0.077	0.07	0.098	0.083	0.073	0.106	0.03	0.334	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.5188331004776289	0.42291261732380026	0.05825428219857094
49586	27072	113.938877774	65.5479044768	19.584	19.677	20.293	20.016	19.44	19.268	19.786	19.868	19.528	20.261	18.322	20.02	19.575	19.469	19.929	20.217	19.269	19.0	19.748	19.558	19.392	19.877	18.229	19.92	19.72	19.873	20.401	20.63	19.513	19.387	19.918	19.87	19.778	20.139	18.524	20.512	0.088	0.108	0.186	0.391	0.186	0.169	0.271	0.23	0.158	0.318	0.053	0.434	0.114	0.116	0.176	0.602	0.207	0.172	0.341	0.227	0.182	0.294	0.063	0.521	0.067	0.087	0.135	0.483	0.135	0.128	0.207	0.155	0.134	0.19	0.045	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9342150781757356	0.06051435424884465	0.0052705675754196974
53173	28625	330.794771901	18.8948374479	10.842	11.214	10.514	11.361	8.39	8.341	8.225	9.571	8.155	11.216	9.124	10.971	12.079	13.887	11.529	13.225	15.045	14.906	14.82	14.262	14.189	13.755	13.436	13.316	14.664	15.264	14.58	14.437	17.075	16.87	16.635	15.835	15.709	15.124	14.603	14.414	0.001	0.001	0.001	0.002	0.0	0.0	0.0	0.001	0.0	0.002	0.001	0.002	0.001	0.004	0.001	0.005	0.022	0.02	0.019	0.008	0.008	0.006	0.004	0.007	0.003	0.004	0.002	0.003	0.025	0.022	0.019	0.009	0.009	0.006	0.004	0.004	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9999281039002307	1.1579290168304835e-05	6.0316809600955954e-05
50581	4298	223.06795315	75.9226226644	16.225	16.699	18.347	16.033	18.604	18.24	17.98	17.433	17.331	16.688	16.104	19.863	16.225	16.699	18.347	16.033	18.604	18.24	17.98	17.433	17.331	16.688	16.104	19.863	16.242	16.715	18.399	16.056	18.696	18.233	18.031	17.42	17.357	16.692	16.119	19.971	0.01	0.011	0.044	0.013	0.141	0.087	0.062	0.043	0.04	0.025	0.016	0.422	0.01	0.011	0.044	0.013	0.141	0.087	0.062	0.043	0.04	0.025	0.016	0.422	0.01	0.011	0.041	0.012	0.136	0.077	0.058	0.04	0.038	0.023	0.016	0.364	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9665618530223846	0.033407814842116364	3.0332135499209696e-05
50586	39	259.746246818	75.6666497926	18.671	18.888	18.911	20.244	20.433	19.744	19.763	19.322	18.855	18.57	18.016	21.052	18.891	19.114	19.05	20.023	20.492	19.923	20.484	19.651	19.156	18.841	18.31	20.096	19.762	20.39	20.462	22.034	20.501	21.077	99.0	20.523	20.085	20.146	19.557	99.0	0.097	0.111	0.188	1.37	1.167	0.631	0.524	0.293	0.197	0.154	0.094	3.995	0.105	0.118	0.189	0.953	1.051	0.635	0.818	0.336	0.219	0.17	0.107	1.459	0.147	0.246	0.407	3.83	0.682	1.166	99.0	0.473	0.323	0.366	0.214	99.0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.8600191541009055	0.10633712763268684	0.0336437182664077
53970	14551	347.996158976	32.4416415475	17.754	18.17	18.091	17.625	17.351	17.124	16.696	17.862	17.884	16.96	17.153	21.404	17.621	17.853	17.867	17.544	17.181	16.896	16.512	17.61	17.589	16.747	16.944	20.114	19.977	21.644	20.766	21.261	20.253	19.744	19.419	21.499	21.898	20.53	19.933	99.0	0.073	0.103	0.165	0.206	0.111	0.098	0.065	0.168	0.149	0.07	0.073	8.932	0.071	0.086	0.146	0.215	0.101	0.086	0.06	0.142	0.122	0.062	0.065	2.926	0.154	0.572	0.589	1.274	0.531	0.315	0.193	1.463	1.935	0.569	0.252	99.0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.9998744636447565	9.336420603396973e-05	3.217214920942369e-05
52440	11	20.0718360768	6.71984882754	17.5	14.889	17.383	16.589	16.203	15.104	16.04	15.514	14.343	17.518	16.825	16.894	17.219	14.83	16.991	16.382	16.12	15.059	15.956	15.437	14.3	17.119	16.565	16.575	18.889	19.468	18.664	18.38	20.838	20.501	20.647	19.909	19.485	19.621	18.894	18.616	0.049	0.007	0.061	0.055	0.034	0.015	0.03	0.017	0.008	0.077	0.047	0.099	0.049	0.007	0.056	0.059	0.039	0.017	0.033	0.019	0.008	0.069	0.047	0.095	0.083	0.125	0.098	0.133	0.97	0.681	0.783	0.33	0.223	0.25	0.143	0.226	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0.9820351591321579	0.001873413189736578	0.016091427678105518
52440	38	20.0713258919	6.72028676222	17.298	14.846	16.753	16.286	16.09	15.047	15.955	15.428	14.3	17.071	16.536	16.682	17.047	14.803	16.527	16.246	15.953	15.01	15.842	15.289	14.255	16.593	16.24	16.227	18.27	18.267	17.984	17.458	19.955	19.328	19.272	18.775	18.453	18.382	17.717	17.755	0.062	0.008	0.056	0.064	0.043	0.018	0.037	0.02	0.009	0.079	0.053	0.123	0.078	0.01	0.073	0.099	0.056	0.025	0.051	0.026	0.011	0.079	0.063	0.128	0.049	0.051	0.054	0.059	0.447	0.245	0.232	0.128	0.099	0.088	0.055	0.104	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0.843005839765561	0.009763177862753276	0.1472309823716856
