Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
43737	61359	282.654188654	33.5785752886	17.179	17.654	16.986	16.982	18.924	18.959	18.797	18.181	17.978	17.534	16.245	16.896	17.176	17.639	16.973	16.969	18.912	19.073	18.782	18.203	17.945	17.526	16.234	16.871	17.194	17.668	17.004	16.998	18.959	18.853	18.816	18.185	18.009	17.575	16.251	16.928	0.014	0.022	0.016	0.033	0.146	0.161	0.142	0.061	0.047	0.034	0.013	0.034	0.015	0.023	0.018	0.036	0.161	0.198	0.156	0.068	0.051	0.036	0.014	0.037	0.013	0.02	0.015	0.029	0.132	0.128	0.126	0.055	0.044	0.031	0.012	0.031	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0005904574626966115	0.7305880264256561	0.26882151611164734
49473	26345	107.423669323	61.4732769665	17.255	17.834	17.067	17.021	18.983	18.943	18.699	18.394	18.337	17.675	16.629	16.979	17.255	17.834	17.067	17.021	18.983	18.943	18.699	18.394	18.337	17.675	16.629	16.979	17.259	17.839	17.07	17.026	19.005	18.927	18.73	18.389	18.335	17.671	16.658	16.99	0.011	0.019	0.01	0.021	0.102	0.1	0.082	0.053	0.049	0.028	0.016	0.026	0.011	0.019	0.01	0.021	0.102	0.1	0.082	0.053	0.049	0.028	0.016	0.026	0.011	0.019	0.01	0.021	0.102	0.097	0.083	0.052	0.049	0.028	0.017	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003102292485105613	0.6063053244015035	0.39338444634998593
46509	6693	187.055699674	44.1171625432	12.642	12.847	12.802	12.703	13.031	12.636	13.038	12.99	12.993	13.025	11.561	12.814	12.752	12.896	12.874	12.805	13.109	12.681	13.052	12.975	13.056	13.075	11.591	12.963	16.554	16.628	16.725	16.628	16.681	16.372	16.635	16.614	16.626	16.755	15.728	16.666	0.002	0.002	0.004	0.006	0.006	0.005	0.006	0.005	0.005	0.005	0.002	0.008	0.005	0.005	0.008	0.013	0.011	0.009	0.012	0.008	0.009	0.01	0.003	0.018	0.007	0.009	0.009	0.015	0.017	0.015	0.018	0.014	0.014	0.015	0.008	0.019	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.42491518003183054	0.48310717729929886	0.09197764266887054
43216	6767	282.951889546	29.8027490772	17.384	18.054	17.116	17.017	19.389	19.835	19.37	18.774	18.531	17.887	16.804	17.08	17.377	18.045	17.106	16.985	19.246	19.942	19.36	18.771	18.532	17.874	16.789	17.035	17.423	18.087	17.134	17.038	19.664	20.009	19.36	18.815	18.605	17.929	16.827	17.103	0.01	0.012	0.02	0.026	0.16	0.22	0.138	0.057	0.058	0.029	0.012	0.04	0.011	0.014	0.022	0.029	0.159	0.275	0.155	0.064	0.066	0.032	0.013	0.043	0.008	0.01	0.015	0.021	0.159	0.198	0.107	0.046	0.049	0.024	0.011	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98985194474201e-05	0.645534692941578	0.3544154085389747
43216	25558	283.067251923	30.0453070675	17.542	18.174	17.25	17.106	19.174	19.5	19.511	18.779	18.64	17.998	16.958	17.167	17.542	18.174	17.25	17.106	19.174	19.5	19.511	18.779	18.64	17.998	16.958	17.167	17.6	18.222	17.297	17.167	19.279	19.351	19.408	18.855	18.677	18.014	17.006	17.18	0.011	0.013	0.022	0.028	0.131	0.161	0.156	0.057	0.063	0.032	0.013	0.042	0.011	0.013	0.022	0.028	0.131	0.161	0.156	0.057	0.063	0.032	0.013	0.042	0.009	0.011	0.017	0.023	0.111	0.109	0.11	0.047	0.05	0.026	0.012	0.033	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	7.853179943740255e-05	0.5731077023628394	0.4268137658377232
43216	28290	283.095132296	30.0832272703	17.707	18.289	17.44	17.376	19.692	19.307	19.15	18.761	18.672	18.054	16.995	17.323	17.689	18.273	17.432	17.382	19.665	19.34	19.16	18.764	18.603	18.036	16.991	17.341	17.74	18.307	17.467	17.378	19.686	19.411	19.288	18.787	18.708	18.09	17.014	17.343	0.012	0.014	0.024	0.033	0.194	0.127	0.105	0.052	0.061	0.031	0.013	0.046	0.013	0.015	0.028	0.038	0.215	0.148	0.12	0.059	0.065	0.035	0.014	0.053	0.01	0.012	0.02	0.027	0.157	0.114	0.099	0.044	0.052	0.027	0.012	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001976316047582786	0.6191863315927644	0.38061603680247735
46531	7836	216.368672264	44.2093543846	17.118	18.264	15.803	15.233	19.068	18.836	18.631	18.84	18.688	18.172	16.255	15.306	17.118	18.264	15.803	15.233	19.068	18.836	18.631	18.84	18.688	18.172	16.255	15.306	17.161	18.388	15.847	15.319	19.173	19.034	18.73	18.952	18.722	18.146	16.35	15.347	0.011	0.035	0.005	0.006	0.133	0.113	0.097	0.09	0.075	0.048	0.011	0.009	0.011	0.035	0.005	0.006	0.133	0.113	0.097	0.09	0.075	0.048	0.011	0.009	0.009	0.031	0.004	0.006	0.11	0.102	0.081	0.076	0.059	0.037	0.01	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7979670084827517e-07	0.8524449630329959	0.14755465717030328
53125	23178	330.658318399	20.5091540456	16.271	16.702	16.114	16.072	17.934	17.663	17.56	17.086	16.961	16.533	15.246	16.11	16.256	16.694	16.1	16.053	17.881	17.648	17.568	17.071	16.953	16.498	15.239	16.093	16.346	16.782	16.185	16.144	17.999	17.804	17.602	17.095	17.045	16.627	15.28	16.154	0.008	0.013	0.007	0.013	0.08	0.065	0.059	0.028	0.028	0.02	0.008	0.019	0.008	0.014	0.008	0.014	0.086	0.072	0.066	0.03	0.031	0.021	0.008	0.021	0.007	0.012	0.006	0.01	0.061	0.054	0.046	0.022	0.024	0.018	0.007	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00233908010908835	0.7693664030434577	0.22829451684745405
45677	49903	276.971042742	40.8849082176	16.609	17.982	15.54	14.928	18.834	18.753	18.602	19.083	18.754	17.851	15.261	15.037	16.609	17.982	15.54	14.928	18.834	18.753	18.602	19.083	18.754	17.851	15.261	15.037	16.651	18.028	15.568	14.985	18.873	18.786	18.716	19.2	18.775	17.885	15.316	15.063	0.008	0.02	0.005	0.004	0.113	0.114	0.1	0.115	0.079	0.039	0.006	0.007	0.008	0.02	0.005	0.004	0.113	0.114	0.1	0.115	0.079	0.039	0.006	0.007	0.007	0.017	0.004	0.004	0.093	0.093	0.088	0.101	0.064	0.033	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.929246124962947e-07	0.9923955338442068	0.007603773231180719
50581	4047	223.747414254	75.914538313	17.699	18.073	17.571	17.551	19.252	18.976	19.167	18.413	18.341	17.952	16.905	17.545	17.699	18.073	17.571	17.551	19.252	18.976	19.167	18.413	18.341	17.952	16.905	17.545	17.71	18.079	17.574	17.57	19.317	18.979	19.152	18.418	18.34	17.976	16.908	17.566	0.016	0.023	0.015	0.033	0.136	0.112	0.134	0.064	0.05	0.037	0.016	0.04	0.016	0.023	0.015	0.033	0.136	0.112	0.134	0.064	0.05	0.037	0.016	0.04	0.015	0.022	0.014	0.031	0.136	0.106	0.124	0.06	0.047	0.036	0.016	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014270410830924225	0.5835763317495885	0.4149966271673192
57596	3462	132.904726602	57.1248412852	17.503	17.187	17.208	16.679	19.307	17.886	17.806	17.921	19.3	17.67	16.701	18.483	17.468	17.084	17.101	16.604	19.122	17.743	17.74	17.968	19.025	17.54	16.602	18.109	17.619	17.611	17.957	17.013	19.405	18.282	18.114	17.901	19.285	17.79	17.056	18.408	0.043	0.036	0.038	0.031	0.2	0.06	0.083	0.128	0.439	0.087	0.015	0.187	0.049	0.04	0.042	0.036	0.208	0.067	0.095	0.161	0.413	0.093	0.017	0.163	0.03	0.032	0.045	0.025	0.134	0.05	0.067	0.077	0.262	0.06	0.013	0.102	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.061059915729833464	0.9135970911334178	0.025342993136748638
53969	32587	338.520371795	32.8662976006	18.39	18.61	18.383	18.649	18.724	18.644	18.629	19.236	18.622	18.905	17.682	18.685	18.301	18.422	18.247	18.62	18.295	18.337	18.277	18.791	18.782	18.798	17.571	18.665	18.862	19.246	18.801	18.805	19.826	19.304	20.09	19.413	19.551	19.489	18.201	18.912	0.086	0.094	0.194	0.171	0.178	0.183	0.18	0.323	0.18	0.247	0.086	0.193	0.154	0.149	0.324	0.339	0.217	0.253	0.235	0.393	0.388	0.415	0.147	0.373	0.033	0.044	0.071	0.044	0.127	0.088	0.179	0.099	0.108	0.108	0.037	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17432399869895746	0.5341545380848954	0.2915214632161471
57596	9163	135.000664881	56.3388007132	15.395	15.287	14.299	14.104	18.198	17.178	16.91	16.285	16.896	15.811	14.383	15.338	15.391	15.279	14.296	14.101	18.149	17.171	16.902	16.296	16.897	15.808	14.38	15.324	15.765	16.242	15.205	14.987	18.481	18.038	17.75	16.86	17.594	16.063	15.174	16.024	0.01	0.01	0.005	0.005	0.11	0.047	0.055	0.043	0.077	0.025	0.003	0.018	0.011	0.011	0.005	0.005	0.112	0.049	0.058	0.046	0.081	0.026	0.003	0.019	0.008	0.011	0.006	0.005	0.064	0.04	0.051	0.033	0.063	0.016	0.004	0.016	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9.004926126919849e-05	0.9767505522146367	0.02315939852409403
57596	9178	134.999844962	56.3388069555	16.067	15.061	14.414	13.988	18.497	17.243	16.722	16.615	17.649	16.247	14.646	16.203	16.076	15.065	14.417	13.991	18.444	17.252	16.714	16.613	17.634	16.254	14.649	16.202	17.342	16.187	16.011	15.13	19.257	18.664	17.901	19.742	17.923	18.384	16.403	16.46	0.019	0.009	0.005	0.005	0.139	0.06	0.055	0.065	0.155	0.04	0.004	0.04	0.019	0.009	0.005	0.005	0.13	0.06	0.054	0.063	0.15	0.039	0.004	0.039	0.024	0.012	0.008	0.006	0.106	0.096	0.065	0.425	0.081	0.106	0.008	0.022	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00037910954888847165	0.9953447275870071	0.00427616286410446
48611	22115	209.198693014	55.2068630084	16.262	16.719	16.025	15.913	17.758	17.982	17.563	17.252	17.133	16.445	14.894	15.818	16.249	16.691	15.984	15.933	17.508	17.98	17.567	17.173	17.22	16.31	14.877	15.751	17.714	18.204	17.5	17.334	19.343	19.21	18.966	18.687	18.546	18.038	17.608	17.348	0.004	0.007	0.027	0.021	0.105	0.124	0.039	0.055	0.066	0.034	0.012	0.037	0.006	0.011	0.04	0.035	0.131	0.191	0.06	0.078	0.111	0.046	0.016	0.053	0.003	0.007	0.025	0.017	0.099	0.086	0.035	0.049	0.056	0.036	0.034	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010193823527087063	0.8337505066746205	0.16523011097267087
53207	18114	333.451923456	17.3766495977	18.167	18.134	18.177	17.931	18.698	18.262	18.438	18.357	18.44	17.803	16.926	18.464	18.1	17.969	18.052	17.733	18.934	18.255	18.316	18.237	18.333	17.735	16.823	18.453	18.593	18.592	18.82	18.66	18.906	18.738	18.664	18.905	18.786	18.243	17.268	19.051	0.049	0.047	0.057	0.104	0.162	0.116	0.135	0.101	0.111	0.06	0.028	0.222	0.07	0.059	0.077	0.132	0.297	0.168	0.179	0.133	0.148	0.083	0.037	0.329	0.033	0.035	0.046	0.088	0.092	0.082	0.078	0.079	0.072	0.044	0.021	0.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1346753006766698	0.5082805091867786	0.35704419013655164
56212	16232	106.50060894	24.6035733377	18.037	17.51	16.648	16.971	17.983	18.579	18.553	18.415	19.425	20.248	17.043	16.915	18.034	17.497	16.644	16.971	17.98	18.584	18.592	18.379	19.404	20.281	17.023	16.914	18.108	17.53	16.683	16.998	18.042	18.559	18.57	18.352	20.388	19.742	17.065	16.893	0.046	0.027	0.019	0.046	0.112	0.185	0.166	0.145	0.348	0.717	0.033	0.073	0.046	0.027	0.019	0.047	0.113	0.189	0.175	0.142	0.346	0.75	0.033	0.074	0.031	0.018	0.012	0.025	0.071	0.116	0.098	0.087	0.42	0.267	0.021	0.045	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0031193558663652563	0.9796999836047532	0.01718066052888145
53974	22395	344.072467103	32.5533135568	12.903	12.657	12.612	10.959	15.066	14.761	14.456	13.594	13.293	12.233	11.121	10.566	12.902	12.657	12.611	10.959	15.065	14.754	14.456	13.594	13.294	12.233	11.121	10.566	18.016	19.178	17.335	16.846	21.997	20.637	99.0	20.703	20.097	19.328	17.812	17.055	0.002	0.001	0.002	0.001	0.02	0.016	0.012	0.005	0.004	0.002	0.001	0.001	0.002	0.001	0.002	0.001	0.021	0.017	0.012	0.005	0.004	0.002	0.001	0.001	0.013	0.035	0.012	0.013	1.129	0.357	99.0	0.303	0.173	0.082	0.024	0.022	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2.292469939520148e-06	0.6633432298836913	0.33665447764636913
53974	23012	344.072999656	32.5557316691	13.008	12.825	12.578	11.166	15.353	14.981	14.635	13.784	13.483	12.421	11.284	10.715	13.008	12.825	12.578	11.166	15.353	14.981	14.635	13.784	13.483	12.421	11.284	10.715	14.945	15.471	14.24	13.583	18.092	18.129	17.55	16.826	16.471	15.381	14.065	13.49	0.002	0.001	0.001	0.001	0.022	0.017	0.012	0.005	0.004	0.002	0.001	0.001	0.002	0.001	0.001	0.001	0.022	0.017	0.012	0.005	0.004	0.002	0.001	0.001	0.003	0.003	0.002	0.004	0.047	0.053	0.035	0.017	0.014	0.007	0.004	0.004	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1.444375918889726e-06	0.6652865700610493	0.33471198556303183
53974	23123	344.074285303	32.5554633678	13.026	12.827	12.614	11.187	15.283	14.96	14.629	13.801	13.488	12.424	11.286	10.719	13.014	12.825	12.593	11.179	15.301	14.945	14.608	13.803	13.483	12.421	11.282	10.714	15.442	16.486	14.718	14.386	19.208	18.989	18.687	17.791	17.469	16.46	15.064	14.495	0.001	0.001	0.001	0.001	0.016	0.013	0.01	0.004	0.003	0.001	0.001	0.001	0.002	0.001	0.002	0.001	0.022	0.017	0.012	0.005	0.004	0.002	0.001	0.001	0.003	0.005	0.003	0.003	0.108	0.097	0.075	0.028	0.022	0.01	0.004	0.004	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1.6533019626269484e-06	0.6568130493333659	0.3431852973646714
45749	12073	122.405969527	41.591434557	16.156	16.408	16.193	16.004	16.729	16.316	16.725	16.435	16.254	16.698	15.288	15.92	16.126	16.435	16.125	15.979	16.656	16.305	16.717	16.337	16.141	16.642	15.255	15.825	17.906	17.9	18.027	18.039	18.103	17.871	18.052	18.069	17.978	18.128	16.935	18.035	0.022	0.032	0.029	0.049	0.091	0.065	0.1	0.061	0.053	0.083	0.02	0.055	0.026	0.04	0.034	0.06	0.104	0.079	0.122	0.068	0.058	0.098	0.024	0.063	0.018	0.024	0.024	0.041	0.055	0.048	0.056	0.047	0.045	0.049	0.019	0.055	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.06122796713861807	0.6073995067876227	0.3313725260737592
45409	23374	241.115441665	40.6827170907	16.302	16.335	16.157	15.996	18.105	18.138	17.724	17.866	17.39	17.143	15.298	16.041	16.302	16.335	16.157	15.996	18.105	18.138	17.724	17.866	17.39	17.143	15.298	16.041	16.505	16.868	16.257	16.109	18.7	18.685	18.341	18.118	17.751	17.346	15.842	16.15	0.007	0.008	0.007	0.014	0.077	0.083	0.06	0.061	0.032	0.025	0.006	0.018	0.007	0.008	0.007	0.014	0.077	0.083	0.06	0.061	0.032	0.025	0.006	0.018	0.006	0.01	0.006	0.01	0.076	0.079	0.063	0.047	0.028	0.02	0.008	0.013	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0018639524127590107	0.976743447536766	0.02139260005047496
