Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
42855	8795	199.010346679	27.5091768642	19.431	20.469	18.881	18.316	28.11	20.919	19.966	21.97	20.494	20.325	18.698	18.644	19.335	20.194	18.913	18.353	99.0	23.284	19.643	22.049	20.21	19.97	18.604	18.48	19.793	20.87	19.272	18.886	99.0	21.232	22.041	22.404	21.651	21.183	19.383	18.995	0.105	0.273	0.075	0.104	740.472	1.071	0.463	2.16	0.505	0.474	0.111	0.175	0.12	0.265	0.097	0.135	99.0	11.85	0.43	2.909	0.488	0.429	0.127	0.189	0.067	0.176	0.049	0.079	99.0	0.636	1.39	1.427	0.651	0.466	0.095	0.109	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2.296336274920021e-09	0.9997441384026909	0.00025585930097275756
42855	12248	199.697281882	27.7277655137	18.197	18.111	18.457	18.269	19.36	18.043	18.179	18.088	18.149	17.862	17.297	18.898	18.561	18.193	19.277	18.952	19.271	17.774	17.863	17.682	18.106	18.047	17.405	99.0	19.311	19.257	19.605	19.51	19.685	19.275	19.335	19.453	19.368	18.378	18.051	19.848	0.077	0.072	0.118	0.228	0.522	0.175	0.204	0.139	0.135	0.113	0.071	0.505	0.182	0.13	0.431	0.725	0.793	0.231	0.256	0.161	0.219	0.224	0.132	99.0	0.045	0.044	0.066	0.137	0.146	0.112	0.122	0.1	0.085	0.041	0.032	0.234	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.26563995820585234	0.36919435481801016	0.3651656869761375
43241	13612	136.475606428	32.2603638596	18.827	19.822	18.747	18.128	20.668	20.339	20.637	20.35	20.097	19.587	17.845	17.953	18.73	19.764	18.976	18.143	20.474	20.343	20.799	20.008	20.408	19.531	17.801	17.949	18.851	19.848	18.81	18.257	20.844	20.483	20.633	20.44	20.273	19.649	17.853	18.014	0.041	0.071	0.105	0.077	0.272	0.216	0.292	0.236	0.186	0.13	0.035	0.058	0.048	0.088	0.17	0.103	0.302	0.287	0.446	0.228	0.327	0.162	0.042	0.076	0.036	0.062	0.095	0.074	0.272	0.21	0.248	0.218	0.186	0.118	0.031	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8994163171384375e-06	0.90699983472062	0.09299626586306284
42855	15703	199.989126887	27.9955568323	19.306	20.183	19.125	18.287	21.181	21.592	22.193	23.03	22.557	19.858	18.715	18.651	19.512	20.071	19.086	18.345	21.415	21.511	99.0	20.592	99.0	19.185	18.516	18.756	19.936	21.104	19.485	19.103	23.654	99.0	21.99	21.472	21.17	21.499	19.608	19.133	0.117	0.259	0.117	0.125	1.541	2.475	4.462	7.1	4.205	0.381	0.139	0.217	0.252	0.419	0.205	0.237	3.372	4.133	99.0	1.349	99.0	0.367	0.208	0.431	0.078	0.221	0.06	0.097	5.505	99.0	1.349	0.617	0.428	0.631	0.118	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.114082854572379e-08	0.9845760691941978	0.015423909664973612
53034	22711	334.019113043	16.3506855301	19.71	20.135	19.297	19.377	21.393	20.072	20.257	20.833	20.04	19.964	19.084	19.363	19.621	19.968	19.037	19.888	22.382	20.767	19.921	20.508	19.879	19.511	18.926	19.381	19.795	20.259	19.633	19.456	21.162	20.35	20.925	21.502	20.413	20.395	19.355	19.489	0.132	0.19	0.107	0.272	1.264	0.392	0.476	0.653	0.321	0.285	0.13	0.327	0.182	0.242	0.126	0.654	4.686	1.095	0.516	0.719	0.41	0.279	0.167	0.498	0.098	0.147	0.099	0.197	0.699	0.35	0.607	0.827	0.311	0.291	0.116	0.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017577123194926675	0.5459587311792616	0.4538654975887892
43241	20564	137.460373841	32.4849913651	19.819	21.091	19.059	18.638	22.159	21.103	21.302	23.461	21.022	20.155	19.074	18.629	19.745	21.397	19.113	18.518	21.724	20.982	21.672	21.107	20.885	20.219	19.051	18.586	19.809	21.101	19.062	18.656	21.964	21.161	21.274	22.483	20.994	20.13	19.141	18.642	0.092	0.203	0.129	0.112	0.992	0.402	0.496	3.785	0.398	0.2	0.092	0.098	0.107	0.338	0.17	0.125	0.836	0.453	0.875	0.548	0.442	0.265	0.112	0.118	0.087	0.195	0.123	0.108	0.792	0.406	0.46	1.472	0.37	0.186	0.094	0.095	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3.124040811471062e-08	0.9318460264895491	0.06815394227004284
53034	24828	333.070945223	16.2442643656	19.905	20.476	19.852	20.308	23.233	22.273	22.453	20.187	20.941	20.866	19.282	20.034	19.809	20.45	19.881	20.075	21.424	22.141	21.956	20.184	21.354	20.319	19.141	19.719	20.127	20.816	19.951	20.338	22.04	21.105	99.0	20.941	21.627	21.285	19.726	19.944	0.172	0.282	0.197	0.705	7.494	3.179	3.887	0.394	0.796	0.711	0.171	0.667	0.181	0.316	0.233	0.656	1.629	3.228	2.82	0.451	1.335	0.494	0.172	0.575	0.131	0.24	0.133	0.443	1.549	0.677	99.0	0.492	0.93	0.647	0.16	0.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0114251595196527e-05	0.836717286344163	0.16326259940424165
43737	49787	282.890646746	33.3762669215	19.964	21.158	18.885	18.432	22.392	21.019	21.395	21.282	22.271	20.636	19.181	18.639	19.982	21.138	18.938	18.398	21.722	20.884	21.247	21.259	21.429	20.881	19.17	18.558	19.968	21.047	18.894	18.402	22.228	20.597	21.449	21.16	21.333	20.928	19.147	18.486	0.101	0.303	0.057	0.08	2.352	0.708	1.017	0.655	1.49	0.342	0.097	0.109	0.119	0.343	0.069	0.09	1.469	0.725	1.025	0.742	0.796	0.495	0.109	0.116	0.129	0.35	0.073	0.1	2.593	0.619	1.378	0.75	0.807	0.573	0.118	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6778355472376124e-08	0.796312364646472	0.20368761857517256
50417	1213	109.722505283	74.3412982194	19.485	20.135	19.381	19.025	21.732	20.396	19.883	20.641	20.395	19.708	18.847	19.015	19.416	20.155	19.325	19.011	22.713	20.726	19.777	20.459	20.266	19.642	18.879	19.052	19.623	20.467	19.194	18.939	24.209	99.0	21.223	22.346	20.533	20.213	19.22	18.969	0.13	0.232	0.162	0.262	2.962	0.804	0.488	0.873	0.71	0.34	0.139	0.322	0.13	0.252	0.165	0.276	7.791	1.162	0.472	0.787	0.672	0.34	0.153	0.355	0.078	0.168	0.072	0.128	15.633	99.0	0.901	2.248	0.431	0.291	0.105	0.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.668688563341228e-05	0.603719784266503	0.3962435288478636
48453	3997	198.808362842	54.9633274104	18.63	19.288	18.385	17.823	19.505	21.216	19.959	20.561	19.676	18.826	17.962	18.429	18.548	19.312	18.434	17.524	19.303	21.568	20.094	21.473	19.421	18.689	18.093	18.125	19.082	19.776	18.868	18.609	20.186	21.488	20.899	20.155	19.788	19.624	18.894	18.596	0.041	0.052	0.082	0.129	0.322	1.584	0.482	1.094	0.408	0.205	0.11	0.215	0.063	0.09	0.146	0.169	0.447	3.675	0.923	4.264	0.537	0.301	0.208	0.275	0.031	0.042	0.063	0.126	0.294	0.988	0.555	0.366	0.222	0.21	0.127	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.567905952447979e-06	0.5343197610296598	0.46567567106438773
