Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
42855	8795	199.010346679	27.5091768642	19.431	20.469	18.881	18.316	28.11	20.919	19.966	21.97	20.494	20.325	18.698	18.644	19.335	20.194	18.913	18.353	99.0	23.284	19.643	22.049	20.21	19.97	18.604	18.48	19.793	20.87	19.272	18.886	99.0	21.232	22.041	22.404	21.651	21.183	19.383	18.995	0.105	0.273	0.075	0.104	740.472	1.071	0.463	2.16	0.505	0.474	0.111	0.175	0.12	0.265	0.097	0.135	99.0	11.85	0.43	2.909	0.488	0.429	0.127	0.189	0.067	0.176	0.049	0.079	99.0	0.636	1.39	1.427	0.651	0.466	0.095	0.109	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2.2963311603946043e-09	0.999744138039541	0.00025585966412785817
43737	41419	282.523433573	33.2278254874	19.738	20.279	19.091	18.98	25.874	19.869	19.282	20.617	20.067	19.013	19.033	20.311	19.844	20.377	19.19	18.99	99.0	20.171	19.457	20.768	20.093	19.083	19.195	20.059	19.93	20.389	19.432	19.325	99.0	20.461	20.055	21.154	20.398	19.939	19.745	19.773	0.192	0.315	0.159	0.31	133.885	0.557	0.335	0.822	0.455	0.179	0.189	1.149	0.195	0.318	0.161	0.288	99.0	0.681	0.363	0.874	0.431	0.177	0.203	0.841	0.123	0.192	0.116	0.227	99.0	0.529	0.376	0.743	0.341	0.231	0.199	0.381	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2.1738354981832192e-05	0.9334622976560072	0.06651596398901109
42855	12248	199.697281882	27.7277655137	18.197	18.111	18.457	18.269	19.36	18.043	18.179	18.088	18.149	17.862	17.297	18.898	18.561	18.193	19.277	18.952	19.271	17.774	17.863	17.682	18.106	18.047	17.405	99.0	19.311	19.257	19.605	19.51	19.685	19.275	19.335	19.453	19.368	18.378	18.051	19.848	0.077	0.072	0.118	0.228	0.522	0.175	0.204	0.139	0.135	0.113	0.071	0.505	0.182	0.13	0.431	0.725	0.793	0.231	0.256	0.161	0.219	0.224	0.132	99.0	0.045	0.044	0.066	0.137	0.146	0.112	0.122	0.1	0.085	0.041	0.032	0.234	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.26563959265835835	0.36919451035597073	0.36516589698567087
43241	13612	136.475606428	32.2603638596	18.827	19.822	18.747	18.128	20.668	20.339	20.637	20.35	20.097	19.587	17.845	17.953	18.73	19.764	18.976	18.143	20.474	20.343	20.799	20.008	20.408	19.531	17.801	17.949	18.851	19.848	18.81	18.257	20.844	20.483	20.633	20.44	20.273	19.649	17.853	18.014	0.041	0.071	0.105	0.077	0.272	0.216	0.292	0.236	0.186	0.13	0.035	0.058	0.048	0.088	0.17	0.103	0.302	0.287	0.446	0.228	0.327	0.162	0.042	0.076	0.036	0.062	0.095	0.074	0.272	0.21	0.248	0.218	0.186	0.118	0.031	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8994078853735085e-06	0.9069998035686816	0.09299629702343291
43737	42861	282.592098799	33.2528700851	19.86	20.588	19.561	19.002	19.681	19.219	22.119	23.387	20.255	19.907	19.258	20.206	19.84	20.641	19.567	19.308	20.77	19.612	23.144	21.975	20.359	19.878	19.432	19.724	19.855	20.629	19.578	19.258	20.367	19.516	23.83	22.003	20.29	19.813	19.406	19.658	0.144	0.283	0.163	0.212	0.311	0.216	3.079	7.151	0.369	0.277	0.158	0.705	0.111	0.235	0.128	0.219	0.663	0.245	6.243	1.54	0.321	0.214	0.147	0.356	0.116	0.239	0.133	0.214	0.476	0.233	12.07	1.629	0.313	0.207	0.147	0.343	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.0010959862944345503	0.9605366972679388	0.038367316437626656
46495	23477	109.397915225	44.9047729347	19.76	21.478	19.681	19.745	21.116	20.835	21.593	20.131	21.417	21.128	19.239	19.407	19.789	21.108	19.639	19.571	21.21	20.661	21.195	20.689	20.919	20.634	19.53	19.23	19.772	21.133	19.589	19.595	21.832	21.506	21.149	20.841	20.814	20.365	19.561	19.258	0.133	0.726	0.159	0.279	1.167	0.81	1.834	0.337	1.141	0.869	0.17	0.294	0.097	0.367	0.108	0.168	0.904	0.494	0.904	0.401	0.515	0.393	0.159	0.178	0.078	0.304	0.084	0.138	1.297	0.871	0.7	0.374	0.378	0.249	0.134	0.148	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	4.082536281085126e-05	0.5662315060022427	0.4337276686349464
42855	14693	198.562395349	28.0565713812	18.663	17.651	18.272	16.834	20.268	20.565	19.938	20.097	19.706	19.143	18.063	18.237	18.134	14.941	17.114	14.036	19.077	17.047	16.718	19.863	19.132	18.9	17.363	17.701	19.193	18.604	19.429	17.653	20.944	99.0	20.618	20.131	20.13	19.702	18.607	18.855	0.049	0.027	0.035	0.029	0.447	0.729	0.488	0.332	0.196	0.14	0.061	0.101	0.045	0.005	0.021	0.005	0.238	0.049	0.042	0.403	0.178	0.166	0.048	0.094	0.061	0.048	0.07	0.048	0.612	99.0	0.689	0.266	0.227	0.186	0.078	0.137	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	7.252822875870357e-06	0.9683478138513388	0.0316449333257853
42855	14694	198.562782862	28.0550022502	17.2	14.449	16.776	13.48	18.734	16.549	16.093	18.498	19.146	18.112	16.432	16.793	17.181	14.447	16.755	13.479	18.725	16.558	16.087	18.462	19.227	18.128	16.424	16.778	18.05	17.692	17.392	16.917	19.575	19.706	19.25	19.769	19.483	18.959	17.349	18.058	0.035	0.005	0.031	0.004	0.346	0.053	0.037	0.227	0.392	0.162	0.037	0.084	0.036	0.005	0.031	0.004	0.353	0.055	0.038	0.227	0.436	0.169	0.038	0.086	0.029	0.025	0.02	0.027	0.241	0.297	0.207	0.237	0.17	0.119	0.034	0.087	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0.0009348109881655571	0.9990191539843742	4.603502746031127e-05
42855	15703	199.989126887	27.9955568323	19.306	20.183	19.125	18.287	21.181	21.592	22.193	23.03	22.557	19.858	18.715	18.651	19.512	20.071	19.086	18.345	21.415	21.511	99.0	20.592	99.0	19.185	18.516	18.756	19.936	21.104	19.485	19.103	23.654	99.0	21.99	21.472	21.17	21.499	19.608	19.133	0.117	0.259	0.117	0.125	1.541	2.475	4.462	7.1	4.205	0.381	0.139	0.217	0.252	0.419	0.205	0.237	3.372	4.133	99.0	1.349	99.0	0.367	0.208	0.431	0.078	0.221	0.06	0.097	5.505	99.0	1.349	0.617	0.428	0.631	0.118	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1140780634523316e-08	0.9845760594657402	0.015423919393479082
53034	22711	334.019113043	16.3506855301	19.71	20.135	19.297	19.377	21.393	20.072	20.257	20.833	20.04	19.964	19.084	19.363	19.621	19.968	19.037	19.888	22.382	20.767	19.921	20.508	19.879	19.511	18.926	19.381	19.795	20.259	19.633	19.456	21.162	20.35	20.925	21.502	20.413	20.395	19.355	19.489	0.132	0.19	0.107	0.272	1.264	0.392	0.476	0.653	0.321	0.285	0.13	0.327	0.182	0.242	0.126	0.654	4.686	1.095	0.516	0.719	0.41	0.279	0.167	0.498	0.098	0.147	0.099	0.197	0.699	0.35	0.607	0.827	0.311	0.291	0.116	0.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017577086890517834	0.5459587224023806	0.4538655067287142
