Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
43737	66008	282.524030956	33.6178005352	14.366	13.474	13.454	14.396	13.26	13.636	14.567	13.668	13.827	13.602	13.224	13.656	99.0	21.172	22.675	99.0	99.0	99.0	99.0	99.0	99.0	24.93	99.0	99.0	99.0	21.589	23.148	99.0	99.0	99.0	99.0	99.0	99.0	22.927	21.678	99.0	0.109	0.036	0.07	0.31	0.048	0.074	0.176	0.059	0.063	0.062	0.051	0.126	99.0	0.776	4.042	99.0	99.0	99.0	99.0	99.0	99.0	37.933	99.0	99.0	99.0	0.697	3.569	99.0	99.0	99.0	99.0	99.0	99.0	3.539	1.15	99.0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.9999036322967468	9.010502150614485e-05	6.26268174717197e-06
49473	22592	106.973487916	61.7347832522	19.702	19.799	19.616	19.903	19.42	19.554	19.589	19.427	19.995	19.436	18.468	20.695	19.74	19.764	19.606	19.854	19.415	19.656	19.536	19.437	19.977	19.402	18.425	21.337	19.902	19.82	19.928	20.641	19.842	19.982	19.736	19.704	19.813	19.746	18.692	20.028	0.133	0.142	0.143	0.453	0.232	0.265	0.278	0.193	0.319	0.181	0.077	1.144	0.144	0.143	0.147	0.451	0.24	0.302	0.275	0.203	0.327	0.182	0.077	2.151	0.098	0.091	0.115	0.539	0.212	0.243	0.197	0.156	0.168	0.149	0.06	0.375	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9999999973648539	1.1655181183788491e-12	2.6339804918900803e-09
53036	1753	331.901555021	13.7784380082	19.657	20.452	19.393	19.453	19.796	19.761	22.364	20.255	20.797	19.345	19.054	20.62	19.489	20.832	19.489	19.55	19.38	19.804	20.609	21.116	20.442	19.4	18.866	20.756	19.892	20.39	19.563	19.619	20.239	20.465	99.0	20.451	21.554	19.947	19.727	19.873	0.146	0.443	0.146	0.265	0.383	0.423	5.84	0.412	0.764	0.208	0.172	1.291	0.17	0.851	0.218	0.396	0.352	0.589	1.563	1.223	0.743	0.293	0.195	1.98	0.102	0.237	0.096	0.171	0.329	0.465	99.0	0.283	0.875	0.207	0.181	0.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9730545787764435	1.682515561346146e-08	0.026945404398400794
47423	8411	236.351497493	48.2343007236	13.891	12.926	12.342	12.212	13.857	13.624	13.559	12.993	12.94	12.483	12.265	12.075	13.891	12.926	12.342	12.212	13.857	13.624	13.559	12.993	12.94	12.483	12.265	12.075	14.837	13.673	13.115	12.897	14.521	14.248	14.179	13.621	13.598	13.146	12.951	12.75	0.002	0.001	0.001	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.003	0.001	0.001	0.002	0.005	0.004	0.004	0.002	0.002	0.002	0.002	0.002	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9999867947582224	1.3205010788530962e-05	2.3098903755136812e-10
47423	8570	236.344336144	48.2328571355	15.718	14.514	13.925	13.878	15.439	15.299	15.2	14.625	14.603	14.158	13.998	13.87	18.055	18.876	17.483	17.332	19.254	19.63	18.884	19.128	19.589	18.513	17.928	17.521	18.539	19.641	17.958	17.708	99.0	25.244	20.741	21.169	20.721	19.361	18.314	17.712	0.014	0.005	0.005	0.008	0.029	0.025	0.022	0.012	0.011	0.007	0.006	0.01	0.05	0.11	0.05	0.079	0.424	0.6	0.294	0.313	0.464	0.163	0.09	0.122	0.024	0.067	0.023	0.034	99.0	31.469	0.49	0.6	0.397	0.107	0.04	0.045	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.99999998571179	1.4287480758813721e-08	7.292630912638254e-13
47423	8698	236.351474342	48.2344968561	13.844	12.912	12.32	12.189	13.839	13.614	13.547	12.987	12.931	12.474	12.251	12.058	13.844	12.912	12.32	12.189	13.839	13.614	13.547	12.987	12.931	12.474	12.251	12.058	14.647	13.382	12.75	12.556	14.199	13.943	13.857	13.323	13.246	12.795	12.57	12.347	0.002	0.001	0.001	0.001	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.002	0.003	0.001	0.001	0.001	0.004	0.003	0.003	0.002	0.002	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9999690419693232	3.0957253683483476e-05	7.769931923252968e-10
47423	15567	236.238738922	48.6083856466	13.811	12.244	11.752	11.673	13.057	12.761	12.669	12.204	12.145	11.785	11.658	11.511	13.81	12.243	11.752	11.672	13.059	12.763	12.666	12.204	12.146	11.785	11.657	11.511	17.199	16.789	16.443	16.109	17.752	17.622	17.548	16.989	16.981	16.666	16.568	16.347	0.002	0.001	0.001	0.001	0.003	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.01	0.008	0.008	0.01	0.039	0.035	0.033	0.017	0.017	0.013	0.012	0.017	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9999999999984879	1.5121914238748515e-12	2.1901880429882673e-19
47423	16162	236.238713453	48.608156032	14.081	12.887	12.4	12.303	13.718	13.435	13.341	12.88	12.819	12.46	12.326	12.175	14.081	12.887	12.4	12.303	13.718	13.435	13.341	12.88	12.819	12.46	12.326	12.175	14.513	13.168	12.647	12.512	13.92	13.594	13.486	13.046	12.984	12.622	12.479	12.327	0.002	0.001	0.001	0.002	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.002	0.002	0.001	0.001	0.002	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.003	0.003	0.002	0.002	0.001	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.999999948643129	5.1356232398201605e-08	6.385973940526832e-13
43216	16689	284.282418697	29.9305643794	18.239	18.76	18.057	17.959	20.226	19.772	19.749	19.159	19.073	18.574	16.151	17.927	18.207	18.743	18.043	17.933	20.22	19.87	19.77	19.149	19.032	18.573	16.148	17.976	18.305	18.822	18.081	18.041	20.016	19.74	19.783	19.205	19.225	18.646	16.159	17.994	0.02	0.021	0.045	0.059	0.34	0.206	0.194	0.078	0.092	0.052	0.008	0.083	0.022	0.024	0.051	0.067	0.386	0.257	0.224	0.088	0.101	0.059	0.008	0.1	0.016	0.018	0.035	0.049	0.218	0.156	0.157	0.064	0.082	0.044	0.007	0.068	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9999892446405763	1.075529026538283e-05	6.915830504915297e-11
43216	40793	283.25129237	30.2472781775	19.424	19.914	19.263	19.036	24.428	21.662	20.721	20.429	20.263	19.824	17.788	19.26	19.451	19.878	19.249	18.992	22.295	21.381	20.339	20.373	20.302	19.837	17.788	19.343	19.441	19.938	19.259	19.084	23.524	21.655	20.89	20.422	20.285	19.812	17.785	19.23	0.043	0.046	0.105	0.124	12.791	0.914	0.368	0.195	0.216	0.127	0.022	0.221	0.051	0.051	0.12	0.137	2.055	0.81	0.297	0.212	0.256	0.147	0.024	0.275	0.041	0.044	0.098	0.122	5.246	0.856	0.408	0.184	0.207	0.118	0.021	0.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5019066588152473	0.48647612922920663	0.011617211955546096
