Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
43241	11283	136.972387018	32.4187669457	10.513	10.053	8.945	9.31	11.816	11.688	11.325	10.473	10.217	9.548	9.113	8.905	10.513	10.053	8.945	9.31	11.816	11.688	11.325	10.473	10.217	9.548	9.113	8.905	17.476	18.306	17.156	17.034	20.712	20.85	20.536	19.358	19.149	18.249	17.362	17.099	0.001	0.001	0.001	0.001	0.004	0.004	0.003	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.004	0.004	0.003	0.001	0.001	0.001	0.001	0.001	0.013	0.019	0.025	0.026	0.247	0.3	0.234	0.087	0.072	0.038	0.022	0.025	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9790651832237323	0.020933493937884143	1.322838383531837e-06
42855	13463	199.690409142	28.1522387952	12.194	10.881	12.753	12.196	12.348	12.197	11.825	11.013	10.821	10.182	10.153	11.546	12.194	10.881	12.753	12.196	12.348	12.197	11.825	11.013	10.821	10.182	10.153	11.546	15.374	16.336	14.981	14.717	18.786	18.657	18.179	17.433	17.087	16.198	15.209	14.783	0.002	0.001	0.002	0.003	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.002	0.002	0.001	0.002	0.003	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.002	0.004	0.007	0.003	0.004	0.071	0.069	0.049	0.023	0.018	0.011	0.006	0.006	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9999995356320022	4.64367997086596e-07	6.035557632291056e-16
43241	20999	136.971201898	32.4315371165	11.071	10.264	9.053	9.393	11.909	11.787	11.407	10.577	10.312	9.649	9.234	9.07	12.021	12.722	12.437	11.543	15.777	15.552	15.328	14.347	14.11	13.246	12.634	11.854	12.392	13.301	13.553	12.106	16.574	16.332	16.098	15.138	14.894	14.021	13.664	12.593	0.001	0.0	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.003	0.001	0.008	0.008	0.007	0.004	0.003	0.002	0.002	0.001	0.002	0.003	0.008	0.002	0.013	0.012	0.011	0.007	0.006	0.004	0.005	0.003	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9999999552494117	4.475051167224989e-08	7.666627899625498e-14
43737	66008	282.524030956	33.6178005352	14.366	13.474	13.454	14.396	13.26	13.636	14.567	13.668	13.827	13.602	13.224	13.656	99.0	21.172	22.675	99.0	99.0	99.0	99.0	99.0	99.0	24.93	99.0	99.0	99.0	21.589	23.148	99.0	99.0	99.0	99.0	99.0	99.0	22.927	21.678	99.0	0.109	0.036	0.07	0.31	0.048	0.074	0.176	0.059	0.063	0.062	0.051	0.126	99.0	0.776	4.042	99.0	99.0	99.0	99.0	99.0	99.0	37.933	99.0	99.0	99.0	0.697	3.569	99.0	99.0	99.0	99.0	99.0	99.0	3.539	1.15	99.0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.9999036322967468	9.010502150614485e-05	6.26268174717197e-06
51437	7920	27.1440795862	2.09710773699	17.832	17.217	16.497	16.048	17.218	18.281	17.711	17.338	17.163	16.36	16.844	16.596	17.395	17.612	16.818	16.51	17.825	17.569	17.703	17.341	17.23	17.415	17.037	16.704	17.899	18.812	17.59	17.459	19.805	20.397	20.394	19.622	19.587	18.668	17.788	17.457	0.184	0.099	0.088	0.116	0.211	0.57	0.332	0.196	0.164	0.078	0.131	0.218	0.054	0.062	0.05	0.077	0.165	0.132	0.15	0.088	0.078	0.09	0.069	0.107	0.019	0.039	0.02	0.036	0.203	0.35	0.356	0.143	0.138	0.06	0.031	0.043	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9933095697842266	0.004020828243890437	0.002669601971883087
51437	9842	27.0557302259	1.76290824965	12.165	11.106	11.396	11.448	12.117	11.398	10.994	10.81	10.857	10.881	11.173	11.317	12.165	11.106	11.396	11.448	12.117	11.398	10.994	10.81	10.857	10.881	11.173	11.317	12.956	11.63	11.994	12.019	12.554	11.83	11.41	11.27	11.31	11.34	11.629	11.773	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9974264242871533	0.0017707666805090406	0.0008028090323376438
51437	9843	27.0557297313	1.76337049906	12.163	11.109	11.398	11.427	12.112	11.391	10.986	10.803	10.852	10.874	11.165	11.302	12.163	11.109	11.398	11.427	12.112	11.391	10.986	10.803	10.852	10.874	11.165	11.302	12.982	11.591	11.885	11.834	12.452	11.695	11.273	11.151	11.205	11.231	11.491	11.619	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9972348131626574	0.002007096873802586	0.0007580899635401333
44626	11020	121.727735059	38.7537124748	11.332	10.535	9.795	9.704	12.597	12.52	12.133	11.287	11.116	10.059	9.59	9.271	11.764	11.907	10.61	10.547	14.424	13.977	13.757	12.756	12.328	11.568	11.03	10.457	12.02	12.281	10.979	10.815	14.771	14.36	14.125	13.126	12.715	11.938	11.387	10.824	0.001	0.0	0.0	0.0	0.002	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.001	0.001	0.0	0.001	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.0	0.001	0.006	0.005	0.005	0.003	0.002	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9016538110392904	0.09834618802599163	9.34717918086594e-10
44626	11365	121.725703759	38.7526034034	11.517	10.851	9.902	9.983	13.045	12.891	12.548	11.661	11.395	10.444	9.941	9.55	11.517	10.851	9.902	9.983	13.046	12.884	12.547	11.66	11.395	10.444	9.941	9.55	14.369	14.579	13.035	13.463	17.398	16.595	16.438	15.411	14.759	14.239	13.811	13.08	0.001	0.0	0.0	0.0	0.003	0.003	0.003	0.001	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.004	0.004	0.003	0.001	0.001	0.001	0.0	0.0	0.003	0.003	0.001	0.002	0.027	0.018	0.017	0.008	0.006	0.004	0.003	0.002	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.5302028073783331	0.4697970494156188	1.4320604814028889e-07
44626	11787	121.728538543	38.7393197614	11.738	10.897	10.028	10.046	13.034	12.909	12.515	11.709	11.455	10.495	9.993	9.631	11.738	10.897	10.028	10.046	13.034	12.909	12.515	11.709	11.455	10.495	9.993	9.631	17.045	17.423	17.026	16.844	18.418	18.226	18.267	17.79	17.876	17.299	17.002	16.911	0.003	0.001	0.001	0.002	0.014	0.015	0.011	0.004	0.003	0.002	0.001	0.001	0.003	0.001	0.001	0.002	0.014	0.015	0.011	0.004	0.003	0.002	0.001	0.001	0.009	0.011	0.011	0.016	0.051	0.052	0.053	0.031	0.032	0.021	0.016	0.022	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.9814200925118287	0.018579906743707044	7.444642493860686e-10
