Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
43241	13612	136.475606428	32.2603638596	18.827	19.822	18.747	18.128	20.668	20.339	20.637	20.35	20.097	19.587	17.845	17.953	18.73	19.764	18.976	18.143	20.474	20.343	20.799	20.008	20.408	19.531	17.801	17.949	18.851	19.848	18.81	18.257	20.844	20.483	20.633	20.44	20.273	19.649	17.853	18.014	0.041	0.071	0.105	0.077	0.272	0.216	0.292	0.236	0.186	0.13	0.035	0.058	0.048	0.088	0.17	0.103	0.302	0.287	0.446	0.228	0.327	0.162	0.042	0.076	0.036	0.062	0.095	0.074	0.272	0.21	0.248	0.218	0.186	0.118	0.031	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2101302392508607e-13	0.9966684843621842	0.0033315156376947665
42855	12494	199.607997356	28.1976505677	19.961	20.258	19.745	19.835	22.274	23.324	19.854	20.047	21.47	19.607	19.023	20.153	20.164	20.443	19.898	20.015	22.189	21.982	20.141	20.254	20.865	19.812	19.47	21.45	21.009	20.932	20.681	20.601	23.196	24.087	20.964	21.082	21.456	20.533	20.334	21.724	0.158	0.205	0.154	0.386	3.1	8.94	0.382	0.337	1.137	0.223	0.135	0.64	0.151	0.193	0.139	0.359	2.275	2.057	0.394	0.323	0.515	0.214	0.162	1.669	0.203	0.188	0.178	0.378	3.556	8.762	0.52	0.428	0.549	0.259	0.221	1.316	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0028165340789497555	0.9962541614865328	0.0009293044345173625
42855	15703	199.989126887	27.9955568323	19.306	20.183	19.125	18.287	21.181	21.592	22.193	23.03	22.557	19.858	18.715	18.651	19.512	20.071	19.086	18.345	21.415	21.511	99.0	20.592	99.0	19.185	18.516	18.756	19.936	21.104	19.485	19.103	23.654	99.0	21.99	21.472	21.17	21.499	19.608	19.133	0.117	0.259	0.117	0.125	1.541	2.475	4.462	7.1	4.205	0.381	0.139	0.217	0.252	0.419	0.205	0.237	3.372	4.133	99.0	1.349	99.0	0.367	0.208	0.431	0.078	0.221	0.06	0.097	5.505	99.0	1.349	0.617	0.428	0.631	0.118	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.738097399169528e-20	0.9752359818321001	0.024764018167899856
43737	49787	282.890646746	33.3762669215	19.964	21.158	18.885	18.432	22.392	21.019	21.395	21.282	22.271	20.636	19.181	18.639	19.982	21.138	18.938	18.398	21.722	20.884	21.247	21.259	21.429	20.881	19.17	18.558	19.968	21.047	18.894	18.402	22.228	20.597	21.449	21.16	21.333	20.928	19.147	18.486	0.101	0.303	0.057	0.08	2.352	0.708	1.017	0.655	1.49	0.342	0.097	0.109	0.119	0.343	0.069	0.09	1.469	0.725	1.025	0.742	0.796	0.495	0.109	0.116	0.129	0.35	0.073	0.1	2.593	0.619	1.378	0.75	0.807	0.573	0.118	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.193357395720487e-14	0.9942930462957366	0.00570695370425141
50417	5255	107.976140105	74.6056402065	19.674	21.322	19.292	18.602	22.407	21.303	21.188	21.272	24.859	21.701	19.068	18.868	19.613	20.985	19.198	18.493	22.127	21.013	21.112	21.21	99.0	21.677	18.982	18.891	20.041	21.769	19.657	19.053	99.0	21.223	99.0	21.589	23.704	20.651	19.791	19.42	0.128	0.584	0.124	0.149	4.75	1.6	1.373	1.339	36.678	1.808	0.144	0.236	0.136	0.483	0.129	0.152	4.133	1.378	1.441	1.425	99.0	1.991	0.15	0.272	0.107	0.526	0.104	0.134	99.0	0.898	99.0	1.078	7.583	0.416	0.168	0.235	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3.66283770622667e-24	0.9999999989871715	1.012828389390921e-09
48453	6630	197.826454217	55.0882727138	19.857	20.05	19.914	19.679	20.178	20.184	21.007	20.287	21.186	19.541	19.076	19.961	19.857	20.05	19.914	19.679	20.178	20.184	21.007	20.287	21.186	19.541	19.076	19.961	19.884	20.089	19.945	19.672	20.206	20.304	20.897	20.417	21.057	19.591	19.098	19.94	0.059	0.052	0.158	0.332	0.286	0.295	0.599	0.408	0.789	0.192	0.148	0.417	0.059	0.052	0.158	0.332	0.286	0.295	0.599	0.408	0.789	0.192	0.148	0.417	0.06	0.053	0.161	0.326	0.291	0.327	0.535	0.454	0.693	0.199	0.149	0.404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002682424893330828	0.7584605716060606	0.2412711859046064
43737	61359	282.654188654	33.5785752886	17.179	17.654	16.986	16.982	18.924	18.959	18.797	18.181	17.978	17.534	16.245	16.896	17.176	17.639	16.973	16.969	18.912	19.073	18.782	18.203	17.945	17.526	16.234	16.871	17.194	17.668	17.004	16.998	18.959	18.853	18.816	18.185	18.009	17.575	16.251	16.928	0.014	0.022	0.016	0.033	0.146	0.161	0.142	0.061	0.047	0.034	0.013	0.034	0.015	0.023	0.018	0.036	0.161	0.198	0.156	0.068	0.051	0.036	0.014	0.037	0.013	0.02	0.015	0.029	0.132	0.128	0.126	0.055	0.044	0.031	0.012	0.031	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3.7914472435507876e-06	0.7487215472818509	0.25127466127090553
47906	3660	233.825552689	50.8317620892	19.812	22.113	19.33	18.842	23.495	22.949	21.12	21.476	21.225	20.568	19.117	18.676	19.683	21.772	19.152	18.851	99.0	21.261	20.944	21.225	20.87	20.613	19.123	18.564	20.111	21.587	19.706	19.056	99.0	99.0	21.223	21.79	21.407	21.03	19.604	19.423	0.12	0.83	0.155	0.235	9.178	8.033	1.146	0.896	0.768	0.399	0.172	0.217	0.127	0.722	0.156	0.282	99.0	2.012	1.156	0.844	0.658	0.493	0.206	0.233	0.083	0.268	0.115	0.15	99.0	99.0	0.665	0.631	0.478	0.324	0.143	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.693871998262336e-19	0.6602169543981454	0.3397830456018547
43737	62506	281.437264281	33.5989026344	19.669	19.651	19.239	19.0	20.751	21.548	20.706	19.9	19.998	19.36	19.06	18.761	19.663	19.644	19.269	18.955	20.674	21.383	20.653	19.936	19.942	19.347	19.083	18.75	19.623	19.837	19.261	19.202	20.267	20.481	20.62	20.32	20.104	19.658	19.283	19.067	0.179	0.172	0.183	0.309	1.151	2.545	1.215	0.411	0.413	0.241	0.191	0.271	0.177	0.17	0.186	0.295	1.067	2.174	1.149	0.422	0.389	0.236	0.194	0.267	0.097	0.119	0.105	0.21	0.429	0.553	0.646	0.353	0.266	0.184	0.136	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2127962034267821e-10	0.9676021203882077	0.032397879490512704
48453	10672	197.593703701	55.273535232	19.818	20.339	19.466	19.103	20.693	21.837	23.379	21.181	20.483	19.616	18.88	19.193	19.795	20.197	19.229	19.06	20.346	99.0	21.304	19.974	20.257	20.006	19.007	19.203	19.952	20.586	19.681	19.551	23.951	22.427	21.637	21.047	21.112	20.117	19.473	19.421	0.086	0.1	0.161	0.304	0.71	2.083	8.228	1.432	0.636	0.315	0.19	0.317	0.134	0.139	0.206	0.471	0.814	99.0	1.934	0.746	0.811	0.707	0.338	0.509	0.063	0.081	0.126	0.289	9.127	2.292	1.054	0.808	0.729	0.321	0.21	0.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.688323366112228e-05	0.821215832327418	0.1786872844389209
