Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
43241	11409	136.97119058	32.4318126493	10.973	10.675	9.582	9.866	12.479	12.343	11.98	11.135	10.872	10.184	9.739	9.515	10.973	10.675	9.582	9.866	12.479	12.343	11.98	11.135	10.872	10.184	9.739	9.515	11.853	11.671	10.486	10.654	13.328	13.213	12.843	12.005	11.735	11.069	10.673	10.49	0.001	0.0	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.0	0.001	0.001	0.001	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.22338273793762886	0.7763422559674783	0.00027500609489278276
43241	12382	136.971100968	32.4318343421	10.889	10.536	9.484	9.698	12.403	12.265	11.904	11.054	10.795	10.104	9.643	9.388	11.144	10.565	9.512	9.742	12.427	12.289	11.925	11.077	10.818	10.131	9.672	9.419	12.628	13.599	13.578	13.954	16.442	16.306	15.96	15.081	14.814	14.033	13.572	12.915	0.001	0.0	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.002	0.002	0.007	0.004	0.012	0.012	0.01	0.006	0.006	0.004	0.006	0.003	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.1849731924393881	0.8148673003305665	0.00015950723004521395
53034	16955	333.692742508	15.8251077702	12.517	10.235	12.531	11.928	12.05	11.908	11.489	10.713	10.449	9.775	10.462	9.19	12.517	10.235	12.531	11.928	12.05	11.908	11.489	10.713	10.449	9.775	10.462	9.19	14.16	14.922	14.275	14.015	17.479	17.277	16.861	15.977	15.617	14.582	13.968	13.715	0.003	0.001	0.003	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.003	0.001	0.003	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.003	0.004	0.003	0.003	0.032	0.029	0.022	0.011	0.009	0.005	0.003	0.003	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	1.055739230168789e-13	0.9999999999998945	7.313157419165031e-19
43241	13612	136.475606428	32.2603638596	18.827	19.822	18.747	18.128	20.668	20.339	20.637	20.35	20.097	19.587	17.845	17.953	18.73	19.764	18.976	18.143	20.474	20.343	20.799	20.008	20.408	19.531	17.801	17.949	18.851	19.848	18.81	18.257	20.844	20.483	20.633	20.44	20.273	19.649	17.853	18.014	0.041	0.071	0.105	0.077	0.272	0.216	0.292	0.236	0.186	0.13	0.035	0.058	0.048	0.088	0.17	0.103	0.302	0.287	0.446	0.228	0.327	0.162	0.042	0.076	0.036	0.062	0.095	0.074	0.272	0.21	0.248	0.218	0.186	0.118	0.031	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2101302392508522e-13	0.9966684843621842	0.0033315156376947665
42855	12494	199.607997356	28.1976505677	19.961	20.258	19.745	19.835	22.274	23.324	19.854	20.047	21.47	19.607	19.023	20.153	20.164	20.443	19.898	20.015	22.189	21.982	20.141	20.254	20.865	19.812	19.47	21.45	21.009	20.932	20.681	20.601	23.196	24.087	20.964	21.082	21.456	20.533	20.334	21.724	0.158	0.205	0.154	0.386	3.1	8.94	0.382	0.337	1.137	0.223	0.135	0.64	0.151	0.193	0.139	0.359	2.275	2.057	0.394	0.323	0.515	0.214	0.162	1.669	0.203	0.188	0.178	0.378	3.556	8.762	0.52	0.428	0.549	0.259	0.221	1.316	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0028165340789497555	0.9962541614865328	0.0009293044345173691
46495	23477	109.397915225	44.9047729347	19.76	21.478	19.681	19.745	21.116	20.835	21.593	20.131	21.417	21.128	19.239	19.407	19.789	21.108	19.639	19.571	21.21	20.661	21.195	20.689	20.919	20.634	19.53	19.23	19.772	21.133	19.589	19.595	21.832	21.506	21.149	20.841	20.814	20.365	19.561	19.258	0.133	0.726	0.159	0.279	1.167	0.81	1.834	0.337	1.141	0.869	0.17	0.294	0.097	0.367	0.108	0.168	0.904	0.494	0.904	0.401	0.515	0.393	0.159	0.178	0.078	0.304	0.084	0.138	1.297	0.871	0.7	0.374	0.378	0.249	0.134	0.148	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	3.688752999176823e-13	0.8288553904910925	0.17114460950853866
42855	14694	198.562782862	28.0550022502	17.2	14.449	16.776	13.48	18.734	16.549	16.093	18.498	19.146	18.112	16.432	16.793	17.181	14.447	16.755	13.479	18.725	16.558	16.087	18.462	19.227	18.128	16.424	16.778	18.05	17.692	17.392	16.917	19.575	19.706	19.25	19.769	19.483	18.959	17.349	18.058	0.035	0.005	0.031	0.004	0.346	0.053	0.037	0.227	0.392	0.162	0.037	0.084	0.036	0.005	0.031	0.004	0.353	0.055	0.038	0.227	0.436	0.169	0.038	0.086	0.029	0.025	0.02	0.027	0.241	0.297	0.207	0.237	0.17	0.119	0.034	0.087	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1.2088170500659476e-07	0.986260058279093	0.013739820839202053
42855	15703	199.989126887	27.9955568323	19.306	20.183	19.125	18.287	21.181	21.592	22.193	23.03	22.557	19.858	18.715	18.651	19.512	20.071	19.086	18.345	21.415	21.511	99.0	20.592	99.0	19.185	18.516	18.756	19.936	21.104	19.485	19.103	23.654	99.0	21.99	21.472	21.17	21.499	19.608	19.133	0.117	0.259	0.117	0.125	1.541	2.475	4.462	7.1	4.205	0.381	0.139	0.217	0.252	0.419	0.205	0.237	3.372	4.133	99.0	1.349	99.0	0.367	0.208	0.431	0.078	0.221	0.06	0.097	5.505	99.0	1.349	0.617	0.428	0.631	0.118	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.738097399169528e-20	0.9752359818321001	0.024764018167899856
43737	49787	282.890646746	33.3762669215	19.964	21.158	18.885	18.432	22.392	21.019	21.395	21.282	22.271	20.636	19.181	18.639	19.982	21.138	18.938	18.398	21.722	20.884	21.247	21.259	21.429	20.881	19.17	18.558	19.968	21.047	18.894	18.402	22.228	20.597	21.449	21.16	21.333	20.928	19.147	18.486	0.101	0.303	0.057	0.08	2.352	0.708	1.017	0.655	1.49	0.342	0.097	0.109	0.119	0.343	0.069	0.09	1.469	0.725	1.025	0.742	0.796	0.495	0.109	0.116	0.129	0.35	0.073	0.1	2.593	0.619	1.378	0.75	0.807	0.573	0.118	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.193357395720487e-14	0.9942930462957366	0.00570695370425141
48453	94	197.018697499	54.7842991356	19.965	22.12	18.735	18.28	21.801	21.969	20.752	20.999	24.318	19.618	19.057	18.362	19.871	21.769	18.744	18.156	21.472	21.581	20.609	20.201	20.429	19.758	18.913	18.433	19.943	22.009	18.729	18.244	21.53	21.822	20.587	21.289	22.551	19.766	19.039	18.319	0.087	0.429	0.073	0.121	1.67	2.011	0.636	1.03	18.593	0.27	0.191	0.127	0.094	0.37	0.086	0.129	1.469	1.675	0.663	0.588	0.616	0.365	0.199	0.161	0.082	0.376	0.07	0.113	1.255	1.695	0.528	1.3	3.537	0.299	0.182	0.118	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	3.746699083858346e-18	0.9999999998285907	1.7140938950664012e-10
